Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,NOP,MEM,N/A,N/A,N/A,N/A,False
2023-10-28,NOP,NYK,N/A,N/A,N/A,N/A,False
2023-10-30,NOP,GSW,N/A,N/A,N/A,N/A,False
2023-11-01,NOP,OKC,N/A,N/A,N/A,N/A,False
2023-11-02,NOP,DET,N/A,N/A,N/A,N/A,False
2023-11-04,NOP,ATL,N/A,N/A,N/A,N/A,False
2023-11-06,NOP,DEN,N/A,N/A,N/A,N/A,False
2023-11-08,NOP,MIN,N/A,N/A,N/A,N/A,False
2023-11-10,NOP,HOU,N/A,N/A,N/A,N/A,False
2023-11-12,NOP,DAL,N/A,N/A,N/A,N/A,False
2023-11-14,NOP,DAL,N/A,N/A,N/A,N/A,False
2023-11-17,NOP,DEN,N/A,N/A,N/A,N/A,False
2023-11-18,NOP,MIN,N/A,N/A,N/A,N/A,False
2023-11-20,NOP,SAC,15:12,5,3,0,False
2023-11-22,NOP,SAC,18:35,10,2,1,False
2023-11-24,NOP,LAC,15:34,4,1,5,False
2023-11-25,NOP,UTA,22:51,13,3,4,False
2023-11-27,NOP,UTA,13:58,4,2,1,False
2023-11-29,NOP,PHI,9:19,5,1,2,False
2023-12-01,NOP,SAS,N/A,N/A,N/A,N/A,False
2023-12-02,NOP,CHI,17:47,8,2,1,False
2023-12-04,NOP,SAC,17:38,9,2,3,False
2023-12-07,NOP,LAL,20:18,8,4,2,False
2023-12-11,NOP,MIN,14:55,0,3,2,False
2023-12-13,NOP,WAS,18:18,7,1,2,False
2023-12-15,NOP,CHO,21:12,8,1,8,False
2023-12-17,NOP,SAS,21:40,16,4,3,False
2023-12-19,NOP,MEM,8:27,2,0,2,False
2023-12-21,NOP,CLE,17:46,2,3,2,False
2023-12-23,NOP,HOU,9:53,4,0,2,False
2023-12-26,NOP,MEM,11:44,8,2,3,False
2023-12-28,NOP,UTA,12:07,7,0,0,False
2023-12-31,NOP,LAL,20:27,8,1,3,False
2024-01-02,NOP,BRK,21:58,13,2,3,False
2024-01-03,NOP,MIN,27:03,8,3,3,False
2024-01-05,NOP,LAC,18:41,2,2,1,False
2024-01-07,NOP,SAC,N/A,N/A,N/A,N/A,False
2024-01-10,NOP,GSW,N/A,N/A,N/A,N/A,False
2024-01-12,NOP,DEN,16:34,10,1,1,False
2024-01-13,NOP,DAL,26:16,14,4,2,False
2024-01-15,NOP,DAL,N/A,N/A,N/A,N/A,False
2024-01-17,NOP,CHO,2:32,2,0,0,False
2024-01-19,NOP,PHO,7:06,2,1,0,False
2024-01-23,NOP,UTA,4:49,9,0,2,False
2024-01-26,NOP,OKC,12:26,5,3,2,False
2024-01-27,NOP,MIL,20:46,4,2,1,False
2024-01-29,NOP,BOS,N/A,N/A,N/A,N/A,False
2024-01-31,NOP,HOU,14:18,7,0,1,False
2024-02-02,NOP,SAS,18:46,8,3,2,False
2024-02-05,NOP,TOR,25:22,11,4,4,False
2024-02-07,NOP,LAC,13:23,7,0,1,False
2024-02-09,NOP,LAL,21:29,7,2,3,False
2024-02-10,NOP,POR,19:51,2,2,2,False
2024-02-12,NOP,MEM,14:56,10,0,3,False
2024-02-14,NOP,WAS,21:43,7,3,3,False
2024-02-22,NOP,HOU,20:11,11,7,2,False
2024-02-23,NOP,MIA,18:29,5,2,3,False
2024-02-25,NOP,CHI,N/A,N/A,N/A,N/A,False
2024-02-27,NOP,NYK,N/A,N/A,N/A,N/A,False
2024-02-28,NOP,IND,N/A,N/A,N/A,N/A,False
2024-03-01,NOP,IND,24:35,9,2,3,False
2024-03-05,NOP,TOR,23:31,5,6,2,False
2024-03-08,NOP,PHI,20:33,7,2,1,False
2024-03-10,NOP,ATL,17:19,6,1,2,False
2024-03-13,NOP,CLE,18:44,5,0,2,False
2024-03-15,NOP,LAC,14:39,9,0,0,False
2024-03-16,NOP,POR,30:41,7,4,1,False
2024-03-19,NOP,BRK,16:55,3,1,3,False
2024-03-21,NOP,ORL,17:49,0,3,1,False
2024-03-22,NOP,MIA,31:28,17,6,7,False
2024-03-24,NOP,DET,21:27,4,3,5,False
2024-03-26,NOP,OKC,16:07,8,3,3,False
2024-03-28,NOP,MIL,N/A,N/A,N/A,N/A,False
2024-03-30,NOP,BOS,N/A,N/A,N/A,N/A,False
2024-04-01,NOP,PHO,N/A,N/A,N/A,N/A,False
2024-04-03,NOP,ORL,N/A,N/A,N/A,N/A,False
2024-04-05,NOP,SAS,N/A,N/A,N/A,N/A,False
2024-04-07,NOP,PHO,22:15,15,0,3,False
2024-04-09,NOP,POR,19:41,2,1,0,False
2024-04-11,NOP,SAC,22:01,14,6,6,False
2024-04-12,NOP,GSW,35:18,4,2,3,False
2024-04-14,NOP,LAL,20:55,10,1,1,False
