Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,NYK,MEM,36:05,15,9,6,True
2022-10-21,NYK,DET,28:22,17,6,2,True
2022-10-24,NYK,ORL,33:02,21,6,3,True
2022-10-26,NYK,CHO,40:35,27,13,7,True
2022-10-28,NYK,MIL,33:08,13,2,3,True
2022-10-30,NYK,CLE,33:57,16,7,4,True
2022-11-02,NYK,ATL,31:00,20,5,1,True
2022-11-04,NYK,PHI,35:49,23,7,6,True
2022-11-05,NYK,BOS,32:41,22,10,3,True
2022-11-07,NYK,MIN,33:35,23,8,5,True
2022-11-09,NYK,BRK,30:58,14,2,4,True
2022-11-11,NYK,DET,32:41,26,7,1,True
2022-11-13,NYK,OKC,23:58,17,7,1,True
2022-11-15,NYK,UTA,34:24,25,8,3,True
2022-11-16,NYK,DEN,31:07,21,7,5,True
2022-11-18,NYK,GSW,31:41,13,4,5,True
2022-11-20,NYK,PHO,29:17,27,3,3,True
2022-11-21,NYK,OKC,34:15,34,9,0,True
2022-11-25,NYK,POR,41:18,32,4,5,True
2022-11-27,NYK,MEM,35:35,30,9,5,True
2022-11-29,NYK,DET,18:15,16,5,1,True
2022-11-30,NYK,MIL,34:03,17,5,5,True
2022-12-03,NYK,DAL,27:27,13,3,2,True
2022-12-04,NYK,CLE,32:16,23,4,2,True
2022-12-07,NYK,ATL,26:00,8,6,4,True
2022-12-09,NYK,CHO,27:28,11,11,1,True
2022-12-11,NYK,SAC,27:03,18,3,3,True
2022-12-14,NYK,CHI,39:24,30,7,2,True
2022-12-16,NYK,CHI,31:24,22,6,2,True
2022-12-18,NYK,IND,34:52,30,3,2,True
2022-12-20,NYK,GSW,29:40,21,5,3,True
2022-12-21,NYK,TOR,39:29,7,12,3,True
2022-12-23,NYK,CHI,38:07,12,9,4,True
2022-12-25,NYK,PHI,35:12,23,11,3,True
2022-12-27,NYK,DAL,N/A,N/A,N/A,N/A,False
2022-12-29,NYK,SAS,N/A,N/A,N/A,N/A,False
2022-12-31,NYK,HOU,N/A,N/A,N/A,N/A,False
2023-01-02,NYK,PHO,38:55,24,6,4,True
2023-01-04,NYK,SAS,40:23,38,6,7,True
2023-01-06,NYK,TOR,38:28,26,8,5,True
2023-01-09,NYK,MIL,38:39,44,4,7,True
2023-01-11,NYK,IND,41:38,34,4,3,True
2023-01-13,NYK,WAS,40:23,34,8,8,True
2023-01-15,NYK,DET,42:12,27,4,5,True
2023-01-16,NYK,TOR,43:19,26,2,7,True
2023-01-18,NYK,WAS,37:55,32,4,3,True
2023-01-20,NYK,ATL,36:23,19,9,0,True
2023-01-22,NYK,TOR,37:41,21,5,1,True
2023-01-24,NYK,CLE,35:38,14,4,2,True
2023-01-26,NYK,BOS,40:22,29,7,4,True
2023-01-28,NYK,BRK,37:13,26,4,3,True
2023-01-31,NYK,LAL,43:47,37,6,2,True
2023-02-02,NYK,MIA,N/A,N/A,N/A,N/A,False
2023-02-04,NYK,LAC,38:22,41,7,5,True
2023-02-05,NYK,PHI,39:04,21,7,5,True
2023-02-07,NYK,ORL,39:07,25,5,2,True
2023-02-10,NYK,PHI,38:57,30,9,7,True
2023-02-11,NYK,UTA,38:58,38,5,3,True
2023-02-13,NYK,BRK,35:40,40,5,2,True
2023-02-15,NYK,ATL,38:20,28,5,9,True
2023-02-24,NYK,WAS,38:45,13,9,4,True
2023-02-25,NYK,NOP,31:34,20,5,2,True
2023-02-27,NYK,BOS,39:32,17,3,4,True
2023-03-01,NYK,BRK,36:12,39,6,5,True
2023-03-03,NYK,MIA,34:53,25,8,2,True
2023-03-05,NYK,BOS,N/A,N/A,N/A,N/A,False
2023-03-07,NYK,CHO,N/A,N/A,N/A,N/A,False
2023-03-09,NYK,SAC,19:25,19,2,2,True
2023-03-11,NYK,LAC,N/A,N/A,N/A,N/A,False
2023-03-12,NYK,LAL,N/A,N/A,N/A,N/A,False
2023-03-14,NYK,POR,N/A,N/A,N/A,N/A,False
2023-03-18,NYK,DEN,31:49,24,5,2,True
2023-03-20,NYK,MIN,36:43,23,10,2,True
2023-03-22,NYK,MIA,37:26,25,6,6,True
2023-03-23,NYK,ORL,N/A,N/A,N/A,N/A,False
2023-03-27,NYK,HOU,N/A,N/A,N/A,N/A,False
2023-03-29,NYK,MIA,30:08,12,3,2,True
2023-03-31,NYK,CLE,37:36,48,9,4,True
2023-04-02,NYK,WAS,39:12,27,8,3,True
2023-04-05,NYK,IND,N/A,N/A,N/A,N/A,False
2023-04-07,NYK,NOP,N/A,N/A,N/A,N/A,False
2023-04-09,NYK,IND,N/A,N/A,N/A,N/A,False
