Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,MIN,TOR,30:30,11,3,4,True
2023-10-28,MIN,MIA,28:52,14,5,4,True
2023-10-30,MIN,ATL,28:02,6,3,2,True
2023-11-01,MIN,DEN,27:17,17,6,3,True
2023-11-04,MIN,UTA,28:12,7,6,3,True
2023-11-06,MIN,BOS,36:14,8,3,2,True
2023-11-08,MIN,NOP,21:29,12,4,4,True
2023-11-10,MIN,SAS,31:05,11,6,3,True
2023-11-12,MIN,GSW,30:47,8,9,5,True
2023-11-14,MIN,GSW,30:50,13,8,2,True
2023-11-15,MIN,PHO,22:23,14,3,2,True
2023-11-18,MIN,NOP,30:28,5,5,3,True
2023-11-20,MIN,NYK,27:55,11,5,1,True
2023-11-22,MIN,PHI,22:44,5,8,0,True
2023-11-24,MIN,SAC,30:18,6,9,3,True
2023-11-26,MIN,MEM,32:08,18,10,4,True
2023-11-28,MIN,OKC,37:14,9,8,2,True
2023-11-30,MIN,UTA,29:26,8,7,3,True
2023-12-02,MIN,CHO,34:08,14,10,5,True
2023-12-06,MIN,SAS,32:55,18,4,4,True
2023-12-08,MIN,MEM,32:26,19,7,4,True
2023-12-11,MIN,NOP,27:15,17,7,5,True
2023-12-14,MIN,DAL,29:05,14,3,2,True
2023-12-16,MIN,IND,24:11,5,9,2,True
2023-12-18,MIN,MIA,32:49,14,6,1,True
2023-12-20,MIN,PHI,25:50,9,4,0,True
2023-12-21,MIN,LAL,30:27,16,8,1,True
2023-12-23,MIN,SAC,31:39,12,9,7,True
2023-12-26,MIN,OKC,24:55,17,4,2,True
2023-12-28,MIN,DAL,28:23,10,6,2,True
2023-12-30,MIN,LAL,33:06,15,7,4,True
2024-01-01,MIN,NYK,28:50,5,5,2,True
2024-01-03,MIN,NOP,25:57,7,9,0,True
2024-01-05,MIN,HOU,25:00,8,5,2,True
2024-01-07,MIN,DAL,32:10,9,7,1,True
2024-01-09,MIN,ORL,30:58,11,10,3,True
2024-01-10,MIN,BOS,N/A,N/A,N/A,N/A,False
2024-01-12,MIN,POR,20:24,9,10,4,True
2024-01-14,MIN,LAC,31:49,6,5,2,True
2024-01-17,MIN,DET,29:18,8,7,3,True
2024-01-18,MIN,MEM,29:44,17,10,4,True
2024-01-20,MIN,OKC,28:33,3,4,3,True
2024-01-22,MIN,CHO,N/A,N/A,N/A,N/A,False
2024-01-24,MIN,WAS,N/A,N/A,N/A,N/A,False
2024-01-25,MIN,BRK,32:36,10,4,2,True
2024-01-27,MIN,SAS,N/A,N/A,N/A,N/A,False
2024-01-29,MIN,OKC,N/A,N/A,N/A,N/A,False
2024-01-31,MIN,DAL,25:18,10,3,4,True
2024-02-02,MIN,ORL,28:05,4,9,5,True
2024-02-04,MIN,HOU,24:30,8,9,3,True
2024-02-06,MIN,CHI,36:23,9,8,0,True
2024-02-08,MIN,MIL,30:35,18,9,5,True
2024-02-12,MIN,LAC,24:09,5,7,4,True
2024-02-13,MIN,POR,26:15,7,6,4,True
2024-02-15,MIN,POR,22:18,12,3,4,True
2024-02-23,MIN,MIL,27:54,9,2,2,True
2024-02-24,MIN,BRK,29:36,14,3,3,True
2024-02-27,MIN,SAS,19:45,16,1,0,True
2024-02-28,MIN,MEM,27:57,4,7,5,True
2024-03-01,MIN,SAC,35:33,14,8,3,True
2024-03-03,MIN,LAC,27:54,0,5,7,True
2024-03-04,MIN,POR,28:43,19,7,2,True
2024-03-07,MIN,IND,30:22,5,4,5,True
2024-03-08,MIN,CLE,32:00,9,5,3,True
2024-03-10,MIN,LAL,28:32,9,6,3,True
2024-03-12,MIN,LAC,27:28,23,3,3,True
2024-03-16,MIN,UTA,30:12,25,2,2,True
2024-03-18,MIN,UTA,27:05,4,2,1,True
2024-03-19,MIN,DEN,29:21,13,5,6,True
2024-03-22,MIN,CLE,32:08,21,6,2,True
2024-03-24,MIN,GSW,30:16,14,7,1,True
2024-03-27,MIN,DET,24:50,9,7,0,True
2024-03-29,MIN,DEN,31:55,23,8,3,True
2024-03-31,MIN,CHI,29:08,19,7,1,True
2024-04-02,MIN,HOU,29:47,14,6,2,True
2024-04-03,MIN,TOR,N/A,N/A,N/A,N/A,False
2024-04-05,MIN,PHO,24:55,5,3,0,True
2024-04-07,MIN,LAL,25:48,7,6,4,True
2024-04-09,MIN,WAS,28:00,15,3,2,True
2024-04-10,MIN,DEN,30:14,19,2,4,True
2024-04-12,MIN,ATL,30:41,13,10,6,True
2024-04-14,MIN,PHO,27:26,17,2,4,True
