Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,NOP,BRK,15:43,7,2,2,False
2022-10-21,NOP,CHO,14:38,6,1,2,False
2022-10-23,NOP,UTA,24:10,7,4,3,False
2022-10-25,NOP,DAL,25:59,13,3,3,True
2022-10-28,NOP,PHO,29:19,14,3,1,True
2022-10-30,NOP,LAC,18:32,0,2,1,False
2022-11-02,NOP,LAL,17:32,15,4,2,False
2022-11-04,NOP,GSW,18:00,10,2,1,False
2022-11-05,NOP,ATL,15:39,5,4,1,False
2022-11-07,NOP,IND,14:16,1,3,2,False
2022-11-09,NOP,CHI,13:25,7,2,3,False
2022-11-10,NOP,POR,16:55,3,1,3,False
2022-11-12,NOP,HOU,20:13,12,5,2,False
2022-11-15,NOP,MEM,21:10,12,6,3,False
2022-11-16,NOP,CHI,21:22,13,1,3,False
2022-11-18,NOP,BOS,24:00,10,4,6,False
2022-11-21,NOP,GSW,16:12,10,3,1,False
2022-11-23,NOP,SAS,29:53,5,9,3,True
2022-11-25,NOP,MEM,22:15,7,2,4,True
2022-11-28,NOP,OKC,30:29,15,4,2,True
2022-11-30,NOP,TOR,26:52,4,5,2,True
2022-12-02,NOP,SAS,23:31,15,5,2,False
2022-12-04,NOP,DEN,26:54,38,2,3,False
2022-12-07,NOP,DET,20:37,2,2,0,False
2022-12-09,NOP,PHO,25:05,20,2,1,False
2022-12-11,NOP,PHO,10:25,2,2,1,False
2022-12-13,NOP,UTA,17:11,4,3,2,False
2022-12-15,NOP,UTA,N/A,N/A,N/A,N/A,False
2022-12-17,NOP,PHO,14:44,10,0,1,False
2022-12-19,NOP,MIL,19:51,0,6,3,False
2022-12-22,NOP,SAS,24:55,9,3,2,False
2022-12-23,NOP,OKC,22:02,11,0,4,False
2022-12-26,NOP,IND,29:38,8,3,4,True
2022-12-28,NOP,MIN,11:11,5,0,3,False
2022-12-30,NOP,PHI,19:47,7,3,2,False
2022-12-31,NOP,MEM,20:26,7,2,3,False
2023-01-02,NOP,PHI,12:27,0,3,2,False
2023-01-04,NOP,HOU,21:13,13,5,2,False
2023-01-06,NOP,BRK,32:09,17,2,5,False
2023-01-07,NOP,DAL,27:10,14,7,5,True
2023-01-09,NOP,WAS,24:24,10,5,4,False
2023-01-11,NOP,BOS,22:19,9,3,1,False
2023-01-13,NOP,DET,29:44,7,4,4,False
2023-01-16,NOP,CLE,33:37,10,5,3,False
2023-01-18,NOP,MIA,24:41,11,1,1,False
2023-01-20,NOP,ORL,29:30,17,4,4,False
2023-01-22,NOP,MIA,22:30,3,1,0,False
2023-01-24,NOP,DEN,27:13,17,3,1,False
2023-01-25,NOP,MIN,24:22,7,3,4,False
2023-01-28,NOP,WAS,25:28,9,4,2,False
2023-01-29,NOP,MIL,28:55,18,6,3,True
2023-01-31,NOP,DEN,13:36,3,2,1,False
2023-02-02,NOP,DAL,13:37,4,3,4,False
2023-02-04,NOP,LAL,23:51,18,2,4,False
2023-02-05,NOP,SAC,14:30,2,1,1,False
2023-02-07,NOP,ATL,16:10,6,2,2,False
2023-02-10,NOP,CLE,20:38,5,7,0,False
2023-02-13,NOP,OKC,28:59,14,2,1,True
2023-02-15,NOP,LAL,24:18,2,3,2,False
2023-02-23,NOP,TOR,14:44,7,2,1,False
2023-02-25,NOP,NYK,15:52,6,3,0,False
2023-02-27,NOP,ORL,15:06,7,0,3,False
2023-03-01,NOP,POR,N/A,N/A,N/A,N/A,False
2023-03-03,NOP,GSW,N/A,N/A,N/A,N/A,False
2023-03-06,NOP,SAC,N/A,N/A,N/A,N/A,False
2023-03-08,NOP,DAL,N/A,N/A,N/A,N/A,False
2023-03-11,NOP,OKC,N/A,N/A,N/A,N/A,False
2023-03-12,NOP,POR,N/A,N/A,N/A,N/A,False
2023-03-14,NOP,LAL,N/A,N/A,N/A,N/A,False
2023-03-17,NOP,HOU,N/A,N/A,N/A,N/A,False
2023-03-19,NOP,HOU,N/A,N/A,N/A,N/A,False
2023-03-21,NOP,SAS,N/A,N/A,N/A,N/A,False
2023-03-23,NOP,CHO,N/A,N/A,N/A,N/A,False
2023-03-25,NOP,LAC,N/A,N/A,N/A,N/A,False
2023-03-27,NOP,POR,N/A,N/A,N/A,N/A,False
2023-03-28,NOP,GSW,N/A,N/A,N/A,N/A,False
2023-03-30,NOP,DEN,N/A,N/A,N/A,N/A,False
2023-04-01,NOP,LAC,N/A,N/A,N/A,N/A,False
2023-04-04,NOP,SAC,N/A,N/A,N/A,N/A,False
2023-04-05,NOP,MEM,N/A,N/A,N/A,N/A,False
2023-04-07,NOP,NYK,N/A,N/A,N/A,N/A,False
2023-04-09,NOP,MIN,N/A,N/A,N/A,N/A,False
