Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,NYK,MEM,37:36,11,3,8,True
2022-10-21,NYK,DET,27:36,18,4,3,True
2022-10-24,NYK,ORL,37:48,20,1,6,True
2022-10-26,NYK,CHO,38:31,22,1,8,True
2022-10-28,NYK,MIL,36:27,20,2,5,True
2022-10-30,NYK,CLE,32:31,15,2,5,True
2022-11-02,NYK,ATL,33:01,19,5,5,True
2022-11-04,NYK,PHI,37:11,22,2,9,True
2022-11-05,NYK,BOS,36:32,27,4,4,True
2022-11-07,NYK,MIN,36:48,22,5,5,True
2022-11-09,NYK,BRK,30:14,16,3,6,True
2022-11-11,NYK,DET,37:31,30,5,5,True
2022-11-13,NYK,OKC,19:25,4,0,1,True
2022-11-15,NYK,UTA,37:28,18,4,3,True
2022-11-16,NYK,DEN,30:59,11,2,3,True
2022-11-18,NYK,GSW,39:40,18,5,4,True
2022-11-20,NYK,PHO,26:51,12,2,4,True
2022-11-21,NYK,OKC,37:29,25,2,8,True
2022-11-25,NYK,POR,44:02,19,5,10,True
2022-11-27,NYK,MEM,35:44,22,4,7,True
2022-11-29,NYK,DET,23:43,16,3,4,True
2022-11-30,NYK,MIL,33:20,26,3,2,True
2022-12-03,NYK,DAL,20:18,13,3,6,True
2022-12-04,NYK,CLE,31:21,15,1,8,True
2022-12-07,NYK,ATL,36:11,15,0,7,True
2022-12-09,NYK,CHO,34:55,26,4,7,True
2022-12-11,NYK,SAC,44:05,27,6,9,True
2022-12-14,NYK,CHI,33:59,22,2,6,True
2022-12-16,NYK,CHI,37:53,27,2,4,True
2022-12-18,NYK,IND,42:11,24,0,4,True
2022-12-20,NYK,GSW,31:07,18,5,3,True
2022-12-21,NYK,TOR,45:37,30,5,5,True
2022-12-23,NYK,CHI,39:23,44,4,7,True
2022-12-25,NYK,PHI,42:56,17,4,10,True
2022-12-27,NYK,DAL,1:36,0,1,0,True
2022-12-29,NYK,SAS,N/A,N/A,N/A,N/A,False
2022-12-31,NYK,HOU,N/A,N/A,N/A,N/A,False
2023-01-02,NYK,PHO,N/A,N/A,N/A,N/A,False
2023-01-04,NYK,SAS,N/A,N/A,N/A,N/A,False
2023-01-06,NYK,TOR,N/A,N/A,N/A,N/A,False
2023-01-09,NYK,MIL,N/A,N/A,N/A,N/A,False
2023-01-11,NYK,IND,40:51,27,4,8,True
2023-01-13,NYK,WAS,32:07,17,1,5,True
2023-01-15,NYK,DET,26:32,13,2,2,True
2023-01-16,NYK,TOR,49:09,32,2,7,True
2023-01-18,NYK,WAS,37:43,21,2,7,True
2023-01-20,NYK,ATL,38:36,23,2,3,True
2023-01-22,NYK,TOR,41:22,30,5,7,True
2023-01-24,NYK,CLE,32:35,16,1,4,True
2023-01-26,NYK,BOS,39:58,19,1,4,True
2023-01-28,NYK,BRK,31:05,24,2,6,True
2023-01-31,NYK,LAL,27:14,13,2,3,True
2023-02-02,NYK,MIA,40:58,30,4,8,True
2023-02-04,NYK,LAC,43:40,14,4,5,True
2023-02-05,NYK,PHI,N/A,N/A,N/A,N/A,False
2023-02-07,NYK,ORL,34:35,15,3,2,True
2023-02-10,NYK,PHI,29:46,19,2,3,True
2023-02-11,NYK,UTA,33:45,20,3,6,True
2023-02-13,NYK,BRK,24:29,4,0,1,True
2023-02-15,NYK,ATL,32:08,17,2,5,True
2023-02-24,NYK,WAS,27:36,14,3,2,True
2023-02-25,NYK,NOP,28:52,25,7,4,True
2023-02-27,NYK,BOS,25:48,10,2,7,True
2023-03-01,NYK,BRK,27:30,15,1,2,True
2023-03-03,NYK,MIA,29:01,17,2,2,True
2023-03-05,NYK,BOS,50:08,29,3,11,True
2023-03-07,NYK,CHO,35:08,27,4,6,True
2023-03-09,NYK,SAC,32:59,25,2,7,True
2023-03-11,NYK,LAC,30:16,11,1,2,True
2023-03-12,NYK,LAL,38:30,30,2,5,True
2023-03-14,NYK,POR,27:59,22,0,5,True
2023-03-18,NYK,DEN,34:27,21,2,4,True
2023-03-20,NYK,MIN,26:57,13,3,2,True
2023-03-22,NYK,MIA,35:54,26,5,6,True
2023-03-23,NYK,ORL,29:45,10,3,2,True
2023-03-27,NYK,HOU,29:26,19,5,3,True
2023-03-29,NYK,MIA,33:44,12,0,5,True
2023-03-31,NYK,CLE,29:57,14,1,7,True
2023-04-02,NYK,WAS,N/A,N/A,N/A,N/A,False
2023-04-05,NYK,IND,N/A,N/A,N/A,N/A,False
2023-04-07,NYK,NOP,35:43,28,6,7,True
2023-04-09,NYK,IND,37:17,18,3,2,True
