Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,LAC,POR,9:08,0,1,3,False
2023-10-27,LAC,UTA,30:16,8,3,2,False
2023-10-29,LAC,SAS,14:42,0,1,2,False
2023-10-31,LAC,ORL,N/A,N/A,N/A,N/A,False
2023-11-02,PHI,TOR,N/A,N/A,N/A,N/A,False
2023-11-04,PHI,PHO,N/A,N/A,N/A,N/A,False
2023-11-06,PHI,WAS,17:27,11,0,2,False
2023-11-08,PHI,BOS,26:08,5,1,4,False
2023-11-10,PHI,DET,26:28,3,3,3,False
2023-11-12,PHI,IND,33:19,9,0,7,True
2023-11-14,PHI,IND,N/A,N/A,N/A,N/A,False
2023-11-15,PHI,BOS,N/A,N/A,N/A,N/A,False
2023-11-17,PHI,ATL,N/A,N/A,N/A,N/A,False
2023-11-19,PHI,BRK,23:49,3,3,3,True
2023-11-21,PHI,CLE,26:58,5,2,4,True
2023-11-22,PHI,MIN,24:12,6,0,3,True
2023-11-25,PHI,OKC,32:28,14,3,7,True
2023-11-27,PHI,LAL,28:56,10,4,7,True
2023-11-29,PHI,NOP,14:07,3,0,1,True
2023-12-01,PHI,BOS,N/A,N/A,N/A,N/A,False
2023-12-06,PHI,WAS,32:34,9,5,6,True
2023-12-08,PHI,ATL,28:35,8,4,4,True
2023-12-11,PHI,WAS,20:28,4,1,2,True
2023-12-13,PHI,DET,19:45,5,2,1,True
2023-12-15,PHI,DET,21:46,4,4,5,True
2023-12-16,PHI,CHO,20:14,3,3,3,True
2023-12-18,PHI,CHI,26:49,3,3,4,True
2023-12-20,PHI,MIN,N/A,N/A,N/A,N/A,False
2023-12-22,PHI,TOR,N/A,N/A,N/A,N/A,False
2023-12-25,PHI,MIA,N/A,N/A,N/A,N/A,False
2023-12-27,PHI,ORL,N/A,N/A,N/A,N/A,False
2023-12-29,PHI,HOU,N/A,N/A,N/A,N/A,False
2023-12-30,PHI,CHI,19:08,9,2,3,False
2024-01-02,PHI,CHI,22:23,6,2,3,True
2024-01-05,PHI,NYK,21:16,0,1,4,True
2024-01-06,PHI,UTA,26:04,2,4,4,True
2024-01-10,PHI,ATL,37:28,6,2,4,True
2024-01-12,PHI,SAC,25:27,14,3,5,True
2024-01-15,PHI,HOU,27:33,5,3,5,True
2024-01-16,PHI,DEN,34:59,8,2,4,True
2024-01-19,PHI,ORL,20:08,3,5,2,True
2024-01-20,PHI,CHO,29:11,9,1,5,True
2024-01-22,PHI,SAS,32:39,5,6,8,True
2024-01-25,PHI,IND,21:30,10,1,3,True
2024-01-27,PHI,DEN,25:54,0,2,4,True
2024-01-29,PHI,POR,24:11,3,1,4,True
2024-01-30,PHI,GSW,N/A,N/A,N/A,N/A,False
2024-02-01,PHI,UTA,N/A,N/A,N/A,N/A,False
2024-02-03,PHI,BRK,N/A,N/A,N/A,N/A,False
2024-02-05,PHI,DAL,N/A,N/A,N/A,N/A,False
2024-02-07,PHI,GSW,N/A,N/A,N/A,N/A,False
2024-02-09,PHI,ATL,N/A,N/A,N/A,N/A,False
2024-02-10,PHI,WAS,N/A,N/A,N/A,N/A,False
2024-02-12,PHI,CLE,N/A,N/A,N/A,N/A,False
2024-02-14,PHI,MIA,N/A,N/A,N/A,N/A,False
2024-02-22,PHI,NYK,18:09,0,1,3,True
2024-02-23,PHI,CLE,0:03,0,0,0,False
2024-02-25,PHI,MIL,17:24,6,0,1,True
2024-02-27,PHI,BOS,20:01,3,1,3,False
2024-03-01,PHI,CHO,27:04,8,2,4,False
2024-03-03,PHI,DAL,31:30,7,3,11,False
2024-03-05,PHI,BRK,32:19,2,4,7,False
2024-03-06,PHI,MEM,29:37,10,1,6,True
2024-03-08,PHI,NOP,N/A,N/A,N/A,N/A,False
2024-03-10,PHI,NYK,30:44,0,3,5,False
2024-03-12,PHI,NYK,21:04,0,0,2,False
2024-03-14,PHI,MIL,20:31,5,3,2,False
2024-03-16,PHI,CHO,36:58,8,4,8,True
2024-03-18,PHI,MIA,37:56,2,1,8,True
2024-03-20,PHI,PHO,24:00,8,0,3,True
2024-03-22,PHI,LAL,19:43,0,1,5,False
2024-03-24,PHI,LAC,N/A,N/A,N/A,N/A,False
2024-03-25,PHI,SAC,20:59,0,0,3,True
2024-03-27,PHI,LAC,27:56,9,3,4,False
2024-03-29,PHI,CLE,30:50,8,3,8,False
2024-03-31,PHI,TOR,28:18,19,2,6,False
2024-04-02,PHI,OKC,30:22,7,2,2,False
2024-04-04,PHI,MIA,32:06,0,7,4,True
2024-04-06,PHI,MEM,20:58,9,0,3,True
2024-04-07,PHI,SAS,45:40,9,2,7,True
2024-04-09,PHI,DET,28:38,2,1,3,True
2024-04-12,PHI,ORL,30:23,5,1,4,False
2024-04-14,PHI,BRK,20:16,0,5,5,False
