Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,HOU,ORL,N/A,N/A,N/A,N/A,False
2023-10-27,HOU,SAS,N/A,N/A,N/A,N/A,False
2023-10-29,HOU,GSW,N/A,N/A,N/A,N/A,False
2023-11-01,HOU,CHO,N/A,N/A,N/A,N/A,False
2023-11-04,HOU,SAC,N/A,N/A,N/A,N/A,False
2023-11-06,HOU,SAC,N/A,N/A,N/A,N/A,False
2023-11-08,HOU,LAL,14:09,9,2,9,False
2023-11-10,HOU,NOP,19:02,2,0,8,False
2023-11-12,HOU,DEN,15:56,8,2,3,False
2023-11-17,HOU,LAC,19:47,12,0,6,False
2023-11-19,HOU,LAL,17:01,2,0,5,False
2023-11-20,HOU,GSW,N/A,N/A,N/A,N/A,False
2023-11-22,HOU,MEM,19:10,6,2,5,False
2023-11-24,HOU,DEN,15:49,7,1,4,False
2023-11-28,HOU,DAL,21:08,11,0,8,False
2023-11-29,HOU,DEN,16:42,4,0,2,False
2023-12-02,HOU,LAL,19:47,6,2,7,False
2023-12-06,HOU,OKC,22:09,9,4,8,False
2023-12-08,HOU,DEN,17:12,3,2,8,False
2023-12-11,HOU,SAS,26:34,18,1,14,False
2023-12-13,HOU,MEM,26:48,25,1,14,False
2023-12-15,HOU,MEM,22:47,11,1,8,False
2023-12-17,HOU,MIL,29:59,11,1,6,False
2023-12-18,HOU,CLE,33:17,14,2,8,False
2023-12-20,HOU,ATL,N/A,N/A,N/A,N/A,False
2023-12-22,HOU,DAL,N/A,N/A,N/A,N/A,False
2023-12-23,HOU,NOP,20:25,8,0,4,False
2023-12-26,HOU,IND,25:58,16,1,8,False
2023-12-27,HOU,PHO,25:26,6,2,3,False
2023-12-29,HOU,PHI,27:18,10,2,11,False
2024-01-01,HOU,DET,23:36,17,1,4,False
2024-01-03,HOU,BRK,N/A,N/A,N/A,N/A,False
2024-01-05,HOU,MIN,N/A,N/A,N/A,N/A,False
2024-01-06,HOU,MIL,N/A,N/A,N/A,N/A,False
2024-01-08,HOU,MIA,N/A,N/A,N/A,N/A,False
2024-01-10,HOU,CHI,N/A,N/A,N/A,N/A,False
2024-01-12,HOU,DET,N/A,N/A,N/A,N/A,False
2024-01-13,HOU,BOS,N/A,N/A,N/A,N/A,False
2024-01-15,HOU,PHI,N/A,N/A,N/A,N/A,False
2024-01-17,HOU,NYK,N/A,N/A,N/A,N/A,False
2024-01-20,HOU,UTA,N/A,N/A,N/A,N/A,False
2024-01-21,HOU,BOS,N/A,N/A,N/A,N/A,False
2024-01-24,HOU,POR,N/A,N/A,N/A,N/A,False
2024-01-26,HOU,CHO,N/A,N/A,N/A,N/A,False
2024-01-27,HOU,BRK,N/A,N/A,N/A,N/A,False
2024-01-29,HOU,LAL,N/A,N/A,N/A,N/A,False
2024-01-31,HOU,NOP,N/A,N/A,N/A,N/A,False
2024-02-02,HOU,TOR,N/A,N/A,N/A,N/A,False
2024-02-04,HOU,MIN,N/A,N/A,N/A,N/A,False
2024-02-06,HOU,IND,N/A,N/A,N/A,N/A,False
2024-02-09,HOU,TOR,N/A,N/A,N/A,N/A,False
2024-02-10,HOU,ATL,N/A,N/A,N/A,N/A,False
2024-02-12,HOU,NYK,N/A,N/A,N/A,N/A,False
2024-02-14,HOU,MEM,N/A,N/A,N/A,N/A,False
2024-02-22,HOU,NOP,N/A,N/A,N/A,N/A,False
2024-02-23,HOU,PHO,N/A,N/A,N/A,N/A,False
2024-02-25,HOU,OKC,N/A,N/A,N/A,N/A,False
2024-02-27,HOU,OKC,N/A,N/A,N/A,N/A,False
2024-02-29,HOU,PHO,N/A,N/A,N/A,N/A,False
2024-03-02,HOU,PHO,N/A,N/A,N/A,N/A,False
2024-03-05,HOU,SAS,N/A,N/A,N/A,N/A,False
2024-03-06,HOU,LAC,N/A,N/A,N/A,N/A,False
2024-03-08,HOU,POR,N/A,N/A,N/A,N/A,False
2024-03-10,HOU,SAC,N/A,N/A,N/A,N/A,False
2024-03-12,HOU,SAS,N/A,N/A,N/A,N/A,False
2024-03-14,HOU,WAS,N/A,N/A,N/A,N/A,False
2024-03-16,HOU,CLE,N/A,N/A,N/A,N/A,False
2024-03-19,HOU,WAS,N/A,N/A,N/A,N/A,False
2024-03-21,HOU,CHI,N/A,N/A,N/A,N/A,False
2024-03-23,HOU,UTA,N/A,N/A,N/A,N/A,False
2024-03-25,HOU,POR,N/A,N/A,N/A,N/A,False
2024-03-27,HOU,OKC,N/A,N/A,N/A,N/A,False
2024-03-29,HOU,UTA,N/A,N/A,N/A,N/A,False
2024-03-31,HOU,DAL,N/A,N/A,N/A,N/A,False
2024-04-02,HOU,MIN,N/A,N/A,N/A,N/A,False
2024-04-04,HOU,GSW,N/A,N/A,N/A,N/A,False
2024-04-05,HOU,MIA,N/A,N/A,N/A,N/A,False
2024-04-07,HOU,DAL,N/A,N/A,N/A,N/A,False
2024-04-09,HOU,ORL,N/A,N/A,N/A,N/A,False
2024-04-11,HOU,UTA,N/A,N/A,N/A,N/A,False
2024-04-12,HOU,POR,N/A,N/A,N/A,N/A,False
2024-04-14,HOU,LAC,N/A,N/A,N/A,N/A,False
