Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,ATL,CHO,N/A,N/A,N/A,N/A,False
2023-10-27,ATL,NYK,N/A,N/A,N/A,N/A,False
2023-10-29,ATL,MIL,4:41,0,0,0,False
2023-10-30,ATL,MIN,1:11,0,0,0,False
2023-11-01,ATL,WAS,N/A,N/A,N/A,N/A,False
2023-11-04,ATL,NOP,N/A,N/A,N/A,N/A,False
2023-11-06,ATL,OKC,N/A,N/A,N/A,N/A,False
2023-11-09,ATL,ORL,1:16,0,0,0,False
2023-11-11,ATL,MIA,N/A,N/A,N/A,N/A,False
2023-11-14,ATL,DET,N/A,N/A,N/A,N/A,False
2023-11-15,ATL,NYK,N/A,N/A,N/A,N/A,False
2023-11-17,ATL,PHI,N/A,N/A,N/A,N/A,False
2023-11-21,ATL,IND,N/A,N/A,N/A,N/A,False
2023-11-22,ATL,BRK,N/A,N/A,N/A,N/A,False
2023-11-25,ATL,WAS,4:55,5,0,1,False
2023-11-26,ATL,BOS,N/A,N/A,N/A,N/A,False
2023-11-28,ATL,CLE,3:54,2,0,3,False
2023-11-30,ATL,SAS,N/A,N/A,N/A,N/A,False
2023-12-02,ATL,MIL,N/A,N/A,N/A,N/A,False
2023-12-06,ATL,BRK,N/A,N/A,N/A,N/A,False
2023-12-08,ATL,PHI,N/A,N/A,N/A,N/A,False
2023-12-11,ATL,DEN,N/A,N/A,N/A,N/A,False
2023-12-13,ATL,TOR,N/A,N/A,N/A,N/A,False
2023-12-15,ATL,TOR,1:04,0,0,0,False
2023-12-16,ATL,CLE,15:50,13,1,8,False
2023-12-18,ATL,DET,N/A,N/A,N/A,N/A,False
2023-12-20,ATL,HOU,N/A,N/A,N/A,N/A,False
2023-12-22,ATL,MIA,N/A,N/A,N/A,N/A,False
2023-12-23,ATL,MEM,N/A,N/A,N/A,N/A,False
2023-12-26,ATL,CHI,N/A,N/A,N/A,N/A,False
2023-12-29,ATL,SAC,N/A,N/A,N/A,N/A,False
2023-12-31,ATL,WAS,14:59,0,2,3,False
2024-01-03,ATL,OKC,N/A,N/A,N/A,N/A,False
2024-01-05,ATL,IND,7:02,6,0,2,False
2024-01-07,ATL,ORL,N/A,N/A,N/A,N/A,False
2024-01-10,ATL,PHI,17:29,8,0,5,False
2024-01-12,ATL,IND,3:42,0,0,1,False
2024-01-13,ATL,WAS,4:47,4,0,2,False
2024-01-15,ATL,SAS,N/A,N/A,N/A,N/A,False
2024-01-17,ATL,ORL,N/A,N/A,N/A,N/A,False
2024-01-19,ATL,MIA,N/A,N/A,N/A,N/A,False
2024-01-20,ATL,CLE,3:15,0,1,1,False
2024-01-22,ATL,SAC,N/A,N/A,N/A,N/A,False
2024-01-24,ATL,GSW,N/A,N/A,N/A,N/A,False
2024-01-26,ATL,DAL,N/A,N/A,N/A,N/A,False
2024-01-28,ATL,TOR,N/A,N/A,N/A,N/A,False
2024-01-30,ATL,LAL,N/A,N/A,N/A,N/A,False
2024-02-02,ATL,PHO,N/A,N/A,N/A,N/A,False
2024-02-03,ATL,GSW,N/A,N/A,N/A,N/A,False
2024-02-05,ATL,LAC,13:42,7,1,4,False
2024-02-07,ATL,BOS,12:06,9,1,4,False
2024-02-09,ATL,PHI,14:06,8,0,3,False
2024-02-10,ATL,HOU,N/A,N/A,N/A,N/A,False
2024-02-12,ATL,CHI,11:31,4,0,7,False
2024-02-14,ATL,CHO,25:49,6,1,12,True
2024-02-23,ATL,TOR,10:30,12,0,4,False
2024-02-25,ATL,ORL,19:25,7,4,1,False
2024-02-27,ATL,UTA,18:19,8,1,3,False
2024-02-29,ATL,BRK,18:06,2,1,3,False
2024-03-02,ATL,BRK,18:32,10,1,4,False
2024-03-05,ATL,NYK,22:31,4,0,7,False
2024-03-06,ATL,CLE,25:09,7,2,10,False
2024-03-08,ATL,MEM,21:08,1,0,7,False
2024-03-10,ATL,NOP,22:24,6,2,11,False
2024-03-13,ATL,POR,20:58,6,0,7,False
2024-03-15,ATL,UTA,15:59,2,2,5,False
2024-03-17,ATL,LAC,22:20,6,1,7,False
2024-03-18,ATL,LAL,9:16,5,2,6,False
2024-03-21,ATL,PHO,3:59,4,0,3,False
2024-03-23,ATL,CHO,25:47,25,1,6,False
2024-03-25,ATL,BOS,18:52,13,3,3,False
2024-03-27,ATL,POR,20:59,7,1,9,False
2024-03-28,ATL,BOS,19:43,6,2,4,False
2024-03-30,ATL,MIL,21:02,10,2,4,False
2024-04-01,ATL,CHI,21:56,10,4,4,False
2024-04-03,ATL,DET,17:33,0,3,1,False
2024-04-04,ATL,DAL,19:22,10,2,5,False
2024-04-06,ATL,DEN,17:34,6,2,6,False
2024-04-09,ATL,MIA,21:24,12,0,4,False
2024-04-10,ATL,CHO,24:56,5,0,6,False
2024-04-12,ATL,MIN,22:02,14,2,5,False
2024-04-14,ATL,IND,21:12,12,1,2,True
