Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,SAC,POR,36:07,27,8,5,True
2021-10-22,SAC,UTA,35:10,12,5,3,True
2021-10-24,SAC,GSW,34:02,17,6,5,True
2021-10-27,SAC,PHO,36:45,18,10,2,True
2021-10-29,SAC,NOP,36:44,23,5,7,True
2021-10-31,SAC,DAL,39:20,14,4,8,True
2021-11-02,SAC,UTA,35:25,13,9,2,True
2021-11-03,SAC,NOP,37:49,19,5,2,True
2021-11-05,SAC,CHO,29:02,21,9,3,True
2021-11-07,SAC,IND,34:46,17,2,3,True
2021-11-08,SAC,PHO,35:15,24,5,4,True
2021-11-10,SAC,SAS,34:46,37,6,2,True
2021-11-12,SAC,OKC,35:27,16,5,1,True
2021-11-15,SAC,DET,33:02,19,9,6,True
2021-11-17,SAC,MIN,36:30,28,5,1,True
2021-11-19,SAC,TOR,26:54,17,3,1,True
2021-11-20,SAC,UTA,32:53,13,3,1,True
2021-11-22,SAC,PHI,36:17,23,2,5,True
2021-11-24,SAC,POR,27:29,21,6,2,True
2021-11-26,SAC,LAL,52:42,34,8,6,True
2021-11-28,SAC,MEM,21:13,12,2,4,True
2021-11-30,SAC,LAL,36:00,17,5,5,True
2021-12-01,SAC,LAC,36:05,24,5,3,True
2021-12-04,SAC,LAC,36:37,17,5,8,True
2021-12-08,SAC,ORL,33:20,33,1,3,True
2021-12-10,SAC,CHO,34:20,31,5,2,True
2021-12-11,SAC,CLE,25:11,13,1,6,True
2021-12-13,SAC,TOR,32:10,29,3,2,True
2021-12-15,SAC,WAS,31:20,28,4,4,True
2021-12-17,SAC,MEM,N/A,N/A,N/A,N/A,False
2021-12-19,SAC,SAS,N/A,N/A,N/A,N/A,False
2021-12-20,SAC,GSW,N/A,N/A,N/A,N/A,False
2021-12-22,SAC,LAC,N/A,N/A,N/A,N/A,False
2021-12-26,SAC,MEM,29:46,12,5,3,True
2021-12-28,SAC,OKC,35:17,12,8,5,True
2021-12-29,SAC,DAL,33:36,16,3,1,True
2021-12-31,SAC,DAL,31:24,10,7,1,True
2022-01-02,SAC,MIA,35:20,24,6,6,True
2022-01-04,SAC,LAL,33:25,30,6,3,True
2022-01-05,SAC,ATL,37:32,30,6,2,True
2022-01-07,SAC,DEN,37:34,30,5,7,True
2022-01-09,SAC,POR,35:43,14,2,5,True
2022-01-10,SAC,CLE,31:06,12,4,4,True
2022-01-12,SAC,LAL,36:50,29,4,4,True
2022-01-14,SAC,HOU,34:27,27,8,6,True
2022-01-16,SAC,HOU,26:16,14,4,3,True
2022-01-19,SAC,DET,37:16,27,8,6,True
2022-01-22,SAC,MIL,N/A,N/A,N/A,N/A,False
2022-01-25,SAC,BOS,N/A,N/A,N/A,N/A,False
2022-01-26,SAC,ATL,N/A,N/A,N/A,N/A,False
2022-01-29,SAC,PHI,N/A,N/A,N/A,N/A,False
2022-01-31,SAC,NYK,N/A,N/A,N/A,N/A,False
2022-02-02,SAC,BRK,N/A,N/A,N/A,N/A,False
2022-02-03,SAC,GSW,N/A,N/A,N/A,N/A,False
2022-02-05,SAC,OKC,N/A,N/A,N/A,N/A,False
2022-02-08,SAC,MIN,35:28,29,6,7,True
2022-02-09,SAC,MIN,35:58,27,3,8,True
2022-02-12,SAC,WAS,38:14,26,4,2,True
2022-02-14,SAC,BRK,33:11,26,3,2,True
2022-02-16,SAC,CHI,40:55,33,9,6,True
2022-02-24,SAC,DEN,36:00,20,4,1,True
2022-02-26,SAC,DEN,39:54,26,10,5,True
2022-02-28,SAC,OKC,40:38,29,10,4,True
2022-03-02,SAC,NOP,37:06,25,3,2,True
2022-03-03,SAC,SAS,38:57,26,9,6,True
2022-03-05,SAC,DAL,40:27,44,6,2,True
2022-03-07,SAC,NYK,41:11,24,7,6,True
2022-03-09,SAC,DEN,36:34,32,10,5,True
2022-03-12,SAC,UTA,41:19,41,11,3,True
2022-03-14,SAC,CHI,41:57,34,6,6,True
2022-03-16,SAC,MIL,37:27,21,7,4,True
2022-03-18,SAC,BOS,N/A,N/A,N/A,N/A,False
2022-03-20,SAC,PHO,N/A,N/A,N/A,N/A,False
2022-03-23,SAC,IND,N/A,N/A,N/A,N/A,False
2022-03-26,SAC,ORL,N/A,N/A,N/A,N/A,False
2022-03-28,SAC,MIA,N/A,N/A,N/A,N/A,False
2022-03-30,SAC,HOU,N/A,N/A,N/A,N/A,False
2022-04-01,SAC,HOU,N/A,N/A,N/A,N/A,False
2022-04-03,SAC,GSW,N/A,N/A,N/A,N/A,False
2022-04-05,SAC,NOP,N/A,N/A,N/A,N/A,False
2022-04-09,SAC,LAC,N/A,N/A,N/A,N/A,False
2022-04-10,SAC,PHO,N/A,N/A,N/A,N/A,False
