Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,ORL,DET,N/A,N/A,N/A,N/A,False
2022-10-21,ORL,ATL,N/A,N/A,N/A,N/A,False
2022-10-22,ORL,BOS,N/A,N/A,N/A,N/A,False
2022-10-24,ORL,NYK,N/A,N/A,N/A,N/A,False
2022-10-26,ORL,CLE,N/A,N/A,N/A,N/A,False
2022-10-28,ORL,CHO,N/A,N/A,N/A,N/A,False
2022-10-30,ORL,DAL,N/A,N/A,N/A,N/A,False
2022-11-01,ORL,OKC,N/A,N/A,N/A,N/A,False
2022-11-03,ORL,GSW,N/A,N/A,N/A,N/A,False
2022-11-05,ORL,SAC,N/A,N/A,N/A,N/A,False
2022-11-07,ORL,HOU,N/A,N/A,N/A,N/A,False
2022-11-09,ORL,DAL,N/A,N/A,N/A,N/A,False
2022-11-11,ORL,PHO,N/A,N/A,N/A,N/A,False
2022-11-14,ORL,CHO,N/A,N/A,N/A,N/A,False
2022-11-16,ORL,MIN,N/A,N/A,N/A,N/A,False
2022-11-18,ORL,CHI,N/A,N/A,N/A,N/A,False
2022-11-19,ORL,IND,N/A,N/A,N/A,N/A,False
2022-11-21,ORL,IND,N/A,N/A,N/A,N/A,False
2022-11-25,ORL,PHI,N/A,N/A,N/A,N/A,False
2022-11-27,ORL,PHI,N/A,N/A,N/A,N/A,False
2022-11-28,ORL,BRK,N/A,N/A,N/A,N/A,False
2022-11-30,ORL,ATL,16:46,8,4,1,True
2022-12-02,ORL,CLE,29:36,10,6,6,True
2022-12-03,ORL,TOR,18:45,7,4,1,True
2022-12-05,ORL,MIL,32:09,20,2,5,True
2022-12-07,ORL,LAC,27:47,1,4,2,True
2022-12-09,ORL,TOR,25:18,15,5,3,True
2022-12-11,ORL,TOR,23:19,7,4,1,True
2022-12-14,ORL,ATL,31:37,16,9,7,True
2022-12-16,ORL,BOS,28:11,12,4,4,True
2022-12-18,ORL,BOS,30:18,8,5,5,True
2022-12-19,ORL,ATL,33:02,24,9,6,True
2022-12-21,ORL,HOU,28:55,11,3,1,True
2022-12-23,ORL,SAS,23:49,8,8,7,True
2022-12-27,ORL,LAL,27:34,16,3,3,True
2022-12-28,ORL,DET,27:51,6,9,7,True
2022-12-30,ORL,WAS,26:07,12,6,7,True
2023-01-04,ORL,OKC,25:16,13,4,6,True
2023-01-05,ORL,MEM,31:01,8,9,5,True
2023-01-07,ORL,GSW,30:56,16,7,5,True
2023-01-09,ORL,SAC,28:06,16,5,2,True
2023-01-10,ORL,POR,36:37,18,7,3,True
2023-01-13,ORL,UTA,29:26,8,6,1,True
2023-01-15,ORL,DEN,27:25,20,6,7,True
2023-01-20,ORL,NOP,23:43,9,3,2,True
2023-01-21,ORL,WAS,29:18,23,8,5,True
2023-01-23,ORL,BOS,31:59,8,5,4,True
2023-01-25,ORL,IND,31:25,13,8,1,True
2023-01-27,ORL,MIA,30:49,10,6,3,True
2023-01-28,ORL,CHI,21:32,7,3,1,True
2023-01-30,ORL,PHI,32:09,12,10,2,True
2023-02-01,ORL,PHI,33:26,18,2,3,True
2023-02-03,ORL,MIN,29:54,15,3,4,True
2023-02-05,ORL,CHO,35:56,16,5,1,True
2023-02-07,ORL,NYK,31:30,21,6,4,True
2023-02-09,ORL,DEN,31:43,8,4,8,True
2023-02-11,ORL,MIA,33:03,17,3,4,True
2023-02-13,ORL,CHI,35:09,18,9,10,True
2023-02-14,ORL,TOR,36:11,19,5,6,True
2023-02-23,ORL,DET,29:41,14,8,2,True
2023-02-25,ORL,IND,31:21,18,3,5,True
2023-02-27,ORL,NOP,29:53,14,5,5,True
2023-03-01,ORL,MIL,31:42,21,5,7,True
2023-03-03,ORL,CHO,33:27,9,4,4,True
2023-03-05,ORL,POR,34:53,15,8,5,True
2023-03-07,ORL,MIL,31:05,16,4,1,True
2023-03-09,ORL,UTA,32:19,25,6,3,True
2023-03-11,ORL,MIA,38:02,12,8,4,True
2023-03-14,ORL,SAS,30:51,13,6,4,True
2023-03-16,ORL,PHO,33:38,25,9,7,True
2023-03-18,ORL,LAC,34:33,28,4,6,True
2023-03-19,ORL,LAL,33:42,12,10,3,True
2023-03-21,ORL,WAS,31:27,17,5,5,True
2023-03-23,ORL,NYK,34:14,10,8,1,True
2023-03-26,ORL,BRK,28:27,10,9,6,True
2023-03-28,ORL,MEM,28:50,11,5,1,True
2023-03-31,ORL,WAS,33:08,25,4,6,True
2023-04-02,ORL,DET,24:09,11,6,2,True
2023-04-04,ORL,CLE,36:06,23,8,2,True
2023-04-06,ORL,CLE,N/A,N/A,N/A,N/A,False
2023-04-07,ORL,BRK,17:45,7,5,1,True
2023-04-09,ORL,MIA,11:10,7,2,1,True
