Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,OKC,CHI,31:47,16,6,6,True
2023-10-27,OKC,CLE,28:26,2,6,6,True
2023-10-29,OKC,DEN,21:55,9,3,2,True
2023-10-30,OKC,DET,28:24,21,3,7,True
2023-11-01,OKC,NOP,31:16,15,4,9,True
2023-11-03,OKC,GSW,30:34,18,4,5,True
2023-11-06,OKC,ATL,27:28,8,4,7,True
2023-11-08,OKC,CLE,25:07,8,6,5,True
2023-11-10,OKC,SAC,26:34,13,5,4,True
2023-11-12,OKC,PHO,31:57,10,10,6,True
2023-11-14,OKC,SAS,24:41,18,7,7,True
2023-11-16,OKC,GSW,26:07,19,1,6,True
2023-11-18,OKC,GSW,22:21,11,2,5,True
2023-11-19,OKC,POR,22:36,6,5,4,True
2023-11-22,OKC,CHI,28:59,10,2,6,True
2023-11-25,OKC,PHI,25:36,10,8,7,True
2023-11-28,OKC,MIN,28:09,10,1,6,True
2023-11-30,OKC,LAL,20:58,14,1,8,True
2023-12-02,OKC,DAL,16:36,10,1,3,True
2023-12-06,OKC,HOU,24:48,8,6,4,True
2023-12-08,OKC,GSW,24:43,9,4,9,True
2023-12-11,OKC,UTA,23:49,12,8,10,True
2023-12-14,OKC,SAC,28:45,18,4,8,True
2023-12-16,OKC,DEN,15:20,4,4,2,True
2023-12-18,OKC,MEM,23:48,16,4,12,True
2023-12-21,OKC,LAC,14:23,11,4,3,True
2023-12-23,OKC,LAL,N/A,N/A,N/A,N/A,False
2023-12-26,OKC,MIN,25:20,10,7,2,True
2023-12-27,OKC,NYK,29:29,7,2,6,True
2023-12-29,OKC,DEN,21:16,12,4,8,True
2023-12-31,OKC,BRK,26:51,20,5,6,True
2024-01-02,OKC,BOS,26:53,23,6,8,True
2024-01-03,OKC,ATL,22:22,9,4,3,True
2024-01-05,OKC,BRK,23:36,13,5,8,True
2024-01-08,OKC,WAS,26:11,9,9,6,True
2024-01-10,OKC,MIA,20:28,9,2,7,True
2024-01-11,OKC,POR,22:30,13,12,10,True
2024-01-13,OKC,ORL,27:27,12,4,8,True
2024-01-15,OKC,LAL,21:32,8,3,5,True
2024-01-16,OKC,LAC,19:14,9,4,4,True
2024-01-18,OKC,UTA,30:16,20,6,10,True
2024-01-20,OKC,MIN,24:51,5,4,8,True
2024-01-23,OKC,POR,24:52,7,3,5,True
2024-01-24,OKC,SAS,22:05,12,4,8,True
2024-01-26,OKC,NOP,22:40,4,6,5,True
2024-01-28,OKC,DET,27:10,12,5,9,True
2024-01-29,OKC,MIN,19:10,13,2,4,True
2024-01-31,OKC,DEN,25:14,8,5,9,True
2024-02-02,OKC,CHO,19:06,8,4,6,True
2024-02-04,OKC,TOR,41:09,24,6,6,True
2024-02-06,OKC,UTA,26:10,8,2,3,True
2024-02-10,OKC,DAL,22:51,11,3,3,True
2024-02-11,OKC,SAC,20:05,5,4,5,True
2024-02-13,OKC,ORL,27:02,10,5,5,True
2024-02-22,OKC,LAC,22:48,12,2,5,True
2024-02-23,OKC,WAS,21:31,12,3,7,True
2024-02-25,OKC,HOU,23:10,2,5,9,True
2024-02-27,OKC,HOU,20:13,14,4,7,True
2024-02-29,OKC,SAS,18:29,2,2,2,True
2024-03-03,OKC,PHO,19:25,10,2,1,True
2024-03-04,OKC,LAL,28:49,13,4,5,True
2024-03-06,OKC,POR,32:13,19,7,6,True
2024-03-08,OKC,MIA,23:17,11,6,9,True
2024-03-10,OKC,MEM,19:17,16,4,10,True
2024-03-12,OKC,IND,27:50,15,3,7,True
2024-03-14,OKC,DAL,22:12,18,5,3,True
2024-03-16,OKC,MEM,19:12,13,2,6,True
2024-03-20,OKC,UTA,26:06,5,8,11,True
2024-03-22,OKC,TOR,21:57,10,5,2,True
2024-03-24,OKC,MIL,28:42,19,8,9,True
2024-03-26,OKC,NOP,30:43,25,4,9,True
2024-03-27,OKC,HOU,31:53,31,4,7,True
2024-03-29,OKC,PHO,24:00,23,9,7,True
2024-03-31,OKC,NYK,30:54,16,12,13,True
2024-04-02,OKC,PHI,27:38,10,3,5,True
2024-04-03,OKC,BOS,28:14,17,2,6,True
2024-04-05,OKC,IND,35:28,14,12,9,True
2024-04-07,OKC,CHO,37:08,20,13,13,True
2024-04-09,OKC,SAC,21:16,4,3,4,True
2024-04-10,OKC,SAS,28:37,20,7,12,True
2024-04-12,OKC,MIL,N/A,N/A,N/A,N/A,False
2024-04-14,OKC,DAL,19:30,8,8,6,True
