Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,WAS,TOR,12:49,0,0,3,False
2021-10-22,WAS,IND,25:05,7,2,2,True
2021-10-25,WAS,BRK,18:19,11,0,4,False
2021-10-27,WAS,BOS,18:46,9,3,2,False
2021-10-28,WAS,ATL,24:21,7,4,0,True
2021-10-30,WAS,BOS,11:35,6,0,0,False
2021-11-01,WAS,ATL,13:45,5,2,1,False
2021-11-03,WAS,TOR,5:08,0,0,0,False
2021-11-05,WAS,MEM,20:42,6,3,5,False
2021-11-07,WAS,MIL,11:25,7,2,1,False
2021-11-10,WAS,CLE,13:33,2,3,2,False
2021-11-13,WAS,ORL,34:34,11,4,2,True
2021-11-15,WAS,NOP,26:40,12,1,4,True
2021-11-17,WAS,CHO,12:53,3,1,0,False
2021-11-18,WAS,MIA,29:12,4,5,0,True
2021-11-20,WAS,MIA,11:15,4,0,1,False
2021-11-22,WAS,CHO,16:49,5,3,3,False
2021-11-24,WAS,NOP,18:01,4,2,2,False
2021-11-26,WAS,OKC,10:48,0,0,0,False
2021-11-27,WAS,DAL,19:44,7,3,2,True
2021-11-29,WAS,SAS,12:07,4,1,1,False
2021-12-01,WAS,MIN,N/A,N/A,N/A,N/A,False
2021-12-03,WAS,CLE,21:01,11,4,2,False
2021-12-05,WAS,TOR,9:21,4,0,0,False
2021-12-06,WAS,IND,21:23,11,5,1,True
2021-12-08,WAS,DET,4:07,2,1,0,False
2021-12-11,WAS,UTA,11:10,5,0,0,False
2021-12-13,WAS,DEN,14:56,18,1,6,False
2021-12-15,WAS,SAC,9:24,2,0,1,False
2021-12-16,WAS,PHO,18:49,11,1,3,True
2021-12-18,WAS,UTA,4:18,2,1,0,False
2021-12-23,WAS,NYK,28:24,16,5,3,True
2021-12-26,WAS,PHI,27:37,8,1,0,True
2021-12-28,WAS,MIA,N/A,N/A,N/A,N/A,False
2021-12-30,WAS,CLE,N/A,N/A,N/A,N/A,False
2022-01-01,WAS,CHI,N/A,N/A,N/A,N/A,False
2022-01-03,WAS,CHO,N/A,N/A,N/A,N/A,False
2022-01-05,WAS,HOU,N/A,N/A,N/A,N/A,False
2022-01-07,WAS,CHI,13:28,2,5,1,False
2022-01-09,WAS,ORL,N/A,N/A,N/A,N/A,False
2022-01-11,WAS,OKC,N/A,N/A,N/A,N/A,False
2022-01-12,WAS,ORL,N/A,N/A,N/A,N/A,False
2022-01-15,WAS,POR,12:00,10,3,5,False
2022-01-17,WAS,PHI,2:44,0,0,1,False
2022-01-19,WAS,BRK,N/A,N/A,N/A,N/A,False
2022-01-21,WAS,TOR,N/A,N/A,N/A,N/A,False
2022-01-23,WAS,BOS,4:02,2,1,1,False
2022-01-25,WAS,LAC,N/A,N/A,N/A,N/A,False
2022-01-29,WAS,MEM,4:52,3,1,1,False
2022-02-01,WAS,MIL,19:18,3,2,1,True
2022-02-02,WAS,PHI,18:07,2,1,1,True
2022-02-05,WAS,PHO,22:14,11,3,1,True
2022-02-07,WAS,MIA,27:49,14,4,4,True
2022-02-10,PHO,MIL,N/A,N/A,N/A,N/A,False
2022-02-10,WAS,BRK,N/A,N/A,N/A,N/A,False
2022-02-12,PHO,ORL,8:59,10,0,1,False
2022-02-15,PHO,LAC,10:40,3,2,2,False
2022-02-16,PHO,HOU,20:01,9,6,3,False
2022-02-24,PHO,OKC,24:58,12,5,2,False
2022-02-25,PHO,NOP,N/A,N/A,N/A,N/A,False
2022-02-27,PHO,UTA,21:03,5,3,1,False
2022-03-02,PHO,POR,27:53,9,9,3,False
2022-03-04,PHO,NYK,15:24,10,4,2,False
2022-03-06,PHO,MIL,17:47,8,4,3,False
2022-03-08,PHO,ORL,16:28,11,4,4,False
2022-03-09,PHO,MIA,15:14,5,1,1,False
2022-03-11,PHO,TOR,10:58,7,2,1,False
2022-03-13,PHO,LAL,24:03,12,5,4,False
2022-03-15,PHO,NOP,21:53,2,3,6,False
2022-03-16,PHO,HOU,16:20,0,6,2,False
2022-03-18,PHO,CHI,6:08,9,1,1,False
2022-03-20,PHO,SAC,22:48,9,7,5,False
2022-03-23,PHO,MIN,9:03,2,1,3,False
2022-03-24,PHO,DEN,N/A,N/A,N/A,N/A,False
2022-03-27,PHO,PHI,N/A,N/A,N/A,N/A,False
2022-03-30,PHO,GSW,N/A,N/A,N/A,N/A,False
2022-04-01,PHO,MEM,N/A,N/A,N/A,N/A,False
2022-04-03,PHO,OKC,5:27,0,0,0,False
2022-04-05,PHO,LAL,1:04,0,0,0,False
2022-04-06,PHO,LAC,18:27,16,7,6,False
2022-04-08,PHO,UTA,10:23,0,0,0,False
2022-04-10,PHO,SAC,33:03,10,5,5,True
