Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,CHO,SAS,23:20,5,2,5,False
2022-10-21,CHO,NOP,26:30,14,2,5,False
2022-10-23,CHO,ATL,20:21,9,3,5,False
2022-10-26,CHO,NYK,22:48,17,2,6,False
2022-10-28,CHO,ORL,22:05,6,2,7,False
2022-10-29,CHO,GSW,32:29,12,2,11,False
2022-10-31,CHO,SAC,27:02,13,4,1,False
2022-11-02,CHO,CHI,35:38,11,2,6,False
2022-11-04,CHO,MEM,21:28,4,2,1,True
2022-11-05,CHO,BRK,27:46,6,3,6,False
2022-11-07,CHO,WAS,27:23,9,1,7,False
2022-11-09,CHO,POR,20:27,7,1,3,False
2022-11-10,CHO,MIA,34:10,16,4,4,False
2022-11-12,CHO,MIA,27:38,9,4,4,False
2022-11-14,CHO,ORL,25:58,10,0,4,False
2022-11-16,CHO,IND,20:04,3,4,4,False
2022-11-18,CHO,CLE,23:28,2,1,2,False
2022-11-20,CHO,WAS,21:06,8,1,6,False
2022-11-23,CHO,PHI,21:07,11,1,3,False
2022-11-25,CHO,MIN,31:13,8,3,6,True
2022-11-28,CHO,BOS,29:59,24,2,1,True
2022-12-02,CHO,WAS,25:18,9,1,5,True
2022-12-03,CHO,MIL,33:01,21,2,5,True
2022-12-05,CHO,LAC,34:15,9,6,4,True
2022-12-07,CHO,BRK,35:43,19,3,7,True
2022-12-09,CHO,NYK,21:26,4,3,4,True
2022-12-11,CHO,PHI,30:32,15,3,5,True
2022-12-14,CHO,DET,35:07,21,1,6,False
2022-12-16,CHO,ATL,16:44,7,2,1,True
2022-12-18,CHO,DEN,19:50,14,2,5,False
2022-12-19,CHO,SAC,25:50,6,2,3,False
2022-12-21,CHO,LAC,29:23,16,0,9,False
2022-12-23,CHO,LAL,18:40,7,3,1,False
2022-12-26,CHO,POR,15:28,7,1,2,False
2022-12-27,CHO,GSW,25:55,12,3,7,False
2022-12-29,CHO,OKC,22:01,12,0,3,False
2022-12-31,CHO,BRK,28:03,10,3,6,False
2023-01-02,CHO,LAL,31:18,10,2,7,False
2023-01-04,CHO,MEM,27:24,16,0,7,True
2023-01-06,CHO,MIL,32:24,11,2,9,True
2023-01-08,CHO,IND,34:09,17,1,6,True
2023-01-10,CHO,TOR,29:16,11,2,7,True
2023-01-12,CHO,TOR,27:50,10,0,5,True
2023-01-14,CHO,BOS,27:55,9,1,0,True
2023-01-16,CHO,BOS,35:25,26,1,3,True
2023-01-18,CHO,HOU,34:54,12,3,4,True
2023-01-21,CHO,ATL,24:05,7,3,1,True
2023-01-23,CHO,UTA,28:06,9,3,9,True
2023-01-24,CHO,PHO,34:18,15,2,10,True
2023-01-26,CHO,CHI,26:15,5,2,6,False
2023-01-29,CHO,MIA,25:07,2,1,7,False
2023-01-31,CHO,MIL,24:36,15,1,6,False
2023-02-02,CHO,CHI,26:18,0,1,2,False
2023-02-03,CHO,DET,23:01,14,0,4,False
2023-02-05,CHO,ORL,25:24,7,4,4,False
2023-02-08,CHO,WAS,16:35,6,1,3,False
2023-02-10,PHI,NYK,N/A,N/A,N/A,N/A,False
2023-02-11,PHI,BRK,15:40,5,1,4,False
2023-02-13,PHI,HOU,27:55,8,3,5,False
2023-02-15,PHI,CLE,12:36,4,0,4,False
2023-02-23,PHI,MEM,14:39,3,1,3,False
2023-02-25,PHI,BOS,14:50,4,0,2,False
2023-02-27,PHI,MIA,10:16,2,1,4,False
2023-03-01,PHI,MIA,13:24,4,2,1,False
2023-03-02,PHI,DAL,13:21,6,1,4,False
2023-03-04,PHI,MIL,19:59,8,0,2,False
2023-03-06,PHI,IND,29:48,20,0,8,True
2023-03-07,PHI,MIN,16:37,5,0,5,False
2023-03-10,PHI,POR,10:11,4,0,3,False
2023-03-12,PHI,WAS,7:40,6,0,1,False
2023-03-15,PHI,CLE,N/A,N/A,N/A,N/A,False
2023-03-17,PHI,CHO,N/A,N/A,N/A,N/A,False
2023-03-18,PHI,IND,15:45,7,0,1,False
2023-03-20,PHI,CHI,8:34,0,0,2,False
2023-03-22,PHI,CHI,N/A,N/A,N/A,N/A,False
2023-03-24,PHI,GSW,N/A,N/A,N/A,N/A,False
2023-03-25,PHI,PHO,13:46,0,0,1,False
2023-03-27,PHI,DEN,21:37,14,1,2,False
2023-03-29,PHI,DAL,15:29,3,1,2,False
2023-03-31,PHI,TOR,20:57,7,1,3,False
2023-04-02,PHI,MIL,14:02,0,1,3,False
2023-04-04,PHI,BOS,15:06,8,0,2,False
2023-04-06,PHI,MIA,25:27,10,1,0,False
2023-04-07,PHI,ATL,43:32,24,3,11,True
2023-04-09,PHI,BRK,17:56,8,2,3,True
