Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,CHO,ATL,24:37,13,2,3,False
2023-10-27,CHO,DET,33:25,17,2,6,False
2023-10-30,CHO,BRK,36:08,22,2,9,False
2023-11-01,CHO,HOU,23:56,10,2,5,False
2023-11-04,CHO,IND,33:50,10,1,3,False
2023-11-05,CHO,DAL,35:52,7,1,1,True
2023-11-08,CHO,WAS,30:00,13,2,5,True
2023-11-10,CHO,WAS,31:35,12,2,3,True
2023-11-12,CHO,NYK,9:56,11,0,3,True
2023-11-14,CHO,MIA,N/A,N/A,N/A,N/A,False
2023-11-17,CHO,MIL,27:28,10,3,4,True
2023-11-18,CHO,NYK,33:44,29,2,3,True
2023-11-20,CHO,BOS,39:46,9,4,7,True
2023-11-22,CHO,WAS,31:29,15,3,0,True
2023-11-26,CHO,ORL,32:43,20,1,5,False
2023-11-28,CHO,NYK,36:12,18,2,3,True
2023-11-30,CHO,BRK,N/A,N/A,N/A,N/A,False
2023-12-02,CHO,MIN,36:20,14,3,5,True
2023-12-06,CHO,CHI,38:53,12,4,6,True
2023-12-08,CHO,TOR,35:20,20,3,5,True
2023-12-11,CHO,MIA,30:10,16,2,4,True
2023-12-13,CHO,MIA,38:35,18,3,2,True
2023-12-15,CHO,NOP,35:17,16,3,4,True
2023-12-16,CHO,PHI,29:16,14,4,4,True
2023-12-18,CHO,TOR,36:41,14,0,3,True
2023-12-20,CHO,IND,32:46,21,3,6,True
2023-12-23,CHO,DEN,10:45,4,2,1,True
2023-12-26,CHO,LAC,N/A,N/A,N/A,N/A,False
2023-12-28,CHO,LAL,28:42,17,2,1,True
2023-12-29,CHO,PHO,31:25,20,3,1,True
2024-01-01,CHO,DEN,31:50,15,1,5,True
2024-01-02,CHO,SAC,N/A,N/A,N/A,N/A,False
2024-01-05,CHO,CHI,22:46,9,1,3,True
2024-01-08,CHO,CHI,30:36,4,4,6,True
2024-01-10,CHO,SAC,27:57,15,2,1,True
2024-01-12,CHO,SAS,9:27,1,1,2,True
2024-01-14,CHO,MIA,N/A,N/A,N/A,N/A,False
2024-01-17,CHO,NOP,N/A,N/A,N/A,N/A,False
2024-01-19,CHO,SAS,35:06,24,2,9,True
2024-01-20,CHO,PHI,34:46,23,3,7,True
2024-01-22,CHO,MIN,29:26,27,2,3,True
2024-01-24,CHO,DET,38:47,23,4,7,True
2024-01-26,CHO,HOU,19:37,5,2,1,True
2024-01-27,CHO,UTA,36:55,12,3,1,True
2024-01-29,CHO,NYK,38:48,29,3,7,True
2024-01-31,CHO,CHI,38:24,21,3,1,True
2024-02-02,CHO,OKC,31:41,28,4,4,True
2024-02-04,CHO,IND,37:43,35,1,6,True
2024-02-05,CHO,LAL,33:06,33,3,4,True
2024-02-07,CHO,TOR,41:23,20,1,4,True
2024-02-09,CHO,MIL,29:05,16,3,6,True
2024-02-10,CHO,MEM,30:54,18,1,6,True
2024-02-12,CHO,IND,28:41,12,1,4,True
2024-02-14,CHO,ATL,36:04,26,4,6,True
2024-02-22,CHO,UTA,38:09,16,5,3,True
2024-02-23,CHO,GSW,31:17,11,5,3,True
2024-02-25,CHO,POR,38:12,17,1,4,True
2024-02-27,CHO,MIL,32:43,14,2,2,True
2024-02-29,CHO,MIL,39:39,21,1,7,True
2024-03-01,CHO,PHI,N/A,N/A,N/A,N/A,False
2024-03-03,CHO,TOR,36:38,26,3,10,True
2024-03-05,CHO,ORL,37:34,18,3,5,True
2024-03-08,CHO,WAS,30:08,21,0,6,True
2024-03-09,CHO,BRK,36:08,23,3,7,True
2024-03-11,CHO,DET,35:19,19,7,5,True
2024-03-13,CHO,MEM,36:02,10,5,3,True
2024-03-15,CHO,PHO,28:41,14,1,4,True
2024-03-16,CHO,PHI,15:20,6,1,2,True
2024-03-19,CHO,ORL,32:25,21,1,7,True
2024-03-23,CHO,ATL,34:27,13,1,2,True
2024-03-25,CHO,CLE,36:58,24,3,8,True
2024-03-27,CHO,CLE,35:29,31,1,6,True
2024-03-29,CHO,GSW,32:56,12,3,3,True
2024-03-31,CHO,LAC,39:53,22,4,6,True
2024-04-01,CHO,BOS,40:22,19,2,5,True
2024-04-03,CHO,POR,29:54,21,1,2,True
2024-04-05,CHO,ORL,39:19,32,2,6,True
2024-04-07,CHO,OKC,35:35,13,4,3,True
2024-04-09,CHO,DAL,34:54,21,4,6,True
2024-04-10,CHO,ATL,33:24,27,2,3,True
2024-04-12,CHO,BOS,13:38,9,0,2,True
2024-04-14,CHO,CLE,N/A,N/A,N/A,N/A,False
