Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,PHI,NOP,N/A,N/A,N/A,N/A,False
2021-10-22,PHI,BRK,N/A,N/A,N/A,N/A,False
2021-10-24,PHI,OKC,N/A,N/A,N/A,N/A,False
2021-10-26,PHI,NYK,N/A,N/A,N/A,N/A,False
2021-10-28,PHI,DET,16:22,13,5,1,False
2021-10-30,PHI,ATL,18:54,11,2,4,False
2021-11-01,PHI,POR,19:43,10,3,1,False
2021-11-03,PHI,CHI,19:50,7,2,3,False
2021-11-04,PHI,DET,33:47,16,5,8,True
2021-11-06,PHI,CHI,35:31,13,6,7,True
2021-11-08,PHI,NYK,21:58,10,2,1,False
2021-11-09,PHI,MIL,41:36,20,6,4,True
2021-11-11,PHI,TOR,17:26,12,0,2,False
2021-11-13,PHI,IND,21:39,7,0,1,False
2021-11-16,PHI,UTA,35:17,18,4,3,True
2021-11-18,PHI,DEN,28:58,12,4,5,False
2021-11-20,PHI,POR,16:03,6,2,3,False
2021-11-22,PHI,SAC,36:19,16,1,2,False
2021-11-24,PHI,GSW,23:38,9,4,4,False
2021-11-27,PHI,MIN,N/A,N/A,N/A,N/A,False
2021-11-29,PHI,ORL,18:18,6,3,2,False
2021-12-01,PHI,BOS,22:23,16,1,2,False
2021-12-03,PHI,ATL,21:51,5,3,1,False
2021-12-06,PHI,CHO,35:28,16,2,4,True
2021-12-08,PHI,CHO,21:55,8,3,3,False
2021-12-09,PHI,UTA,24:25,7,2,3,False
2021-12-11,PHI,GSW,19:22,10,2,4,False
2021-12-13,PHI,MEM,29:35,12,5,4,False
2021-12-15,PHI,MIA,21:59,6,5,0,False
2021-12-16,PHI,BRK,33:53,13,0,6,True
2021-12-20,PHI,BOS,N/A,N/A,N/A,N/A,False
2021-12-23,PHI,ATL,N/A,N/A,N/A,N/A,False
2021-12-26,PHI,WAS,N/A,N/A,N/A,N/A,False
2021-12-28,PHI,TOR,N/A,N/A,N/A,N/A,False
2021-12-30,PHI,BRK,11:26,0,1,1,False
2022-01-03,PHI,HOU,20:41,5,2,2,False
2022-01-05,PHI,ORL,N/A,N/A,N/A,N/A,False
2022-01-07,PHI,SAS,N/A,N/A,N/A,N/A,False
2022-01-10,PHI,HOU,N/A,N/A,N/A,N/A,False
2022-01-12,PHI,CHO,N/A,N/A,N/A,N/A,False
2022-01-14,PHI,BOS,N/A,N/A,N/A,N/A,False
2022-01-15,PHI,MIA,N/A,N/A,N/A,N/A,False
2022-01-17,PHI,WAS,N/A,N/A,N/A,N/A,False
2022-01-19,PHI,ORL,N/A,N/A,N/A,N/A,False
2022-01-21,PHI,LAC,N/A,N/A,N/A,N/A,False
2022-01-23,PHI,SAS,N/A,N/A,N/A,N/A,False
2022-01-25,PHI,NOP,N/A,N/A,N/A,N/A,False
2022-01-27,PHI,LAL,N/A,N/A,N/A,N/A,False
2022-01-29,PHI,SAC,N/A,N/A,N/A,N/A,False
2022-01-31,PHI,MEM,N/A,N/A,N/A,N/A,False
2022-02-02,PHI,WAS,N/A,N/A,N/A,N/A,False
2022-02-04,PHI,DAL,N/A,N/A,N/A,N/A,False
2022-02-06,PHI,CHI,N/A,N/A,N/A,N/A,False
2022-02-08,PHI,PHO,N/A,N/A,N/A,N/A,False
2022-02-11,PHI,OKC,25:09,4,2,4,False
2022-02-12,PHI,CLE,20:29,6,5,3,False
2022-02-15,PHI,BOS,27:18,8,4,4,False
2022-02-17,PHI,MIL,13:18,6,2,4,False
2022-02-25,PHI,MIN,11:37,2,3,2,False
2022-02-27,PHI,NYK,6:37,4,0,1,False
2022-03-02,PHI,NYK,19:34,6,0,3,False
2022-03-04,PHI,CLE,20:52,11,1,4,False
2022-03-05,PHI,MIA,24:02,4,2,1,False
2022-03-07,PHI,CHI,13:39,3,0,1,False
2022-03-10,PHI,BRK,24:18,0,5,3,False
2022-03-13,PHI,ORL,12:00,0,1,0,False
2022-03-14,PHI,DEN,8:16,3,0,1,False
2022-03-16,PHI,CLE,3:05,0,0,0,False
2022-03-18,PHI,DAL,12:36,0,0,2,False
2022-03-20,PHI,TOR,8:42,0,1,0,False
2022-03-21,PHI,MIA,31:09,20,6,5,False
2022-03-23,PHI,LAL,20:20,3,1,2,False
2022-03-25,PHI,LAC,24:43,7,5,2,False
2022-03-27,PHI,PHO,14:03,3,4,2,False
2022-03-29,PHI,MIL,15:44,6,0,2,False
2022-03-31,PHI,DET,19:11,3,3,2,False
2022-04-02,PHI,CHO,26:22,10,5,4,False
2022-04-03,PHI,CLE,14:56,4,0,1,False
2022-04-05,PHI,IND,19:44,10,2,3,False
2022-04-07,PHI,TOR,17:59,9,0,0,False
2022-04-09,PHI,IND,22:28,4,8,1,False
2022-04-10,PHI,DET,32:55,30,4,4,False
