Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,SAC,UTA,23:08,10,7,2,False
2023-10-27,SAC,GSW,17:57,9,6,0,False
2023-10-29,SAC,LAL,24:42,22,3,3,False
2023-11-01,SAC,GSW,24:39,16,2,3,False
2023-11-04,SAC,HOU,25:42,18,7,3,False
2023-11-06,SAC,HOU,14:39,5,2,1,False
2023-11-08,SAC,POR,29:52,23,10,6,False
2023-11-10,SAC,OKC,28:40,12,8,2,False
2023-11-13,SAC,CLE,25:38,13,4,5,False
2023-11-15,SAC,LAL,20:31,3,5,5,False
2023-11-17,SAC,SAS,25:31,20,8,4,False
2023-11-19,SAC,DAL,18:00,12,3,2,False
2023-11-20,SAC,NOP,24:24,8,5,0,False
2023-11-22,SAC,NOP,25:53,10,5,4,False
2023-11-24,SAC,MIN,29:39,17,0,2,False
2023-11-28,SAC,GSW,25:56,21,1,3,False
2023-11-29,SAC,LAC,27:37,15,2,4,False
2023-12-02,SAC,DEN,28:06,26,4,3,False
2023-12-04,SAC,NOP,32:26,21,5,3,False
2023-12-08,SAC,PHO,27:52,13,6,2,False
2023-12-11,SAC,BRK,27:59,21,9,2,False
2023-12-12,SAC,LAC,21:38,8,5,0,False
2023-12-14,SAC,OKC,32:46,18,9,1,False
2023-12-16,SAC,UTA,26:04,18,8,4,False
2023-12-18,SAC,WAS,21:35,10,6,1,False
2023-12-20,SAC,BOS,25:03,10,5,2,False
2023-12-22,SAC,PHO,20:27,7,5,2,False
2023-12-23,SAC,MIN,N/A,N/A,N/A,N/A,False
2023-12-26,SAC,POR,18:56,7,4,1,False
2023-12-29,SAC,ATL,30:41,15,8,4,False
2023-12-31,SAC,MEM,21:01,27,5,4,False
2024-01-02,SAC,CHO,20:00,6,2,3,False
2024-01-03,SAC,ORL,46:03,37,9,3,False
2024-01-05,SAC,TOR,31:54,15,9,1,False
2024-01-07,SAC,NOP,20:35,6,5,1,False
2024-01-09,SAC,DET,28:03,20,9,2,False
2024-01-10,SAC,CHO,29:48,20,4,4,False
2024-01-12,SAC,PHI,26:55,15,4,1,False
2024-01-14,SAC,MIL,36:18,28,7,7,False
2024-01-16,SAC,PHO,29:05,13,8,3,False
2024-01-18,SAC,IND,26:11,9,4,3,False
2024-01-22,SAC,ATL,24:59,13,8,1,False
2024-01-25,SAC,GSW,19:14,4,3,2,False
2024-01-27,SAC,DAL,19:32,9,6,3,False
2024-01-29,SAC,MEM,19:53,3,5,3,False
2024-01-31,SAC,MIA,14:17,6,0,0,False
2024-02-02,SAC,IND,27:02,23,6,5,False
2024-02-03,SAC,CHI,33:49,22,7,5,False
2024-02-05,SAC,CLE,23:47,18,1,4,False
2024-02-07,SAC,DET,34:16,23,10,5,False
2024-02-09,SAC,DEN,19:49,23,2,1,False
2024-02-11,SAC,OKC,29:04,26,5,4,False
2024-02-13,SAC,PHO,33:08,22,6,4,False
2024-02-14,SAC,DEN,29:36,6,3,3,False
2024-02-22,SAC,SAS,26:45,21,2,3,False
2024-02-25,SAC,LAC,27:54,12,5,2,False
2024-02-26,SAC,MIA,20:41,8,7,2,False
2024-02-28,SAC,DEN,24:34,14,5,5,False
2024-03-01,SAC,MIN,33:14,39,4,4,False
2024-03-04,SAC,CHI,30:22,11,6,4,False
2024-03-06,SAC,LAL,31:52,26,8,5,False
2024-03-07,SAC,SAS,30:24,18,9,7,False
2024-03-10,SAC,HOU,27:19,20,5,4,False
2024-03-12,SAC,MIL,28:15,25,5,5,False
2024-03-13,SAC,LAL,26:17,8,6,3,False
2024-03-16,SAC,NYK,28:18,18,4,3,False
2024-03-18,SAC,MEM,39:27,28,6,6,False
2024-03-20,SAC,TOR,19:42,17,2,2,False
2024-03-21,SAC,WAS,29:29,20,4,1,False
2024-03-23,SAC,ORL,22:14,0,5,1,False
2024-03-25,SAC,PHI,26:29,11,4,4,False
2024-03-26,SAC,DAL,27:18,10,3,4,False
2024-03-29,SAC,DAL,1:26,2,0,1,False
2024-03-31,SAC,UTA,N/A,N/A,N/A,N/A,False
2024-04-02,SAC,LAC,N/A,N/A,N/A,N/A,False
2024-04-04,SAC,NYK,N/A,N/A,N/A,N/A,False
2024-04-05,SAC,BOS,N/A,N/A,N/A,N/A,False
2024-04-07,SAC,BRK,N/A,N/A,N/A,N/A,False
2024-04-09,SAC,OKC,N/A,N/A,N/A,N/A,False
2024-04-11,SAC,NOP,N/A,N/A,N/A,N/A,False
2024-04-12,SAC,PHO,N/A,N/A,N/A,N/A,False
2024-04-14,SAC,POR,N/A,N/A,N/A,N/A,False
