Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,MIN,TOR,23:46,10,1,4,False
2023-10-28,MIN,MIA,28:26,25,1,8,False
2023-10-30,MIN,ATL,23:58,13,0,1,False
2023-11-01,MIN,DEN,19:19,16,1,5,False
2023-11-04,MIN,UTA,22:06,16,1,5,False
2023-11-06,MIN,BOS,25:06,14,2,4,False
2023-11-08,MIN,NOP,21:46,9,0,4,False
2023-11-10,MIN,SAS,18:14,7,0,3,False
2023-11-12,MIN,GSW,18:41,10,2,6,False
2023-11-14,MIN,GSW,16:24,10,0,2,False
2023-11-15,MIN,PHO,18:48,13,0,4,False
2023-11-18,MIN,NOP,18:29,8,0,1,False
2023-11-20,MIN,NYK,18:13,10,1,3,False
2023-11-22,MIN,PHI,21:34,13,0,4,False
2023-11-24,MIN,SAC,17:33,9,0,1,False
2023-11-26,MIN,MEM,21:52,12,0,6,False
2023-11-28,MIN,OKC,25:26,15,2,7,False
2023-11-30,MIN,UTA,22:01,6,0,3,False
2023-12-02,MIN,CHO,24:32,23,2,5,False
2023-12-06,MIN,SAS,28:59,15,2,9,False
2023-12-08,MIN,MEM,23:30,10,2,9,False
2023-12-11,MIN,NOP,24:18,17,2,6,False
2023-12-14,MIN,DAL,31:24,27,3,6,False
2023-12-16,MIN,IND,27:05,17,0,5,False
2023-12-18,MIN,MIA,21:07,13,1,4,False
2023-12-20,MIN,PHI,20:03,10,1,2,False
2023-12-21,MIN,LAL,21:05,9,2,5,False
2023-12-23,MIN,SAC,19:11,6,2,2,False
2023-12-26,MIN,OKC,18:34,6,0,7,False
2023-12-28,MIN,DAL,18:15,9,2,4,False
2023-12-30,MIN,LAL,27:15,21,1,5,False
2024-01-01,MIN,NYK,19:17,5,0,2,False
2024-01-03,MIN,NOP,24:35,8,2,6,False
2024-01-05,MIN,HOU,24:46,16,2,7,False
2024-01-07,MIN,DAL,26:39,15,0,9,False
2024-01-09,MIN,ORL,21:02,13,2,10,False
2024-01-10,MIN,BOS,37:26,19,3,10,False
2024-01-12,MIN,POR,20:42,14,1,3,False
2024-01-14,MIN,LAC,14:23,8,1,1,False
2024-01-17,MIN,DET,23:11,9,1,4,False
2024-01-18,MIN,MEM,23:47,20,1,3,False
2024-01-20,MIN,OKC,25:50,18,0,3,False
2024-01-22,MIN,CHO,14:37,5,0,0,False
2024-01-24,MIN,WAS,20:45,5,2,3,False
2024-01-25,MIN,BRK,22:42,5,2,4,False
2024-01-27,MIN,SAS,21:51,13,0,2,False
2024-01-29,MIN,OKC,20:38,9,2,5,False
2024-01-31,MIN,DAL,26:01,12,2,8,False
2024-02-02,MIN,ORL,21:33,9,1,5,False
2024-02-04,MIN,HOU,22:04,13,0,6,False
2024-02-06,MIN,CHI,20:12,10,2,4,False
2024-02-08,MIN,MIL,23:46,17,0,4,False
2024-02-12,MIN,LAC,26:44,11,1,7,False
2024-02-13,MIN,POR,25:06,10,1,3,False
2024-02-15,MIN,POR,22:24,10,0,3,False
2024-02-23,MIN,MIL,23:12,8,1,4,False
2024-02-24,MIN,BRK,26:45,6,1,9,False
2024-02-27,MIN,SAS,32:53,22,1,6,False
2024-02-28,MIN,MEM,25:30,19,2,6,False
2024-03-01,MIN,SAC,36:08,18,3,7,False
2024-03-03,MIN,LAC,21:11,3,2,11,False
2024-03-04,MIN,POR,22:59,12,0,5,False
2024-03-07,MIN,IND,26:03,13,2,8,False
2024-03-08,MIN,CLE,32:18,34,2,5,False
2024-03-10,MIN,LAL,42:18,25,3,5,True
2024-03-12,MIN,LAC,21:56,6,3,5,False
2024-03-16,MIN,UTA,34:54,22,5,12,True
2024-03-18,MIN,UTA,17:18,17,0,4,True
2024-03-19,MIN,DEN,N/A,N/A,N/A,N/A,False
2024-03-22,MIN,CLE,25:58,18,3,3,True
2024-03-24,MIN,GSW,28:49,20,0,12,True
2024-03-27,MIN,DET,30:41,21,4,10,True
2024-03-29,MIN,DEN,33:09,7,2,6,True
2024-03-31,MIN,CHI,30:31,14,4,3,True
2024-04-02,MIN,HOU,33:59,25,2,6,True
2024-04-03,MIN,TOR,25:47,23,1,7,True
2024-04-05,MIN,PHO,32:10,8,2,11,True
2024-04-07,MIN,LAL,35:25,31,1,11,True
2024-04-09,MIN,WAS,8:24,3,0,2,True
2024-04-10,MIN,DEN,30:21,13,2,6,True
2024-04-12,MIN,ATL,27:53,19,2,3,False
2024-04-14,MIN,PHO,20:14,10,1,4,False
