Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,CHO,IND,N/A,N/A,N/A,N/A,False
2021-10-22,CHO,CLE,22:49,6,2,2,True
2021-10-24,CHO,BRK,N/A,N/A,N/A,N/A,False
2021-10-25,CHO,BOS,N/A,N/A,N/A,N/A,False
2021-10-27,CHO,ORL,N/A,N/A,N/A,N/A,False
2021-10-29,CHO,MIA,N/A,N/A,N/A,N/A,False
2021-10-31,CHO,POR,33:11,14,5,2,True
2021-11-01,CHO,CLE,33:59,23,2,6,True
2021-11-03,CHO,GSW,34:47,5,2,6,True
2021-11-05,CHO,SAC,30:54,9,4,1,True
2021-11-07,CHO,LAC,32:42,17,2,8,True
2021-11-08,CHO,LAL,40:19,29,3,2,True
2021-11-10,CHO,MEM,27:05,11,5,3,True
2021-11-12,CHO,NYK,32:06,18,3,4,True
2021-11-14,CHO,GSW,32:10,20,1,0,True
2021-11-17,CHO,WAS,33:27,19,4,8,True
2021-11-19,CHO,IND,22:30,10,3,5,True
2021-11-20,CHO,ATL,30:19,10,4,4,True
2021-11-22,CHO,WAS,35:03,32,4,2,True
2021-11-24,CHO,ORL,37:04,27,5,3,True
2021-11-26,CHO,MIN,28:51,15,2,3,True
2021-11-27,CHO,HOU,43:19,31,5,3,True
2021-11-29,CHO,CHI,36:51,31,4,2,True
2021-12-01,CHO,MIL,38:24,10,8,3,True
2021-12-05,CHO,ATL,N/A,N/A,N/A,N/A,False
2021-12-06,CHO,PHI,N/A,N/A,N/A,N/A,False
2021-12-08,CHO,PHI,N/A,N/A,N/A,N/A,False
2021-12-10,CHO,SAC,N/A,N/A,N/A,N/A,False
2021-12-13,CHO,DAL,33:18,20,2,4,True
2021-12-15,CHO,SAS,26:07,13,5,1,True
2021-12-17,CHO,POR,23:00,2,1,4,True
2021-12-19,CHO,PHO,21:26,4,0,3,True
2021-12-20,CHO,UTA,33:32,20,4,6,True
2021-12-23,CHO,DEN,35:20,17,4,7,True
2021-12-27,CHO,HOU,27:16,27,5,4,True
2021-12-29,CHO,IND,37:59,35,3,7,True
2022-01-02,CHO,PHO,24:34,9,1,3,True
2022-01-03,CHO,WAS,31:57,25,3,5,True
2022-01-05,CHO,DET,28:54,16,6,3,True
2022-01-08,CHO,MIL,34:29,28,4,4,True
2022-01-10,CHO,MIL,39:35,27,4,7,True
2022-01-12,CHO,PHI,40:46,22,4,4,True
2022-01-14,CHO,ORL,38:54,19,6,8,True
2022-01-17,CHO,NYK,35:15,22,7,6,True
2022-01-19,CHO,BOS,41:01,28,10,4,True
2022-01-21,CHO,OKC,31:02,24,9,5,True
2022-01-23,CHO,ATL,29:42,7,7,5,True
2022-01-25,CHO,TOR,29:06,12,6,3,True
2022-01-26,CHO,IND,27:49,20,3,2,True
2022-01-28,CHO,LAL,36:40,20,3,6,True
2022-01-30,CHO,LAC,39:39,10,3,5,True
2022-02-02,CHO,BOS,40:37,23,4,5,True
2022-02-04,CHO,CLE,39:56,24,4,3,True
2022-02-05,CHO,MIA,32:25,16,1,6,True
2022-02-07,CHO,TOR,41:00,20,6,5,True
2022-02-09,CHO,CHI,38:43,16,6,4,True
2022-02-11,CHO,DET,36:33,25,11,10,True
2022-02-12,CHO,MEM,41:07,35,9,10,True
2022-02-15,CHO,MIN,41:22,25,5,1,True
2022-02-17,CHO,MIA,36:12,5,3,2,True
2022-02-25,CHO,TOR,32:16,23,9,4,True
2022-02-27,CHO,DET,41:05,33,2,5,True
2022-02-28,CHO,MIL,36:12,17,8,4,True
2022-03-02,CHO,CLE,33:07,27,7,7,True
2022-03-05,CHO,SAS,35:29,31,6,5,True
2022-03-08,CHO,BRK,37:18,30,4,8,True
2022-03-09,CHO,BOS,38:00,14,3,1,True
2022-03-11,CHO,NOP,33:17,25,8,3,True
2022-03-14,CHO,OKC,32:03,30,4,6,True
2022-03-16,CHO,ATL,35:12,18,2,3,True
2022-03-19,CHO,DAL,29:08,18,6,6,True
2022-03-21,CHO,NOP,34:42,17,1,2,True
2022-03-23,CHO,NYK,38:56,18,3,3,True
2022-03-25,CHO,UTA,34:08,25,1,4,True
2022-03-27,CHO,BRK,37:00,14,4,7,True
2022-03-28,CHO,DEN,26:18,12,8,2,True
2022-03-30,CHO,NYK,33:20,15,4,5,True
2022-04-02,CHO,PHI,27:42,10,6,4,True
2022-04-05,CHO,MIA,33:57,16,6,2,True
2022-04-07,CHO,ORL,26:28,22,3,8,True
2022-04-08,CHO,CHI,29:49,15,8,4,True
2022-04-10,CHO,WAS,31:37,25,6,3,True
