Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,TOR,WAS,N/A,N/A,N/A,N/A,False
2021-10-22,TOR,BOS,N/A,N/A,N/A,N/A,False
2021-10-23,TOR,DAL,N/A,N/A,N/A,N/A,False
2021-10-25,TOR,CHI,N/A,N/A,N/A,N/A,False
2021-10-27,TOR,IND,N/A,N/A,N/A,N/A,False
2021-10-29,TOR,ORL,N/A,N/A,N/A,N/A,False
2021-10-30,TOR,IND,N/A,N/A,N/A,N/A,False
2021-11-01,TOR,NYK,N/A,N/A,N/A,N/A,False
2021-11-03,TOR,WAS,N/A,N/A,N/A,N/A,False
2021-11-05,TOR,CLE,N/A,N/A,N/A,N/A,False
2021-11-07,TOR,BRK,25:03,15,1,4,True
2021-11-10,TOR,BOS,29:53,8,3,7,True
2021-11-11,TOR,PHI,N/A,N/A,N/A,N/A,False
2021-11-13,TOR,DET,34:38,25,7,12,True
2021-11-15,TOR,POR,39:24,20,6,6,True
2021-11-18,TOR,UTA,30:55,4,5,3,True
2021-11-19,TOR,SAC,30:18,32,1,8,True
2021-11-21,TOR,GSW,34:13,21,2,6,True
2021-11-24,TOR,MEM,33:17,17,2,7,True
2021-11-26,TOR,IND,36:41,17,4,12,True
2021-11-28,TOR,BOS,37:55,18,5,7,True
2021-11-30,TOR,MEM,30:23,20,5,6,True
2021-12-02,TOR,MIL,35:19,20,4,8,True
2021-12-05,TOR,WAS,36:02,31,3,6,True
2021-12-08,TOR,OKC,38:11,23,5,11,True
2021-12-10,TOR,NYK,39:28,13,4,12,True
2021-12-13,TOR,SAC,29:42,16,4,8,True
2021-12-14,TOR,BRK,44:15,25,2,6,True
2021-12-18,TOR,GSW,N/A,N/A,N/A,N/A,False
2021-12-26,TOR,CLE,N/A,N/A,N/A,N/A,False
2021-12-28,TOR,PHI,41:49,28,8,6,True
2021-12-31,TOR,LAC,40:19,25,7,19,True
2022-01-02,TOR,NYK,34:53,20,7,14,True
2022-01-04,TOR,SAS,27:33,18,5,12,True
2022-01-05,TOR,MIL,41:50,33,6,6,True
2022-01-07,TOR,UTA,38:47,17,5,5,True
2022-01-09,TOR,NOP,42:31,29,7,10,True
2022-01-11,TOR,PHO,39:23,22,7,7,True
2022-01-14,TOR,DET,40:32,23,4,11,True
2022-01-15,TOR,MIL,40:04,30,10,8,True
2022-01-17,TOR,MIA,42:03,18,10,6,True
2022-01-19,TOR,DAL,43:31,20,3,8,True
2022-01-21,TOR,WAS,41:23,21,4,7,True
2022-01-23,TOR,POR,34:03,28,5,8,True
2022-01-25,TOR,CHO,39:24,24,12,9,True
2022-01-26,TOR,CHI,43:26,12,7,7,True
2022-01-29,TOR,MIA,56:31,21,6,13,True
2022-01-31,TOR,ATL,40:37,25,4,6,True
2022-02-01,TOR,MIA,34:50,16,4,14,True
2022-02-03,TOR,CHI,45:17,25,7,13,True
2022-02-04,TOR,ATL,39:39,33,4,9,True
2022-02-07,TOR,CHO,42:40,24,8,11,True
2022-02-09,TOR,OKC,39:45,27,5,16,True
2022-02-10,TOR,HOU,31:41,30,4,3,True
2022-02-12,TOR,DEN,42:06,35,7,10,True
2022-02-14,TOR,NOP,33:06,18,1,5,True
2022-02-16,TOR,MIN,40:31,17,9,9,True
2022-02-25,TOR,CHO,27:17,8,2,3,True
2022-02-26,TOR,ATL,36:43,14,5,10,True
2022-02-28,TOR,BRK,30:00,8,6,3,True
2022-03-01,TOR,BRK,34:37,18,6,8,True
2022-03-03,TOR,DET,42:46,28,2,5,True
2022-03-04,TOR,ORL,40:28,34,2,14,True
2022-03-06,TOR,CLE,40:55,24,4,4,True
2022-03-09,TOR,SAS,37:07,20,3,8,True
2022-03-11,TOR,PHO,40:43,25,10,7,True
2022-03-12,TOR,DEN,35:45,33,7,5,True
2022-03-14,TOR,LAL,34:30,27,5,11,True
2022-03-16,TOR,LAC,39:09,31,3,12,True
2022-03-18,TOR,LAL,46:09,17,7,6,True
2022-03-20,TOR,PHI,36:01,26,5,10,True
2022-03-21,TOR,CHI,38:07,22,4,5,True
2022-03-24,TOR,CLE,32:17,35,6,5,True
2022-03-26,TOR,IND,31:04,23,7,6,True
2022-03-28,TOR,BOS,47:13,40,1,13,True
2022-03-30,TOR,MIN,40:23,12,13,10,True
2022-04-01,TOR,ORL,42:39,16,3,11,True
2022-04-03,TOR,MIA,43:08,29,5,8,True
2022-04-05,TOR,ATL,40:24,31,6,13,True
2022-04-07,TOR,PHI,37:01,37,12,10,True
2022-04-08,TOR,HOU,39:33,29,7,12,True
2022-04-10,TOR,NYK,N/A,N/A,N/A,N/A,False
