Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,CLE,BRK,38:58,27,2,12,True
2023-10-27,CLE,OKC,37:43,8,4,5,True
2023-10-28,CLE,IND,41:46,21,6,11,True
2023-10-31,CLE,NYK,33:03,6,3,3,True
2023-11-01,CLE,NYK,34:43,9,4,4,True
2023-11-03,CLE,IND,28:17,10,0,1,True
2023-11-05,CLE,GSW,35:55,15,4,4,True
2023-11-08,CLE,OKC,31:44,12,3,7,True
2023-11-11,CLE,GSW,32:52,16,4,8,True
2023-11-13,CLE,SAC,34:03,19,4,5,True
2023-11-15,CLE,POR,36:42,14,7,3,True
2023-11-17,CLE,DET,38:44,18,3,7,True
2023-11-19,CLE,DEN,31:46,11,5,6,True
2023-11-21,CLE,PHI,44:16,20,6,5,True
2023-11-22,CLE,MIA,24:51,6,3,3,True
2023-11-25,CLE,LAL,33:48,13,2,4,True
2023-11-26,CLE,TOR,37:06,20,5,11,True
2023-11-28,CLE,ATL,35:18,11,7,3,True
2023-11-30,CLE,POR,35:42,9,3,3,True
2023-12-02,CLE,DET,37:42,22,5,5,True
2023-12-06,CLE,ORL,31:27,17,6,5,True
2023-12-08,CLE,MIA,33:56,11,1,7,True
2023-12-11,CLE,ORL,26:01,6,3,2,True
2023-12-12,CLE,BOS,37:10,17,3,9,True
2023-12-14,CLE,BOS,31:17,5,2,4,True
2023-12-16,CLE,ATL,34:13,11,5,6,True
2023-12-18,CLE,HOU,34:14,17,2,3,True
2023-12-20,CLE,UTA,32:51,18,4,4,True
2023-12-21,CLE,NOP,33:20,13,5,3,True
2023-12-23,CLE,CHI,40:32,26,7,1,True
2023-12-27,CLE,DAL,33:34,8,6,5,True
2023-12-29,CLE,MIL,36:29,12,2,4,True
2024-01-01,CLE,TOR,37:21,6,3,6,True
2024-01-03,CLE,WAS,28:00,24,3,4,True
2024-01-05,CLE,WAS,30:09,9,3,5,True
2024-01-07,CLE,SAS,37:28,8,4,5,True
2024-01-11,CLE,BRK,6:45,0,0,0,True
2024-01-15,CLE,CHI,35:01,2,4,5,True
2024-01-17,CLE,MIL,21:42,6,3,6,True
2024-01-20,CLE,ATL,20:21,13,7,3,True
2024-01-22,CLE,ORL,27:24,10,4,4,True
2024-01-24,CLE,MIL,33:54,14,2,4,True
2024-01-26,CLE,MIL,34:52,11,4,7,True
2024-01-29,CLE,LAC,34:31,14,4,7,True
2024-01-31,CLE,DET,30:46,2,1,4,True
2024-02-01,CLE,MEM,28:33,11,4,10,True
2024-02-03,CLE,SAS,28:34,6,3,3,True
2024-02-05,CLE,SAC,26:23,22,2,5,True
2024-02-07,CLE,WAS,28:19,2,3,7,True
2024-02-08,CLE,BRK,21:21,6,2,5,True
2024-02-10,CLE,TOR,29:16,14,7,2,True
2024-02-12,CLE,PHI,29:53,10,4,4,True
2024-02-14,CLE,CHI,29:46,7,3,3,True
2024-02-22,CLE,ORL,33:06,18,6,4,True
2024-02-23,CLE,PHI,35:14,14,6,1,True
2024-02-25,CLE,WAS,26:35,3,5,3,True
2024-02-27,CLE,DAL,25:33,21,4,4,True
2024-02-28,CLE,CHI,36:55,11,6,5,True
2024-03-01,CLE,DET,34:36,14,4,4,True
2024-03-03,CLE,NYK,29:32,6,3,1,True
2024-03-05,CLE,BOS,N/A,N/A,N/A,N/A,False
2024-03-06,CLE,ATL,N/A,N/A,N/A,N/A,False
2024-03-08,CLE,MIN,N/A,N/A,N/A,N/A,False
2024-03-10,CLE,BRK,N/A,N/A,N/A,N/A,False
2024-03-11,CLE,PHO,N/A,N/A,N/A,N/A,False
2024-03-13,CLE,NOP,N/A,N/A,N/A,N/A,False
2024-03-16,CLE,HOU,N/A,N/A,N/A,N/A,False
2024-03-18,CLE,IND,N/A,N/A,N/A,N/A,False
2024-03-20,CLE,MIA,N/A,N/A,N/A,N/A,False
2024-03-22,CLE,MIN,N/A,N/A,N/A,N/A,False
2024-03-24,CLE,MIA,N/A,N/A,N/A,N/A,False
2024-03-25,CLE,CHO,N/A,N/A,N/A,N/A,False
2024-03-27,CLE,CHO,24:25,19,0,4,True
2024-03-29,CLE,PHI,27:22,15,3,1,True
2024-03-31,CLE,DEN,27:08,9,2,2,True
2024-04-02,CLE,UTA,32:41,15,6,4,True
2024-04-03,CLE,PHO,38:29,9,8,12,True
2024-04-06,CLE,LAL,29:37,5,4,6,True
2024-04-07,CLE,LAC,39:13,20,9,4,True
2024-04-10,CLE,MEM,29:42,8,1,6,True
2024-04-12,CLE,IND,27:57,7,9,5,True
2024-04-14,CLE,CHO,30:35,14,11,10,True
