Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,HOU,ORL,15:08,5,0,2,False
2023-10-27,HOU,SAS,13:54,3,0,0,False
2023-10-29,HOU,GSW,21:41,6,1,8,False
2023-11-01,HOU,CHO,18:55,4,5,6,False
2023-11-04,HOU,SAC,20:44,11,1,4,False
2023-11-06,HOU,SAC,20:35,8,1,4,False
2023-11-08,HOU,LAL,27:26,14,1,1,False
2023-11-10,HOU,NOP,23:58,7,2,3,False
2023-11-12,HOU,DEN,20:22,3,0,6,False
2023-11-17,HOU,LAC,8:56,6,0,4,False
2023-11-19,HOU,LAL,16:10,4,2,3,False
2023-11-20,HOU,GSW,20:57,9,1,3,False
2023-11-22,HOU,MEM,26:06,2,4,9,False
2023-11-24,HOU,DEN,15:48,4,0,3,False
2023-11-28,HOU,DAL,11:12,5,2,2,False
2023-11-29,HOU,DEN,N/A,N/A,N/A,N/A,False
2023-12-02,HOU,LAL,14:10,2,0,2,False
2023-12-06,HOU,OKC,14:29,0,0,1,False
2023-12-08,HOU,DEN,12:40,5,0,2,False
2023-12-11,HOU,SAS,9:27,5,0,2,False
2023-12-13,HOU,MEM,23:08,10,3,7,False
2023-12-15,HOU,MEM,N/A,N/A,N/A,N/A,False
2023-12-17,HOU,MIL,18:35,0,1,3,False
2023-12-18,HOU,CLE,16:17,3,1,3,False
2023-12-20,HOU,ATL,19:07,0,1,0,False
2023-12-22,HOU,DAL,17:30,2,1,8,False
2023-12-23,HOU,NOP,10:44,2,0,5,False
2023-12-26,HOU,IND,13:37,5,0,1,False
2023-12-27,HOU,PHO,23:57,7,1,2,True
2023-12-29,HOU,PHI,35:18,4,2,5,True
2024-01-01,HOU,DET,26:13,16,0,3,True
2024-01-03,HOU,BRK,31:26,8,3,4,True
2024-01-05,HOU,MIN,20:51,0,2,3,True
2024-01-06,HOU,MIL,19:29,4,0,8,True
2024-01-08,HOU,MIA,33:38,9,1,4,True
2024-01-10,HOU,CHI,17:53,3,0,2,True
2024-01-12,HOU,DET,19:37,2,1,7,True
2024-01-13,HOU,BOS,9:01,0,0,0,False
2024-01-15,HOU,PHI,12:48,2,2,4,False
2024-01-17,HOU,NYK,13:51,2,2,2,False
2024-01-20,HOU,UTA,14:24,2,3,3,False
2024-01-21,HOU,BOS,14:57,2,0,0,False
2024-01-24,HOU,POR,N/A,N/A,N/A,N/A,False
2024-01-26,HOU,CHO,10:49,2,0,1,False
2024-01-27,HOU,BRK,17:21,6,2,5,False
2024-01-29,HOU,LAL,18:51,7,0,1,False
2024-01-31,HOU,NOP,6:41,2,2,1,False
2024-02-02,HOU,TOR,17:13,2,3,1,False
2024-02-04,HOU,MIN,9:30,2,1,4,False
2024-02-06,HOU,IND,13:51,3,0,5,False
2024-02-09,HOU,TOR,14:32,4,1,3,False
2024-02-10,HOU,ATL,8:40,2,0,2,False
2024-02-12,HOU,NYK,12:23,2,0,1,False
2024-02-14,HOU,MEM,15:21,7,1,6,False
2024-02-22,HOU,NOP,12:00,4,2,5,False
2024-02-23,HOU,PHO,N/A,N/A,N/A,N/A,False
2024-02-25,HOU,OKC,N/A,N/A,N/A,N/A,False
2024-02-27,HOU,OKC,2:29,0,1,0,False
2024-02-29,HOU,PHO,N/A,N/A,N/A,N/A,False
2024-03-02,HOU,PHO,N/A,N/A,N/A,N/A,False
2024-03-05,HOU,SAS,N/A,N/A,N/A,N/A,False
2024-03-06,HOU,LAC,5:44,0,0,1,False
2024-03-08,HOU,POR,N/A,N/A,N/A,N/A,False
2024-03-10,HOU,SAC,N/A,N/A,N/A,N/A,False
2024-03-12,HOU,SAS,12:58,2,0,2,False
2024-03-14,HOU,WAS,14:39,2,1,4,False
2024-03-16,HOU,CLE,12:33,8,0,1,False
2024-03-19,HOU,WAS,14:40,6,1,3,False
2024-03-21,HOU,CHI,3:14,0,2,0,False
2024-03-23,HOU,UTA,19:02,7,1,3,False
2024-03-25,HOU,POR,20:35,8,2,4,False
2024-03-27,HOU,OKC,9:29,0,0,1,False
2024-03-29,HOU,UTA,3:00,1,0,1,False
2024-03-31,HOU,DAL,8:04,2,0,3,False
2024-04-02,HOU,MIN,N/A,N/A,N/A,N/A,False
2024-04-04,HOU,GSW,2:41,0,0,0,False
2024-04-05,HOU,MIA,N/A,N/A,N/A,N/A,False
2024-04-07,HOU,DAL,N/A,N/A,N/A,N/A,False
2024-04-09,HOU,ORL,N/A,N/A,N/A,N/A,False
2024-04-11,HOU,UTA,N/A,N/A,N/A,N/A,False
2024-04-12,HOU,POR,N/A,N/A,N/A,N/A,False
2024-04-14,HOU,LAC,N/A,N/A,N/A,N/A,False
