Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,SAC,UTA,14:44,9,1,2,False
2023-10-27,SAC,GSW,26:07,4,3,1,False
2023-10-29,SAC,LAL,14:04,4,0,2,False
2023-11-01,SAC,GSW,6:50,2,2,1,False
2023-11-04,SAC,HOU,25:58,10,1,2,False
2023-11-06,SAC,HOU,15:06,5,2,1,False
2023-11-08,SAC,POR,10:48,3,0,2,False
2023-11-10,SAC,OKC,4:38,0,0,1,False
2023-11-13,SAC,CLE,9:07,2,0,0,False
2023-11-15,SAC,LAL,4:29,4,1,0,False
2023-11-17,SAC,SAS,14:50,6,0,3,False
2023-11-19,SAC,DAL,32:32,13,4,8,True
2023-11-20,SAC,NOP,8:18,0,0,2,False
2023-11-22,SAC,NOP,19:45,6,2,1,True
2023-11-24,SAC,MIN,21:33,0,0,5,True
2023-11-28,SAC,GSW,14:16,5,0,0,True
2023-11-29,SAC,LAC,13:25,7,0,3,True
2023-12-02,SAC,DEN,N/A,N/A,N/A,N/A,False
2023-12-04,SAC,NOP,N/A,N/A,N/A,N/A,False
2023-12-08,SAC,PHO,0:55,0,0,0,False
2023-12-11,SAC,BRK,2:54,0,1,0,False
2023-12-12,SAC,LAC,12:00,6,1,2,False
2023-12-14,SAC,OKC,N/A,N/A,N/A,N/A,False
2023-12-16,SAC,UTA,3:34,0,0,1,False
2023-12-18,SAC,WAS,3:56,0,0,0,False
2023-12-20,SAC,BOS,4:42,0,0,1,False
2023-12-22,SAC,PHO,2:24,0,0,1,False
2023-12-23,SAC,MIN,18:22,3,0,4,False
2023-12-26,SAC,POR,7:33,4,1,3,False
2023-12-29,SAC,ATL,24:39,5,4,0,False
2023-12-31,SAC,MEM,26:07,7,0,6,True
2024-01-02,SAC,CHO,29:31,12,4,7,True
2024-01-03,SAC,ORL,10:24,0,1,0,True
2024-01-05,SAC,TOR,16:24,10,1,0,True
2024-01-07,SAC,NOP,14:52,1,1,0,True
2024-01-09,SAC,DET,N/A,N/A,N/A,N/A,False
2024-01-10,SAC,CHO,13:45,0,2,2,False
2024-01-12,SAC,PHI,9:48,1,0,3,True
2024-01-14,SAC,MIL,N/A,N/A,N/A,N/A,False
2024-01-16,SAC,PHO,N/A,N/A,N/A,N/A,False
2024-01-18,SAC,IND,N/A,N/A,N/A,N/A,False
2024-01-22,SAC,ATL,N/A,N/A,N/A,N/A,False
2024-01-25,SAC,GSW,2:42,0,0,0,False
2024-01-27,SAC,DAL,N/A,N/A,N/A,N/A,False
2024-01-29,SAC,MEM,N/A,N/A,N/A,N/A,False
2024-01-31,SAC,MIA,N/A,N/A,N/A,N/A,False
2024-02-02,SAC,IND,N/A,N/A,N/A,N/A,False
2024-02-03,SAC,CHI,N/A,N/A,N/A,N/A,False
2024-02-05,SAC,CLE,3:14,5,0,1,False
2024-02-07,SAC,DET,N/A,N/A,N/A,N/A,False
2024-02-09,SAC,DEN,N/A,N/A,N/A,N/A,False
2024-02-11,SAC,OKC,N/A,N/A,N/A,N/A,False
2024-02-13,SAC,PHO,N/A,N/A,N/A,N/A,False
2024-02-14,SAC,DEN,7:47,3,0,1,False
2024-02-22,SAC,SAS,19:57,6,1,4,False
2024-02-25,SAC,LAC,15:52,4,0,2,False
2024-02-26,SAC,MIA,16:46,0,1,1,False
2024-02-28,SAC,DEN,25:48,18,1,3,False
2024-03-01,SAC,MIN,6:08,0,0,2,False
2024-03-04,SAC,CHI,12:50,8,0,5,False
2024-03-06,SAC,LAL,N/A,N/A,N/A,N/A,False
2024-03-07,SAC,SAS,N/A,N/A,N/A,N/A,False
2024-03-10,SAC,HOU,N/A,N/A,N/A,N/A,False
2024-03-12,SAC,MIL,10:47,6,2,5,False
2024-03-13,SAC,LAL,8:05,6,0,1,False
2024-03-16,SAC,NYK,0:07,0,0,0,False
2024-03-18,SAC,MEM,17:57,8,1,2,False
2024-03-20,SAC,TOR,19:12,14,2,5,False
2024-03-21,SAC,WAS,19:18,3,2,3,False
2024-03-23,SAC,ORL,10:00,5,0,0,False
2024-03-25,SAC,PHI,12:49,4,0,0,False
2024-03-26,SAC,DAL,12:46,3,0,1,False
2024-03-29,SAC,DAL,7:28,0,0,1,False
2024-03-31,SAC,UTA,1:54,3,0,0,False
2024-04-02,SAC,LAC,8:28,2,0,1,False
2024-04-04,SAC,NYK,5:00,0,0,2,False
2024-04-05,SAC,BOS,N/A,N/A,N/A,N/A,False
2024-04-07,SAC,BRK,3:36,3,1,1,False
2024-04-09,SAC,OKC,N/A,N/A,N/A,N/A,False
2024-04-11,SAC,NOP,4:10,0,1,0,False
2024-04-12,SAC,PHO,N/A,N/A,N/A,N/A,False
2024-04-14,SAC,POR,8:22,0,0,1,False
