Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,UTA,SAC,15:44,8,2,1,False
2023-10-27,UTA,LAC,18:31,4,3,1,False
2023-10-28,UTA,PHO,19:59,4,3,2,False
2023-10-30,UTA,DEN,6:26,0,1,2,False
2023-11-01,UTA,MEM,13:06,5,3,1,False
2023-11-02,UTA,ORL,5:30,2,3,2,False
2023-11-04,UTA,MIN,N/A,N/A,N/A,N/A,False
2023-11-06,UTA,CHI,10:30,3,3,5,False
2023-11-08,UTA,IND,11:55,7,2,4,False
2023-11-10,UTA,MEM,N/A,N/A,N/A,N/A,False
2023-11-14,UTA,POR,0:41,0,0,0,False
2023-11-17,UTA,PHO,0:09,0,0,0,False
2023-11-19,UTA,PHO,N/A,N/A,N/A,N/A,False
2023-11-21,UTA,LAL,7:44,5,2,0,False
2023-11-22,UTA,POR,4:48,1,1,2,False
2023-11-25,UTA,NOP,19:21,8,2,3,True
2023-11-27,UTA,NOP,N/A,N/A,N/A,N/A,False
2023-11-29,UTA,MEM,N/A,N/A,N/A,N/A,False
2023-11-30,UTA,MIN,N/A,N/A,N/A,N/A,False
2023-12-02,UTA,POR,N/A,N/A,N/A,N/A,False
2023-12-06,UTA,DAL,17:17,8,2,4,False
2023-12-08,UTA,LAC,N/A,N/A,N/A,N/A,False
2023-12-11,UTA,OKC,24:45,4,7,6,False
2023-12-13,UTA,NYK,17:43,10,7,2,False
2023-12-14,UTA,POR,26:20,6,5,2,False
2023-12-16,UTA,SAC,27:01,11,3,4,True
2023-12-18,UTA,BRK,15:54,4,5,3,False
2023-12-20,UTA,CLE,15:58,8,1,2,False
2023-12-21,UTA,DET,33:05,13,10,5,True
2023-12-23,UTA,TOR,34:19,8,13,8,True
2023-12-26,UTA,SAS,18:46,2,6,7,True
2023-12-28,UTA,NOP,18:51,7,3,0,True
2023-12-30,UTA,MIA,17:39,2,6,1,True
2024-01-01,UTA,DAL,20:30,7,7,3,True
2024-01-03,UTA,DET,15:58,4,4,1,True
2024-01-05,UTA,BOS,25:49,2,5,5,True
2024-01-06,UTA,PHI,23:14,0,1,5,True
2024-01-08,UTA,MIL,24:13,5,13,4,True
2024-01-10,UTA,DEN,25:42,5,3,4,True
2024-01-12,UTA,TOR,17:27,6,5,5,True
2024-01-13,UTA,LAL,16:44,7,3,0,True
2024-01-15,UTA,IND,21:27,4,6,2,True
2024-01-18,UTA,OKC,13:03,0,6,1,True
2024-01-20,UTA,HOU,26:52,10,7,8,True
2024-01-23,UTA,NOP,17:25,10,4,3,True
2024-01-25,UTA,WAS,16:52,4,3,1,True
2024-01-27,UTA,CHO,16:41,7,6,4,True
2024-01-29,UTA,BRK,16:33,9,2,2,True
2024-01-30,UTA,NYK,16:54,6,6,3,True
2024-02-01,UTA,PHI,16:01,3,4,3,True
2024-02-04,UTA,MIL,22:02,2,6,3,True
2024-02-06,UTA,OKC,26:30,8,5,3,True
2024-02-08,UTA,PHO,23:55,9,3,4,True
2024-02-12,UTA,GSW,19:29,2,3,2,False
2024-02-14,UTA,LAL,17:21,12,3,1,False
2024-02-15,UTA,GSW,20:57,8,1,5,False
2024-02-22,UTA,CHO,25:10,8,3,3,False
2024-02-25,UTA,SAS,20:24,8,1,2,False
2024-02-27,UTA,ATL,15:47,2,3,2,False
2024-02-29,UTA,ORL,21:30,7,2,1,False
2024-03-02,UTA,MIA,10:05,0,2,1,False
2024-03-04,UTA,WAS,27:53,4,4,5,False
2024-03-06,UTA,CHI,29:21,11,5,2,True
2024-03-09,UTA,DEN,14:58,0,1,1,False
2024-03-12,UTA,BOS,24:25,6,4,3,False
2024-03-15,UTA,ATL,N/A,N/A,N/A,N/A,False
2024-03-16,UTA,MIN,24:17,4,3,3,True
2024-03-18,UTA,MIN,26:37,8,5,3,True
2024-03-20,UTA,OKC,23:22,5,3,1,True
2024-03-21,UTA,DAL,19:37,4,5,4,True
2024-03-23,UTA,HOU,6:28,2,0,1,False
2024-03-25,UTA,DAL,N/A,N/A,N/A,N/A,False
2024-03-27,UTA,SAS,N/A,N/A,N/A,N/A,False
2024-03-29,UTA,HOU,21:39,11,1,8,False
2024-03-31,UTA,SAC,27:09,5,7,5,False
2024-04-02,UTA,CLE,23:08,2,5,4,False
2024-04-05,UTA,LAC,23:36,10,1,1,False
2024-04-07,UTA,GSW,N/A,N/A,N/A,N/A,False
2024-04-09,UTA,DEN,N/A,N/A,N/A,N/A,False
2024-04-11,UTA,HOU,N/A,N/A,N/A,N/A,False
2024-04-12,UTA,LAC,N/A,N/A,N/A,N/A,False
2024-04-14,UTA,GSW,N/A,N/A,N/A,N/A,False
