Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,TOR,MIN,9:33,3,2,0,False
2023-10-27,TOR,CHI,4:26,0,0,0,False
2023-10-28,TOR,PHI,12:43,7,2,0,False
2023-10-30,TOR,POR,14:51,6,0,1,False
2023-11-01,TOR,MIL,19:24,2,4,3,False
2023-11-02,TOR,PHI,16:34,6,1,3,False
2023-11-05,TOR,SAS,14:57,5,4,3,False
2023-11-08,TOR,DAL,14:47,8,4,4,False
2023-11-11,TOR,BOS,22:41,12,1,1,False
2023-11-13,TOR,WAS,22:45,6,1,2,False
2023-11-15,TOR,MIL,26:52,7,5,3,False
2023-11-17,TOR,BOS,19:16,5,5,1,False
2023-11-19,TOR,DET,21:20,7,4,2,False
2023-11-21,TOR,ORL,18:51,6,1,3,False
2023-11-22,TOR,IND,19:51,14,2,4,False
2023-11-24,TOR,CHI,14:04,2,1,1,False
2023-11-26,TOR,CLE,16:41,3,0,4,False
2023-11-28,TOR,BRK,15:59,5,1,0,False
2023-11-29,TOR,PHO,14:18,2,1,5,False
2023-12-01,TOR,NYK,11:05,0,4,1,False
2023-12-06,TOR,MIA,6:23,3,1,1,False
2023-12-08,TOR,CHO,17:25,8,4,0,False
2023-12-11,TOR,NYK,16:33,10,4,4,False
2023-12-13,TOR,ATL,17:28,0,8,2,False
2023-12-15,TOR,ATL,18:59,11,1,4,False
2023-12-18,TOR,CHO,16:20,2,2,3,False
2023-12-20,TOR,DEN,15:37,6,2,3,False
2023-12-22,TOR,PHI,9:45,2,2,4,False
2023-12-23,TOR,UTA,14:02,3,6,2,False
2023-12-27,TOR,WAS,4:53,6,0,1,False
2023-12-29,TOR,BOS,5:50,0,0,0,False
2023-12-30,NYK,IND,N/A,N/A,N/A,N/A,False
2024-01-01,NYK,MIN,N/A,N/A,N/A,N/A,False
2024-01-03,NYK,CHI,N/A,N/A,N/A,N/A,False
2024-01-05,NYK,PHI,1:22,0,0,1,False
2024-01-06,NYK,WAS,0:48,0,0,0,False
2024-01-09,NYK,POR,3:39,2,0,0,False
2024-01-11,NYK,DAL,N/A,N/A,N/A,N/A,False
2024-01-13,NYK,MEM,9:57,9,3,1,False
2024-01-15,NYK,ORL,11:55,2,0,0,False
2024-01-17,NYK,HOU,0:54,0,0,0,False
2024-01-18,NYK,WAS,N/A,N/A,N/A,N/A,False
2024-01-20,NYK,TOR,2:42,3,1,1,False
2024-01-23,NYK,BRK,N/A,N/A,N/A,N/A,False
2024-01-25,NYK,DEN,3:49,2,0,0,False
2024-01-27,NYK,MIA,1:10,0,0,0,False
2024-01-29,NYK,CHO,1:44,2,0,1,False
2024-01-30,NYK,UTA,0:29,0,0,0,False
2024-02-01,NYK,IND,7:03,2,1,1,False
2024-02-03,NYK,LAL,3:17,3,0,0,False
2024-02-06,NYK,MEM,11:40,6,1,1,False
2024-02-08,DET,POR,N/A,N/A,N/A,N/A,False
2024-02-10,DET,LAC,N/A,N/A,N/A,N/A,False
2024-02-13,DET,LAL,2:18,0,0,1,False
2024-02-14,DET,PHO,7:19,3,0,1,False
2024-02-22,DET,IND,11:11,2,3,1,False
2024-02-24,DET,ORL,16:45,8,3,1,False
2024-02-26,DET,NYK,11:57,8,2,3,False
2024-02-27,DET,CHI,11:55,7,1,2,False
2024-03-01,DET,CLE,5:19,0,0,0,False
2024-03-03,DET,ORL,N/A,N/A,N/A,N/A,False
2024-03-05,DET,MIA,N/A,N/A,N/A,N/A,False
2024-03-07,DET,BRK,4:27,0,0,0,False
2024-03-09,DET,DAL,2:18,2,1,0,False
2024-03-11,DET,CHO,N/A,N/A,N/A,N/A,False
2024-03-13,DET,TOR,N/A,N/A,N/A,N/A,False
2024-03-15,DET,MIA,1:08,0,0,0,False
2024-03-17,DET,MIA,N/A,N/A,N/A,N/A,False
2024-03-18,DET,BOS,18:24,11,1,2,False
2024-03-20,DET,IND,3:21,0,1,2,False
2024-03-22,DET,BOS,N/A,N/A,N/A,N/A,False
2024-03-24,DET,NOP,24:52,17,4,4,False
2024-03-25,DET,NYK,29:39,14,3,4,False
2024-03-27,DET,MIN,19:19,14,0,5,False
2024-03-29,DET,WAS,14:02,3,3,2,False
2024-04-01,DET,MEM,13:58,9,0,2,False
2024-04-03,DET,ATL,34:03,50,5,6,False
2024-04-05,DET,MEM,22:44,3,6,1,False
2024-04-06,DET,BRK,14:49,3,5,3,False
2024-04-09,DET,PHI,21:10,12,4,0,False
2024-04-11,DET,CHI,15:18,12,1,2,False
2024-04-12,DET,DAL,15:31,10,5,0,False
2024-04-14,DET,SAS,20:21,4,3,1,False
