Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,NYK,BOS,44:26,32,3,6,True
2021-10-22,NYK,ORL,27:04,18,3,2,True
2021-10-24,NYK,ORL,25:58,8,1,5,True
2021-10-26,NYK,PHI,32:12,18,4,2,True
2021-10-28,NYK,CHI,32:40,10,1,3,True
2021-10-30,NYK,NOP,37:04,19,2,1,True
2021-11-01,NYK,TOR,25:10,12,2,3,True
2021-11-03,NYK,IND,29:10,14,3,3,True
2021-11-05,NYK,MIL,24:44,7,0,2,True
2021-11-07,NYK,CLE,29:07,15,1,3,True
2021-11-08,NYK,PHI,26:42,11,2,6,True
2021-11-10,NYK,MIL,19:13,2,2,0,True
2021-11-12,NYK,CHO,26:49,5,1,6,True
2021-11-15,NYK,IND,23:33,7,3,3,True
2021-11-17,NYK,ORL,20:36,5,1,1,True
2021-11-20,NYK,HOU,30:21,19,2,2,True
2021-11-21,NYK,CHI,22:53,3,0,1,True
2021-11-23,NYK,LAL,41:55,26,2,4,True
2021-11-26,NYK,PHO,25:43,11,1,5,True
2021-11-27,NYK,ATL,28:41,20,1,2,True
2021-11-30,NYK,BRK,22:00,13,0,0,True
2021-12-02,NYK,CHI,32:16,16,0,1,True
2021-12-04,NYK,DEN,35:55,15,5,3,True
2021-12-07,NYK,SAS,20:55,7,1,3,True
2021-12-08,NYK,IND,22:22,7,1,4,True
2021-12-10,NYK,TOR,23:56,9,0,2,True
2021-12-12,NYK,MIL,26:40,6,3,2,True
2021-12-14,NYK,GSW,28:55,2,0,1,True
2021-12-16,NYK,HOU,27:35,23,3,1,True
2021-12-18,NYK,BOS,42:50,32,3,5,True
2021-12-21,NYK,DET,40:44,22,3,2,True
2021-12-23,NYK,WAS,38:14,8,1,3,True
2021-12-25,NYK,ATL,31:10,15,3,5,True
2021-12-28,NYK,MIN,24:46,13,2,2,True
2021-12-29,NYK,DET,N/A,N/A,N/A,N/A,False
2021-12-31,NYK,OKC,20:23,3,3,2,True
2022-01-02,NYK,TOR,25:50,20,0,0,True
2022-01-04,NYK,IND,21:59,0,2,1,True
2022-01-06,NYK,BOS,41:55,41,2,8,True
2022-01-08,NYK,BOS,N/A,N/A,N/A,N/A,False
2022-01-10,NYK,SAS,21:39,18,2,5,True
2022-01-12,NYK,DAL,33:12,13,3,5,True
2022-01-15,NYK,ATL,31:41,18,1,2,True
2022-01-17,NYK,CHO,25:17,6,2,1,True
2022-01-18,NYK,MIN,37:28,27,4,4,True
2022-01-20,NYK,NOP,25:09,6,1,3,True
2022-01-23,NYK,LAC,28:05,14,2,4,True
2022-01-24,NYK,CLE,21:18,7,0,0,True
2022-01-26,NYK,MIA,19:53,7,0,2,True
2022-01-28,NYK,MIL,31:58,25,3,7,True
2022-01-31,NYK,SAC,27:27,18,2,0,True
2022-02-02,NYK,MEM,32:42,30,2,5,True
2022-02-05,NYK,LAL,37:22,15,3,4,True
2022-02-07,NYK,UTA,31:05,16,1,4,True
2022-02-08,NYK,DEN,31:41,21,2,7,True
2022-02-10,NYK,GSW,30:50,22,0,1,True
2022-02-12,NYK,POR,36:00,4,3,3,True
2022-02-14,NYK,OKC,44:33,29,5,4,True
2022-02-16,NYK,BRK,31:01,16,3,2,True
2022-02-25,NYK,MIA,36:28,13,2,3,True
2022-02-27,NYK,PHI,36:35,24,2,2,True
2022-03-02,NYK,PHI,26:45,3,0,0,True
2022-03-04,NYK,PHO,35:49,16,2,1,True
2022-03-06,NYK,LAC,29:22,7,1,1,True
2022-03-07,NYK,SAC,26:40,15,0,1,True
2022-03-09,NYK,DAL,24:50,10,0,0,True
2022-03-11,NYK,MEM,29:00,12,4,4,True
2022-03-13,NYK,BRK,33:42,25,5,2,True
2022-03-16,NYK,POR,27:52,14,6,2,True
2022-03-18,NYK,WAS,34:19,15,4,2,True
2022-03-20,NYK,UTA,28:13,17,2,0,True
2022-03-22,NYK,ATL,25:46,11,4,1,True
2022-03-23,NYK,CHO,33:53,12,7,1,True
2022-03-25,NYK,MIA,29:16,7,4,1,True
2022-03-27,NYK,DET,26:53,11,4,3,True
2022-03-28,NYK,CHI,24:56,5,3,1,True
2022-03-30,NYK,CHO,35:24,30,1,4,True
2022-04-02,NYK,CLE,27:24,19,3,1,True
2022-04-03,NYK,ORL,15:26,2,1,2,True
2022-04-06,NYK,BRK,28:32,8,3,4,True
2022-04-08,NYK,WAS,27:38,17,2,3,True
2022-04-10,NYK,TOR,32:39,6,5,3,True
