Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,ORL,SAS,N/A,N/A,N/A,N/A,False
2021-10-22,ORL,NYK,N/A,N/A,N/A,N/A,False
2021-10-24,ORL,NYK,N/A,N/A,N/A,N/A,False
2021-10-25,ORL,MIA,N/A,N/A,N/A,N/A,False
2021-10-27,ORL,CHO,N/A,N/A,N/A,N/A,False
2021-10-29,ORL,TOR,N/A,N/A,N/A,N/A,False
2021-10-30,ORL,DET,N/A,N/A,N/A,N/A,False
2021-11-01,ORL,MIN,N/A,N/A,N/A,N/A,False
2021-11-03,ORL,BOS,N/A,N/A,N/A,N/A,False
2021-11-05,ORL,SAS,N/A,N/A,N/A,N/A,False
2021-11-07,ORL,UTA,N/A,N/A,N/A,N/A,False
2021-11-10,ORL,BRK,N/A,N/A,N/A,N/A,False
2021-11-13,ORL,WAS,N/A,N/A,N/A,N/A,False
2021-11-15,ORL,ATL,N/A,N/A,N/A,N/A,False
2021-11-17,ORL,NYK,N/A,N/A,N/A,N/A,False
2021-11-19,ORL,BRK,N/A,N/A,N/A,N/A,False
2021-11-20,ORL,MIL,N/A,N/A,N/A,N/A,False
2021-11-22,ORL,MIL,N/A,N/A,N/A,N/A,False
2021-11-24,ORL,CHO,N/A,N/A,N/A,N/A,False
2021-11-26,ORL,CHI,N/A,N/A,N/A,N/A,False
2021-11-27,ORL,CLE,N/A,N/A,N/A,N/A,False
2021-11-29,ORL,PHI,N/A,N/A,N/A,N/A,False
2021-12-01,ORL,DEN,N/A,N/A,N/A,N/A,False
2021-12-03,ORL,HOU,N/A,N/A,N/A,N/A,False
2021-12-06,ORL,GSW,N/A,N/A,N/A,N/A,False
2021-12-08,ORL,SAC,N/A,N/A,N/A,N/A,False
2021-12-11,ORL,LAC,N/A,N/A,N/A,N/A,False
2021-12-12,ORL,LAL,N/A,N/A,N/A,N/A,False
2021-12-15,ORL,ATL,N/A,N/A,N/A,N/A,False
2021-12-17,ORL,MIA,N/A,N/A,N/A,N/A,False
2021-12-18,ORL,BRK,N/A,N/A,N/A,N/A,False
2021-12-22,ORL,ATL,N/A,N/A,N/A,N/A,False
2021-12-23,ORL,NOP,N/A,N/A,N/A,N/A,False
2021-12-26,ORL,MIA,N/A,N/A,N/A,N/A,False
2021-12-28,ORL,MIL,N/A,N/A,N/A,N/A,False
2021-12-30,ORL,MIL,N/A,N/A,N/A,N/A,False
2022-01-02,ORL,BOS,N/A,N/A,N/A,N/A,False
2022-01-03,ORL,CHI,N/A,N/A,N/A,N/A,False
2022-01-05,ORL,PHI,N/A,N/A,N/A,N/A,False
2022-01-08,ORL,DET,N/A,N/A,N/A,N/A,False
2022-01-09,ORL,WAS,N/A,N/A,N/A,N/A,False
2022-01-12,ORL,WAS,N/A,N/A,N/A,N/A,False
2022-01-14,ORL,CHO,N/A,N/A,N/A,N/A,False
2022-01-15,ORL,DAL,N/A,N/A,N/A,N/A,False
2022-01-17,ORL,POR,N/A,N/A,N/A,N/A,False
2022-01-19,ORL,PHI,N/A,N/A,N/A,N/A,False
2022-01-21,ORL,LAL,N/A,N/A,N/A,N/A,False
2022-01-23,ORL,CHI,N/A,N/A,N/A,N/A,False
2022-01-26,ORL,LAC,N/A,N/A,N/A,N/A,False
2022-01-28,ORL,DET,N/A,N/A,N/A,N/A,False
2022-01-30,ORL,DAL,N/A,N/A,N/A,N/A,False
2022-02-01,ORL,CHI,N/A,N/A,N/A,N/A,False
2022-02-02,ORL,IND,N/A,N/A,N/A,N/A,False
2022-02-05,ORL,MEM,N/A,N/A,N/A,N/A,False
2022-02-06,ORL,BOS,N/A,N/A,N/A,N/A,False
2022-02-08,ORL,POR,N/A,N/A,N/A,N/A,False
2022-02-11,ORL,UTA,N/A,N/A,N/A,N/A,False
2022-02-12,ORL,PHO,N/A,N/A,N/A,N/A,False
2022-02-14,ORL,DEN,N/A,N/A,N/A,N/A,False
2022-02-16,ORL,ATL,N/A,N/A,N/A,N/A,False
2022-02-25,ORL,HOU,N/A,N/A,N/A,N/A,False
2022-02-28,ORL,IND,15:55,10,6,2,False
2022-03-02,ORL,IND,14:58,11,2,3,False
2022-03-04,ORL,TOR,N/A,N/A,N/A,N/A,False
2022-03-05,ORL,MEM,19:15,6,3,2,False
2022-03-08,ORL,PHO,17:16,11,4,3,False
2022-03-09,ORL,NOP,N/A,N/A,N/A,N/A,False
2022-03-11,ORL,MIN,17:52,14,7,3,False
2022-03-13,ORL,PHI,18:53,8,11,4,False
2022-03-15,ORL,BRK,19:39,5,3,2,False
2022-03-17,ORL,DET,18:07,11,5,5,False
2022-03-20,ORL,OKC,19:42,4,2,2,False
2022-03-22,ORL,GSW,19:12,8,2,1,False
2022-03-23,ORL,OKC,N/A,N/A,N/A,N/A,False
2022-03-26,ORL,SAC,19:42,16,3,1,False
2022-03-28,ORL,CLE,18:39,11,4,1,False
2022-03-30,ORL,WAS,21:15,19,7,3,False
2022-04-01,ORL,TOR,20:25,12,7,5,False
2022-04-03,ORL,NYK,21:56,11,6,3,False
2022-04-05,ORL,CLE,23:52,16,6,2,True
2022-04-07,ORL,CHO,23:37,12,6,5,True
2022-04-10,ORL,MIA,29:29,10,15,2,True
