Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,MIN,TOR,N/A,N/A,N/A,N/A,False
2023-10-28,MIN,MIA,N/A,N/A,N/A,N/A,False
2023-10-30,MIN,ATL,1:11,2,0,1,False
2023-11-01,MIN,DEN,N/A,N/A,N/A,N/A,False
2023-11-04,MIN,UTA,N/A,N/A,N/A,N/A,False
2023-11-06,MIN,BOS,N/A,N/A,N/A,N/A,False
2023-11-08,MIN,NOP,4:54,5,0,2,False
2023-11-10,MIN,SAS,N/A,N/A,N/A,N/A,False
2023-11-12,MIN,GSW,N/A,N/A,N/A,N/A,False
2023-11-14,MIN,GSW,N/A,N/A,N/A,N/A,False
2023-11-15,MIN,PHO,4:32,5,0,2,False
2023-11-18,MIN,NOP,N/A,N/A,N/A,N/A,False
2023-11-20,MIN,NYK,N/A,N/A,N/A,N/A,False
2023-11-22,MIN,PHI,1:56,1,0,1,False
2023-11-24,MIN,SAC,N/A,N/A,N/A,N/A,False
2023-11-26,MIN,MEM,N/A,N/A,N/A,N/A,False
2023-11-28,MIN,OKC,N/A,N/A,N/A,N/A,False
2023-11-30,MIN,UTA,N/A,N/A,N/A,N/A,False
2023-12-02,MIN,CHO,N/A,N/A,N/A,N/A,False
2023-12-06,MIN,SAS,N/A,N/A,N/A,N/A,False
2023-12-08,MIN,MEM,3:28,0,1,0,False
2023-12-11,MIN,NOP,N/A,N/A,N/A,N/A,False
2023-12-14,MIN,DAL,N/A,N/A,N/A,N/A,False
2023-12-16,MIN,IND,N/A,N/A,N/A,N/A,False
2023-12-18,MIN,MIA,N/A,N/A,N/A,N/A,False
2023-12-20,MIN,PHI,2:15,0,1,1,False
2023-12-21,MIN,LAL,N/A,N/A,N/A,N/A,False
2023-12-23,MIN,SAC,N/A,N/A,N/A,N/A,False
2023-12-26,MIN,OKC,N/A,N/A,N/A,N/A,False
2023-12-28,MIN,DAL,N/A,N/A,N/A,N/A,False
2023-12-30,MIN,LAL,N/A,N/A,N/A,N/A,False
2024-01-01,MIN,NYK,N/A,N/A,N/A,N/A,False
2024-01-03,MIN,NOP,N/A,N/A,N/A,N/A,False
2024-01-05,MIN,HOU,3:28,2,0,1,False
2024-01-07,MIN,DAL,N/A,N/A,N/A,N/A,False
2024-01-09,MIN,ORL,N/A,N/A,N/A,N/A,False
2024-01-10,MIN,BOS,N/A,N/A,N/A,N/A,False
2024-01-12,MIN,POR,N/A,N/A,N/A,N/A,False
2024-01-14,MIN,LAC,N/A,N/A,N/A,N/A,False
2024-01-17,MIN,DET,N/A,N/A,N/A,N/A,False
2024-01-18,MIN,MEM,0:38,0,0,0,False
2024-01-20,MIN,OKC,N/A,N/A,N/A,N/A,False
2024-01-22,MIN,CHO,N/A,N/A,N/A,N/A,False
2024-01-24,MIN,WAS,0:39,0,0,0,False
2024-01-25,MIN,BRK,N/A,N/A,N/A,N/A,False
2024-01-27,MIN,SAS,N/A,N/A,N/A,N/A,False
2024-01-29,MIN,OKC,N/A,N/A,N/A,N/A,False
2024-01-31,MIN,DAL,5:23,8,0,1,False
2024-02-02,MIN,ORL,N/A,N/A,N/A,N/A,False
2024-02-04,MIN,HOU,4:16,5,0,0,False
2024-02-06,MIN,CHI,N/A,N/A,N/A,N/A,False
2024-02-08,MIN,MIL,3:07,0,0,1,False
2024-02-12,MIN,LAC,N/A,N/A,N/A,N/A,False
2024-02-13,MIN,POR,3:30,5,0,1,False
2024-02-15,MIN,POR,N/A,N/A,N/A,N/A,False
2024-02-23,MIN,MIL,N/A,N/A,N/A,N/A,False
2024-02-24,MIN,BRK,0:22,0,0,0,False
2024-02-27,MIN,SAS,N/A,N/A,N/A,N/A,False
2024-02-28,MIN,MEM,N/A,N/A,N/A,N/A,False
2024-03-01,MIN,SAC,N/A,N/A,N/A,N/A,False
2024-03-03,MIN,LAC,N/A,N/A,N/A,N/A,False
2024-03-04,MIN,POR,N/A,N/A,N/A,N/A,False
2024-03-07,MIN,IND,N/A,N/A,N/A,N/A,False
2024-03-08,MIN,CLE,N/A,N/A,N/A,N/A,False
2024-03-10,MIN,LAL,10:02,9,1,3,False
2024-03-12,MIN,LAC,N/A,N/A,N/A,N/A,False
2024-03-16,MIN,UTA,13:06,9,0,3,False
2024-03-18,MIN,UTA,11:05,8,0,1,False
2024-03-19,MIN,DEN,22:24,11,0,6,False
2024-03-22,MIN,CLE,N/A,N/A,N/A,N/A,False
2024-03-24,MIN,GSW,N/A,N/A,N/A,N/A,False
2024-03-27,MIN,DET,2:11,2,0,0,False
2024-03-29,MIN,DEN,0:46,0,0,0,False
2024-03-31,MIN,CHI,N/A,N/A,N/A,N/A,False
2024-04-02,MIN,HOU,N/A,N/A,N/A,N/A,False
2024-04-03,MIN,TOR,9:28,16,1,2,False
2024-04-05,MIN,PHO,4:02,2,0,1,False
2024-04-07,MIN,LAL,1:47,0,0,1,False
2024-04-09,MIN,WAS,N/A,N/A,N/A,N/A,False
2024-04-10,MIN,DEN,2:44,0,0,0,False
2024-04-12,MIN,ATL,N/A,N/A,N/A,N/A,False
2024-04-14,MIN,PHO,4:34,9,0,3,False
