Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,NYK,BOS,N/A,N/A,N/A,N/A,False
2021-10-22,NYK,ORL,N/A,N/A,N/A,N/A,False
2021-10-24,NYK,ORL,11:51,0,1,4,False
2021-10-26,NYK,PHI,19:01,4,1,3,False
2021-10-28,NYK,CHI,19:10,6,0,6,False
2021-10-30,NYK,NOP,20:54,13,1,7,False
2021-11-01,NYK,TOR,10:04,0,1,0,False
2021-11-03,NYK,IND,N/A,N/A,N/A,N/A,False
2021-11-05,NYK,MIL,N/A,N/A,N/A,N/A,False
2021-11-07,NYK,CLE,N/A,N/A,N/A,N/A,False
2021-11-08,NYK,PHI,31:26,7,1,8,False
2021-11-10,NYK,MIL,24:55,0,0,9,False
2021-11-12,NYK,CHO,21:38,3,0,4,False
2021-11-15,NYK,IND,28:52,2,3,8,False
2021-11-17,NYK,ORL,13:43,0,0,2,False
2021-11-20,NYK,HOU,N/A,N/A,N/A,N/A,False
2021-11-21,NYK,CHI,N/A,N/A,N/A,N/A,False
2021-11-23,NYK,LAL,N/A,N/A,N/A,N/A,False
2021-11-26,NYK,PHO,N/A,N/A,N/A,N/A,False
2021-11-27,NYK,ATL,N/A,N/A,N/A,N/A,False
2021-11-30,NYK,BRK,N/A,N/A,N/A,N/A,False
2021-12-02,NYK,CHI,3:13,2,0,1,False
2021-12-04,NYK,DEN,N/A,N/A,N/A,N/A,False
2021-12-07,NYK,SAS,N/A,N/A,N/A,N/A,False
2021-12-08,NYK,IND,17:48,0,0,4,True
2021-12-10,NYK,TOR,N/A,N/A,N/A,N/A,False
2021-12-12,NYK,MIL,N/A,N/A,N/A,N/A,False
2021-12-14,NYK,GSW,N/A,N/A,N/A,N/A,False
2021-12-16,NYK,HOU,16:28,7,1,3,False
2021-12-18,NYK,BOS,21:41,0,0,0,False
2021-12-21,NYK,DET,18:49,9,2,5,False
2021-12-23,NYK,WAS,7:06,2,1,3,False
2021-12-25,NYK,ATL,17:35,5,0,3,False
2021-12-28,NYK,MIN,15:35,7,0,6,False
2021-12-29,NYK,DET,27:58,4,2,8,False
2021-12-31,NYK,OKC,23:17,0,0,7,False
2022-01-02,NYK,TOR,29:53,5,2,7,True
2022-01-04,NYK,IND,22:37,4,1,6,True
2022-01-06,NYK,BOS,20:46,6,3,4,False
2022-01-08,NYK,BOS,18:14,0,0,1,False
2022-01-10,NYK,SAS,13:29,6,0,5,False
2022-01-12,NYK,DAL,N/A,N/A,N/A,N/A,False
2022-01-15,NYK,ATL,16:52,7,0,3,False
2022-01-17,NYK,CHO,18:47,1,0,6,False
2022-01-18,NYK,MIN,24:40,5,0,4,False
2022-01-20,NYK,NOP,17:57,2,1,5,False
2022-01-23,NYK,LAC,5:35,0,0,1,False
2022-01-24,NYK,CLE,18:54,6,0,8,False
2022-01-26,NYK,MIA,16:49,0,1,4,False
2022-01-28,NYK,MIL,N/A,N/A,N/A,N/A,False
2022-01-31,NYK,SAC,2:46,0,0,0,False
2022-02-02,NYK,MEM,1:56,2,0,0,False
2022-02-05,NYK,LAL,N/A,N/A,N/A,N/A,False
2022-02-07,NYK,UTA,N/A,N/A,N/A,N/A,False
2022-02-08,NYK,DEN,26:55,12,1,4,True
2022-02-10,NYK,GSW,20:06,10,1,7,False
2022-02-12,NYK,POR,26:49,8,1,7,False
2022-02-14,NYK,OKC,12:23,2,0,4,False
2022-02-16,NYK,BRK,25:18,6,0,8,False
2022-02-25,NYK,MIA,N/A,N/A,N/A,N/A,False
2022-02-27,NYK,PHI,N/A,N/A,N/A,N/A,False
2022-03-02,NYK,PHI,13:49,5,1,3,False
2022-03-04,NYK,PHO,N/A,N/A,N/A,N/A,False
2022-03-06,NYK,LAC,N/A,N/A,N/A,N/A,False
2022-03-07,NYK,SAC,25:44,5,0,8,False
2022-03-09,NYK,DAL,18:43,11,0,5,False
2022-03-11,NYK,MEM,15:21,4,0,2,False
2022-03-13,NYK,BRK,1:43,0,0,1,False
2022-03-16,NYK,POR,N/A,N/A,N/A,N/A,False
2022-03-18,NYK,WAS,N/A,N/A,N/A,N/A,False
2022-03-20,NYK,UTA,N/A,N/A,N/A,N/A,False
2022-03-22,NYK,ATL,19:53,5,0,5,False
2022-03-23,NYK,CHO,22:15,12,1,5,False
2022-03-25,NYK,MIA,21:36,5,0,3,False
2022-03-27,NYK,DET,N/A,N/A,N/A,N/A,False
2022-03-28,NYK,CHI,N/A,N/A,N/A,N/A,False
2022-03-30,NYK,CHO,N/A,N/A,N/A,N/A,False
2022-04-02,NYK,CLE,24:06,8,1,4,False
2022-04-03,NYK,ORL,12:45,4,1,4,False
2022-04-06,NYK,BRK,18:02,5,1,5,False
2022-04-08,NYK,WAS,23:22,10,2,6,False
2022-04-10,NYK,TOR,16:33,2,0,3,False
