Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-24,PHO,GSW,14:11,2,3,4,False
2023-10-26,PHO,LAL,29:58,14,2,6,False
2023-10-28,PHO,UTA,24:58,12,5,5,False
2023-10-31,PHO,SAS,14:53,6,0,4,False
2023-11-02,PHO,SAS,9:33,3,3,1,False
2023-11-04,PHO,PHI,15:38,6,0,3,False
2023-11-05,PHO,DET,20:59,8,3,7,False
2023-11-08,PHO,CHI,16:56,6,0,2,False
2023-11-10,PHO,LAL,6:46,3,0,2,False
2023-11-12,PHO,OKC,29:08,11,3,5,False
2023-11-15,PHO,MIN,16:18,3,3,3,False
2023-11-17,PHO,UTA,14:22,3,4,2,False
2023-11-19,PHO,UTA,10:59,0,3,3,False
2023-11-21,PHO,POR,4:54,2,0,0,False
2023-11-22,PHO,GSW,0:42,0,0,0,False
2023-11-24,PHO,MEM,20:15,14,2,5,False
2023-11-26,PHO,NYK,28:43,14,5,7,False
2023-11-29,PHO,TOR,22:57,9,4,6,False
2023-12-01,PHO,DEN,20:06,2,0,6,False
2023-12-02,PHO,MEM,19:17,7,1,4,False
2023-12-05,PHO,LAL,14:41,7,1,6,False
2023-12-08,PHO,SAC,19:35,8,6,5,False
2023-12-12,PHO,GSW,29:41,16,6,5,False
2023-12-13,PHO,BRK,26:39,2,1,0,False
2023-12-15,PHO,NYK,23:24,3,9,3,False
2023-12-17,PHO,WAS,20:04,6,6,8,False
2023-12-19,PHO,POR,19:39,2,2,6,False
2023-12-22,PHO,SAC,14:00,3,0,3,False
2023-12-25,PHO,DAL,10:34,2,1,3,False
2023-12-27,PHO,HOU,N/A,N/A,N/A,N/A,False
2023-12-29,PHO,CHO,0:47,0,0,0,False
2023-12-31,PHO,ORL,N/A,N/A,N/A,N/A,False
2024-01-01,PHO,POR,5:36,2,1,1,False
2024-01-03,PHO,LAC,N/A,N/A,N/A,N/A,False
2024-01-05,PHO,MIA,1:55,0,0,0,False
2024-01-07,PHO,MEM,N/A,N/A,N/A,N/A,False
2024-01-08,PHO,LAC,5:12,4,0,0,False
2024-01-11,PHO,LAL,4:36,0,1,0,False
2024-01-14,PHO,POR,N/A,N/A,N/A,N/A,False
2024-01-16,PHO,SAC,N/A,N/A,N/A,N/A,False
2024-01-19,PHO,NOP,3:59,2,1,1,False
2024-01-21,PHO,IND,N/A,N/A,N/A,N/A,False
2024-01-22,PHO,CHI,N/A,N/A,N/A,N/A,False
2024-01-24,PHO,DAL,3:57,6,1,0,False
2024-01-26,PHO,IND,N/A,N/A,N/A,N/A,False
2024-01-28,PHO,ORL,2:15,2,0,1,False
2024-01-29,PHO,MIA,N/A,N/A,N/A,N/A,False
2024-01-31,PHO,BRK,1:20,2,0,0,False
2024-02-02,PHO,ATL,N/A,N/A,N/A,N/A,False
2024-02-04,PHO,WAS,8:44,4,1,0,False
2024-02-06,PHO,MIL,0:15,2,0,0,False
2024-02-08,PHO,UTA,N/A,N/A,N/A,N/A,False
2024-02-14,MEM,HOU,24:05,10,3,3,False
2024-02-15,MEM,MIL,28:56,11,3,7,True
2024-02-23,MEM,LAC,N/A,N/A,N/A,N/A,False
2024-02-26,MEM,BRK,N/A,N/A,N/A,N/A,False
2024-02-28,MEM,MIN,31:24,5,8,8,True
2024-03-01,MEM,POR,33:44,10,2,3,True
2024-03-02,MEM,POR,30:17,4,8,5,True
2024-03-04,MEM,BRK,N/A,N/A,N/A,N/A,False
2024-03-06,MEM,PHI,N/A,N/A,N/A,N/A,False
2024-03-08,MEM,ATL,23:56,5,4,0,True
2024-03-10,MEM,OKC,N/A,N/A,N/A,N/A,False
2024-03-12,MEM,WAS,32:09,8,7,12,True
2024-03-13,MEM,CHO,19:06,12,1,3,False
2024-03-16,MEM,OKC,N/A,N/A,N/A,N/A,False
2024-03-18,MEM,SAC,N/A,N/A,N/A,N/A,False
2024-03-20,MEM,GSW,N/A,N/A,N/A,N/A,False
2024-03-22,MEM,SAS,24:32,2,5,5,True
2024-03-25,MEM,DEN,N/A,N/A,N/A,N/A,False
2024-03-27,MEM,LAL,N/A,N/A,N/A,N/A,False
2024-03-30,MEM,ORL,26:39,16,3,11,False
2024-04-01,MEM,DET,24:05,4,5,13,False
2024-04-03,MEM,MIL,28:37,13,7,12,False
2024-04-05,MEM,DET,28:14,14,6,6,True
2024-04-06,MEM,PHI,31:21,15,4,4,True
2024-04-09,MEM,SAS,36:09,10,5,19,True
2024-04-10,MEM,CLE,N/A,N/A,N/A,N/A,False
2024-04-12,MEM,LAL,37:30,23,3,17,True
2024-04-14,MEM,DEN,36:30,8,3,8,True
