Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,UTA,DEN,13:42,3,1,0,False
2022-10-21,UTA,MIN,14:25,8,2,2,False
2022-10-23,UTA,NOP,9:12,7,0,3,False
2022-10-24,UTA,HOU,17:06,9,3,5,False
2022-10-26,UTA,HOU,28:12,14,4,7,False
2022-10-28,UTA,DEN,21:05,6,2,4,False
2022-10-29,UTA,MEM,10:21,1,0,1,False
2022-10-31,UTA,MEM,19:42,13,2,5,False
2022-11-02,UTA,DAL,13:56,2,0,0,False
2022-11-04,UTA,LAL,15:34,7,1,3,False
2022-11-06,UTA,LAC,14:35,5,0,2,False
2022-11-07,UTA,LAL,20:06,15,3,3,False
2022-11-09,UTA,ATL,19:17,8,5,3,False
2022-11-12,UTA,WAS,16:55,12,10,3,False
2022-11-13,UTA,PHI,14:26,7,5,1,False
2022-11-15,UTA,NYK,14:07,10,3,1,False
2022-11-18,UTA,PHO,15:01,7,3,1,False
2022-11-19,UTA,POR,31:32,8,2,5,False
2022-11-21,UTA,LAC,20:00,14,2,2,False
2022-11-23,UTA,DET,12:54,3,2,0,False
2022-11-25,UTA,GSW,12:11,0,0,3,False
2022-11-26,UTA,PHO,16:39,10,0,1,False
2022-11-28,UTA,CHI,11:35,3,0,3,False
2022-11-30,UTA,LAC,N/A,N/A,N/A,N/A,False
2022-12-02,UTA,IND,21:48,6,9,5,False
2022-12-03,UTA,POR,16:35,2,3,3,False
2022-12-07,UTA,GSW,N/A,N/A,N/A,N/A,False
2022-12-09,UTA,MIN,10:23,0,2,1,False
2022-12-10,UTA,DEN,33:59,19,4,7,True
2022-12-13,UTA,NOP,5:02,5,1,1,False
2022-12-15,UTA,NOP,N/A,N/A,N/A,N/A,False
2022-12-17,UTA,MIL,7:21,4,2,3,False
2022-12-19,UTA,CLE,14:31,6,0,1,False
2022-12-20,UTA,DET,2:39,0,1,0,False
2022-12-22,UTA,WAS,2:46,0,0,0,False
2022-12-26,UTA,SAS,N/A,N/A,N/A,N/A,False
2022-12-28,UTA,GSW,N/A,N/A,N/A,N/A,False
2022-12-30,UTA,SAC,N/A,N/A,N/A,N/A,False
2022-12-31,UTA,MIA,N/A,N/A,N/A,N/A,False
2023-01-03,UTA,SAC,N/A,N/A,N/A,N/A,False
2023-01-05,UTA,HOU,16:10,4,4,2,False
2023-01-07,UTA,CHI,20:08,12,5,1,False
2023-01-08,UTA,MEM,N/A,N/A,N/A,N/A,False
2023-01-10,UTA,CLE,N/A,N/A,N/A,N/A,False
2023-01-13,UTA,ORL,15:57,7,2,2,False
2023-01-14,UTA,PHI,28:21,20,2,6,False
2023-01-16,UTA,MIN,8:16,5,1,0,False
2023-01-18,UTA,LAC,2:54,2,0,0,False
2023-01-20,UTA,BRK,5:31,0,3,2,False
2023-01-23,UTA,CHO,22:10,7,6,2,False
2023-01-25,UTA,POR,13:53,12,2,1,False
2023-01-28,UTA,DAL,N/A,N/A,N/A,N/A,False
2023-02-01,UTA,TOR,N/A,N/A,N/A,N/A,False
2023-02-03,UTA,ATL,N/A,N/A,N/A,N/A,False
2023-02-06,UTA,DAL,N/A,N/A,N/A,N/A,False
2023-02-08,UTA,MIN,24:25,15,6,1,False
2023-02-10,UTA,TOR,26:58,9,8,7,False
2023-02-11,UTA,NYK,27:25,23,7,2,False
2023-02-13,UTA,IND,18:33,7,7,2,False
2023-02-15,UTA,MEM,31:39,15,7,7,False
2023-02-23,UTA,OKC,34:57,9,6,7,True
2023-02-25,UTA,SAS,24:05,12,4,6,True
2023-02-28,UTA,SAS,29:56,16,3,3,True
2023-03-03,UTA,OKC,21:08,6,5,4,True
2023-03-05,UTA,OKC,24:27,11,3,3,True
2023-03-07,UTA,DAL,33:35,21,4,6,True
2023-03-09,UTA,ORL,30:06,23,8,1,True
2023-03-11,UTA,CHO,32:29,37,10,8,True
2023-03-13,UTA,MIA,27:15,9,8,6,True
2023-03-18,UTA,BOS,27:41,19,5,7,True
2023-03-20,UTA,SAC,20:48,10,4,6,True
2023-03-22,UTA,POR,25:19,11,7,4,True
2023-03-24,UTA,MIL,26:15,13,8,5,True
2023-03-25,UTA,SAC,28:02,9,4,2,True
2023-03-27,UTA,PHO,34:58,16,8,8,True
2023-03-29,UTA,SAS,29:51,41,5,4,True
2023-03-31,UTA,BOS,31:04,28,7,8,True
2023-04-02,UTA,BRK,34:03,32,8,4,True
2023-04-04,UTA,LAL,37:17,23,7,4,True
2023-04-06,UTA,OKC,N/A,N/A,N/A,N/A,False
2023-04-08,UTA,DEN,N/A,N/A,N/A,N/A,False
2023-04-09,UTA,LAL,N/A,N/A,N/A,N/A,False
