Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-24,LAL,DEN,29:00,21,5,8,True
2023-10-26,LAL,PHO,35:00,21,9,8,True
2023-10-29,LAL,SAC,39:05,27,8,15,True
2023-10-30,LAL,ORL,32:47,19,4,3,True
2023-11-01,LAL,LAC,42:29,35,7,12,True
2023-11-04,LAL,ORL,35:13,24,5,9,True
2023-11-06,LAL,MIA,37:24,30,3,4,True
2023-11-08,LAL,HOU,27:12,18,2,6,True
2023-11-10,LAL,PHO,36:23,32,6,11,True
2023-11-12,LAL,POR,N/A,N/A,N/A,N/A,False
2023-11-14,LAL,MEM,22:39,16,6,9,True
2023-11-15,LAL,SAC,35:18,28,12,10,True
2023-11-17,LAL,POR,34:32,35,9,5,True
2023-11-19,LAL,HOU,39:35,37,8,6,True
2023-11-21,LAL,UTA,24:01,17,9,7,True
2023-11-22,LAL,DAL,36:01,26,7,9,True
2023-11-25,LAL,CLE,35:35,22,6,6,True
2023-11-27,LAL,PHI,29:32,18,5,0,True
2023-11-29,LAL,DET,28:42,25,3,8,True
2023-11-30,LAL,OKC,35:03,21,6,12,True
2023-12-02,LAL,HOU,35:22,16,7,4,True
2023-12-05,LAL,PHO,40:10,31,11,8,True
2023-12-07,LAL,NOP,22:32,30,8,5,True
2023-12-12,LAL,DAL,40:07,33,9,8,True
2023-12-13,LAL,SAS,N/A,N/A,N/A,N/A,False
2023-12-15,LAL,SAS,35:56,23,14,7,True
2023-12-18,LAL,NYK,39:05,25,11,11,True
2023-12-20,LAL,CHI,36:59,25,9,10,True
2023-12-21,LAL,MIN,N/A,N/A,N/A,N/A,False
2023-12-23,LAL,OKC,37:18,40,7,7,True
2023-12-25,LAL,BOS,36:47,16,8,9,True
2023-12-28,LAL,CHO,24:43,17,11,4,True
2023-12-30,LAL,MIN,38:46,26,6,3,True
2023-12-31,LAL,NOP,36:41,34,8,5,True
2024-01-03,LAL,MIA,38:11,12,9,6,True
2024-01-05,LAL,MEM,38:50,32,7,5,True
2024-01-07,LAL,LAC,38:07,25,7,8,True
2024-01-09,LAL,TOR,35:13,22,12,5,True
2024-01-11,LAL,PHO,24:16,10,9,5,True
2024-01-13,LAL,UTA,N/A,N/A,N/A,N/A,False
2024-01-15,LAL,OKC,38:55,25,6,7,True
2024-01-17,LAL,DAL,33:02,25,8,8,True
2024-01-19,LAL,BRK,33:44,24,5,11,True
2024-01-21,LAL,POR,31:00,28,5,5,True
2024-01-23,LAL,LAC,N/A,N/A,N/A,N/A,False
2024-01-25,LAL,CHI,35:42,25,12,4,True
2024-01-27,LAL,GSW,47:40,36,12,20,True
2024-01-29,LAL,HOU,36:47,23,10,6,True
2024-01-30,LAL,ATL,35:49,20,8,9,True
2024-02-01,LAL,BOS,N/A,N/A,N/A,N/A,False
2024-02-03,LAL,NYK,40:18,24,5,5,True
2024-02-05,LAL,CHO,39:32,26,7,4,True
2024-02-08,LAL,DEN,35:22,25,7,9,True
2024-02-09,LAL,NOP,37:31,21,14,4,True
2024-02-13,LAL,DET,30:42,25,8,1,True
2024-02-14,LAL,UTA,N/A,N/A,N/A,N/A,False
2024-02-22,LAL,GSW,N/A,N/A,N/A,N/A,False
2024-02-23,LAL,SAS,34:17,30,9,7,True
2024-02-25,LAL,PHO,36:47,28,12,7,True
2024-02-28,LAL,LAC,37:01,34,8,6,True
2024-02-29,LAL,WAS,38:44,31,9,4,True
2024-03-02,LAL,DEN,37:07,26,9,4,True
2024-03-04,LAL,OKC,30:59,19,8,11,True
2024-03-06,LAL,SAC,36:08,31,13,5,True
2024-03-08,LAL,MIL,N/A,N/A,N/A,N/A,False
2024-03-10,LAL,MIN,37:51,29,9,8,True
2024-03-13,LAL,SAC,40:07,18,9,13,True
2024-03-16,LAL,GSW,37:42,40,9,8,True
2024-03-18,LAL,ATL,28:39,25,10,7,True
2024-03-22,LAL,PHI,37:52,20,6,8,True
2024-03-24,LAL,IND,38:08,26,10,5,True
2024-03-26,LAL,MIL,N/A,N/A,N/A,N/A,False
2024-03-27,LAL,MEM,34:45,23,12,14,True
2024-03-29,LAL,IND,34:41,16,8,10,True
2024-03-31,LAL,BRK,37:12,40,5,7,True
2024-04-02,LAL,TOR,28:47,23,9,4,True
2024-04-03,LAL,WAS,36:11,25,9,7,True
2024-04-06,LAL,CLE,35:54,24,12,5,True
2024-04-07,LAL,MIN,N/A,N/A,N/A,N/A,False
2024-04-09,LAL,GSW,35:32,33,11,7,True
2024-04-12,LAL,MEM,40:54,37,5,9,True
2024-04-14,LAL,NOP,37:41,28,17,11,True
