Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,SAS,CHO,24:22,14,2,3,True
2022-10-21,SAS,IND,35:02,18,4,4,True
2022-10-22,SAS,PHI,30:26,17,4,1,True
2022-10-24,SAS,MIN,29:45,8,8,7,True
2022-10-26,SAS,MIN,32:49,13,3,7,True
2022-10-28,SAS,CHI,32:45,11,8,4,True
2022-10-30,SAS,MIN,31:30,10,8,2,True
2022-11-02,SAS,TOR,21:40,7,7,8,True
2022-11-04,SAS,LAC,33:00,18,6,2,True
2022-11-05,SAS,DEN,24:10,4,7,0,True
2022-11-07,SAS,DEN,33:21,20,9,3,True
2022-11-09,SAS,MEM,37:02,11,11,4,True
2022-11-11,SAS,MIL,29:42,9,9,5,True
2022-11-14,SAS,GSW,N/A,N/A,N/A,N/A,False
2022-11-15,SAS,POR,22:54,2,10,2,True
2022-11-17,SAS,SAC,29:22,15,4,1,True
2022-11-19,SAS,LAC,25:57,6,10,2,True
2022-11-20,SAS,LAL,26:11,10,4,2,True
2022-11-23,SAS,NOP,31:05,9,9,0,True
2022-11-25,SAS,LAL,33:20,19,5,2,True
2022-11-26,SAS,LAL,35:49,23,13,8,True
2022-11-30,SAS,OKC,32:03,15,5,4,True
2022-12-02,SAS,NOP,33:35,9,9,5,True
2022-12-04,SAS,PHO,29:10,10,3,2,True
2022-12-08,SAS,HOU,34:46,26,5,3,True
2022-12-10,SAS,MIA,35:46,10,4,4,True
2022-12-12,SAS,CLE,28:37,15,5,4,True
2022-12-14,SAS,POR,25:11,10,6,4,True
2022-12-17,SAS,MIA,31:51,9,9,3,True
2022-12-19,SAS,HOU,27:52,13,8,6,True
2022-12-22,SAS,NOP,27:44,19,3,2,True
2022-12-23,SAS,ORL,26:38,16,8,4,True
2022-12-26,SAS,UTA,27:03,11,5,5,True
2022-12-27,SAS,OKC,28:43,14,5,4,True
2022-12-29,SAS,NYK,33:21,13,6,8,True
2022-12-31,SAS,DAL,32:16,18,6,5,True
2023-01-02,SAS,BRK,22:50,6,7,1,True
2023-01-04,SAS,NYK,26:22,14,6,4,True
2023-01-06,SAS,DET,32:11,25,3,3,True
2023-01-07,SAS,BOS,30:10,18,5,5,True
2023-01-09,SAS,MEM,30:09,18,7,4,True
2023-01-11,SAS,MEM,30:23,22,6,6,True
2023-01-13,SAS,GSW,30:12,21,5,1,True
2023-01-15,SAS,SAC,34:54,16,8,7,True
2023-01-17,SAS,BRK,33:09,13,5,4,True
2023-01-20,SAS,LAC,29:33,8,8,1,True
2023-01-23,SAS,POR,24:24,12,7,2,True
2023-01-25,SAS,LAL,26:23,6,6,3,True
2023-01-26,SAS,LAC,26:46,8,4,2,True
2023-01-28,SAS,PHO,27:59,7,4,3,True
2023-01-30,SAS,WAS,30:36,9,9,4,True
2023-02-01,SAS,SAC,8:40,0,4,0,True
2023-02-03,SAS,PHI,N/A,N/A,N/A,N/A,False
2023-02-06,SAS,CHI,N/A,N/A,N/A,N/A,False
2023-02-08,SAS,TOR,N/A,N/A,N/A,N/A,False
2023-02-10,SAS,DET,N/A,N/A,N/A,N/A,False
2023-02-11,SAS,ATL,24:48,8,3,7,True
2023-02-13,SAS,CLE,N/A,N/A,N/A,N/A,False
2023-02-15,SAS,CHO,N/A,N/A,N/A,N/A,False
2023-02-23,SAS,DAL,N/A,N/A,N/A,N/A,False
2023-02-25,SAS,UTA,N/A,N/A,N/A,N/A,False
2023-02-28,SAS,UTA,N/A,N/A,N/A,N/A,False
2023-03-02,SAS,IND,20:53,2,5,4,False
2023-03-04,SAS,HOU,25:04,12,4,1,True
2023-03-05,SAS,HOU,N/A,N/A,N/A,N/A,False
2023-03-10,SAS,DEN,25:22,14,8,2,False
2023-03-12,SAS,OKC,N/A,N/A,N/A,N/A,False
2023-03-14,SAS,ORL,N/A,N/A,N/A,N/A,False
2023-03-15,SAS,DAL,32:02,13,5,1,True
2023-03-17,SAS,MEM,33:36,8,9,3,False
2023-03-19,SAS,ATL,28:55,11,6,2,True
2023-03-21,SAS,NOP,32:01,15,8,5,True
2023-03-22,SAS,MIL,N/A,N/A,N/A,N/A,False
2023-03-24,SAS,WAS,28:44,10,12,2,True
2023-03-26,SAS,BOS,26:27,11,4,5,True
2023-03-29,SAS,UTA,28:09,17,6,1,True
2023-03-31,SAS,GSW,30:11,10,6,2,True
2023-04-02,SAS,SAC,33:15,17,11,10,True
2023-04-04,SAS,PHO,29:04,20,9,3,True
2023-04-06,SAS,POR,31:18,18,10,4,True
2023-04-08,SAS,MIN,31:35,21,12,10,True
2023-04-09,SAS,DAL,22:47,13,8,3,True
