Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-24,GSW,PHO,3:42,0,1,1,False
2023-10-27,GSW,SAC,N/A,N/A,N/A,N/A,False
2023-10-29,GSW,HOU,N/A,N/A,N/A,N/A,False
2023-10-30,GSW,NOP,4:39,0,1,1,False
2023-11-01,GSW,SAC,N/A,N/A,N/A,N/A,False
2023-11-03,GSW,OKC,N/A,N/A,N/A,N/A,False
2023-11-05,GSW,CLE,2:33,0,0,0,False
2023-11-06,GSW,DET,N/A,N/A,N/A,N/A,False
2023-11-08,GSW,DEN,N/A,N/A,N/A,N/A,False
2023-11-11,GSW,CLE,2:12,3,1,0,False
2023-11-12,GSW,MIN,N/A,N/A,N/A,N/A,False
2023-11-14,GSW,MIN,13:14,6,4,0,False
2023-11-16,GSW,OKC,20:27,3,2,2,False
2023-11-18,GSW,OKC,N/A,N/A,N/A,N/A,False
2023-11-20,GSW,HOU,N/A,N/A,N/A,N/A,False
2023-11-22,GSW,PHO,16:10,3,4,0,False
2023-11-24,GSW,SAS,N/A,N/A,N/A,N/A,False
2023-11-28,GSW,SAC,7:57,4,3,3,False
2023-11-30,GSW,LAC,21:50,1,2,2,False
2023-12-02,GSW,LAC,15:33,0,3,0,False
2023-12-06,GSW,POR,N/A,N/A,N/A,N/A,False
2023-12-08,GSW,OKC,12:38,2,3,1,False
2023-12-12,GSW,PHO,N/A,N/A,N/A,N/A,False
2023-12-14,GSW,LAC,N/A,N/A,N/A,N/A,False
2023-12-16,GSW,BRK,N/A,N/A,N/A,N/A,False
2023-12-17,GSW,POR,N/A,N/A,N/A,N/A,False
2023-12-19,GSW,BOS,6:07,4,0,1,False
2023-12-22,GSW,WAS,13:30,0,0,1,False
2023-12-23,GSW,POR,3:49,0,1,0,False
2023-12-25,GSW,DEN,N/A,N/A,N/A,N/A,False
2023-12-28,GSW,MIA,2:09,0,0,0,False
2023-12-30,GSW,DAL,N/A,N/A,N/A,N/A,False
2024-01-02,GSW,ORL,N/A,N/A,N/A,N/A,False
2024-01-04,GSW,DEN,N/A,N/A,N/A,N/A,False
2024-01-05,GSW,DET,8:37,3,2,0,False
2024-01-07,GSW,TOR,14:25,0,2,0,False
2024-01-10,GSW,NOP,17:19,2,2,3,False
2024-01-12,GSW,CHI,12:50,2,2,1,False
2024-01-13,GSW,MIL,18:25,3,2,3,False
2024-01-15,GSW,MEM,6:44,0,1,0,False
2024-01-24,GSW,ATL,20:36,8,1,2,False
2024-01-25,GSW,SAC,16:59,6,0,5,False
2024-01-27,GSW,LAL,14:55,3,2,2,False
2024-01-30,GSW,PHI,13:19,2,2,1,False
2024-02-02,GSW,MEM,N/A,N/A,N/A,N/A,False
2024-02-03,GSW,ATL,N/A,N/A,N/A,N/A,False
2024-02-05,GSW,BRK,N/A,N/A,N/A,N/A,False
2024-02-07,GSW,PHI,5:13,8,1,1,False
2024-02-08,IND,GSW,N/A,N/A,N/A,N/A,False
