Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,OKC,UTA,3:14,0,0,1,False
2021-10-22,OKC,HOU,5:49,2,0,1,False
2021-10-24,OKC,PHI,N/A,N/A,N/A,N/A,False
2021-10-26,OKC,GSW,N/A,N/A,N/A,N/A,False
2021-10-27,OKC,LAL,N/A,N/A,N/A,N/A,False
2021-10-30,OKC,GSW,N/A,N/A,N/A,N/A,False
2021-11-01,OKC,LAC,N/A,N/A,N/A,N/A,False
2021-11-04,OKC,LAL,N/A,N/A,N/A,N/A,False
2021-11-07,OKC,SAS,0:05,0,0,1,False
2021-11-10,OKC,NOP,N/A,N/A,N/A,N/A,False
2021-11-12,OKC,SAC,N/A,N/A,N/A,N/A,False
2021-11-14,OKC,BRK,N/A,N/A,N/A,N/A,False
2021-11-15,OKC,MIA,N/A,N/A,N/A,N/A,False
2021-11-17,OKC,HOU,N/A,N/A,N/A,N/A,False
2021-11-19,OKC,MIL,N/A,N/A,N/A,N/A,False
2021-11-20,OKC,BOS,N/A,N/A,N/A,N/A,False
2021-11-22,OKC,ATL,N/A,N/A,N/A,N/A,False
2021-11-24,OKC,UTA,N/A,N/A,N/A,N/A,False
2021-11-26,OKC,WAS,N/A,N/A,N/A,N/A,False
2021-11-29,OKC,HOU,N/A,N/A,N/A,N/A,False
2021-12-01,OKC,HOU,N/A,N/A,N/A,N/A,False
2021-12-02,OKC,MEM,N/A,N/A,N/A,N/A,False
2021-12-06,OKC,DET,N/A,N/A,N/A,N/A,False
2021-12-08,OKC,TOR,N/A,N/A,N/A,N/A,False
2021-12-10,OKC,LAL,N/A,N/A,N/A,N/A,False
2021-12-12,OKC,DAL,N/A,N/A,N/A,N/A,False
2021-12-15,OKC,NOP,N/A,N/A,N/A,N/A,False
2021-12-18,OKC,LAC,N/A,N/A,N/A,N/A,False
2021-12-20,OKC,MEM,N/A,N/A,N/A,N/A,False
2021-12-22,OKC,DEN,N/A,N/A,N/A,N/A,False
2021-12-23,OKC,PHO,N/A,N/A,N/A,N/A,False
2021-12-26,OKC,NOP,N/A,N/A,N/A,N/A,False
2021-12-28,OKC,SAC,N/A,N/A,N/A,N/A,False
2021-12-29,OKC,PHO,N/A,N/A,N/A,N/A,False
2021-12-31,OKC,NYK,N/A,N/A,N/A,N/A,False
2022-01-02,OKC,DAL,N/A,N/A,N/A,N/A,False
2022-01-05,OKC,MIN,N/A,N/A,N/A,N/A,False
2022-01-07,OKC,MIN,N/A,N/A,N/A,N/A,False
2022-01-09,OKC,DEN,N/A,N/A,N/A,N/A,False
2022-01-11,OKC,WAS,N/A,N/A,N/A,N/A,False
2022-01-13,OKC,BRK,N/A,N/A,N/A,N/A,False
2022-01-15,OKC,CLE,N/A,N/A,N/A,N/A,False
2022-01-17,OKC,DAL,N/A,N/A,N/A,N/A,False
2022-01-19,OKC,SAS,N/A,N/A,N/A,N/A,False
2022-01-21,OKC,CHO,N/A,N/A,N/A,N/A,False
2022-01-22,OKC,CLE,N/A,N/A,N/A,N/A,False
2022-01-24,OKC,CHI,N/A,N/A,N/A,N/A,False
2022-01-28,OKC,IND,N/A,N/A,N/A,N/A,False
2022-01-31,OKC,POR,N/A,N/A,N/A,N/A,False
2022-02-02,OKC,DAL,N/A,N/A,N/A,N/A,False
2022-02-04,OKC,POR,N/A,N/A,N/A,N/A,False
2022-02-05,OKC,SAC,N/A,N/A,N/A,N/A,False
2022-02-07,OKC,GSW,N/A,N/A,N/A,N/A,False
2022-02-09,OKC,TOR,N/A,N/A,N/A,N/A,False
2022-02-11,OKC,PHI,8:39,4,2,0,False
2022-02-12,OKC,CHI,N/A,N/A,N/A,N/A,False
2022-02-14,OKC,NYK,5:14,0,0,1,False
2022-02-16,OKC,SAS,8:19,0,0,1,False
2022-02-24,OKC,PHO,20:33,8,1,2,False
2022-02-25,OKC,IND,18:20,0,2,2,False
2022-02-28,OKC,SAC,29:16,10,2,5,False
2022-03-02,OKC,DEN,20:40,9,0,4,False
2022-03-04,OKC,MIN,27:57,0,1,0,False
2022-03-06,OKC,UTA,20:24,6,0,2,False
2022-03-08,OKC,MIL,19:16,6,2,1,False
2022-03-09,OKC,MIN,25:04,9,1,2,False
2022-03-13,OKC,MEM,20:08,0,3,3,False
2022-03-14,OKC,CHO,15:10,12,2,3,False
2022-03-16,OKC,SAS,19:46,8,0,6,False
2022-03-18,OKC,MIA,29:11,3,2,5,False
2022-03-20,OKC,ORL,32:11,8,1,5,False
2022-03-21,OKC,BOS,21:47,2,1,2,False
2022-03-23,OKC,ORL,27:19,12,2,11,False
2022-03-26,OKC,DEN,27:32,7,6,4,False
2022-03-28,OKC,POR,32:11,12,2,3,True
2022-03-30,OKC,ATL,35:07,9,5,5,True
2022-04-01,OKC,DET,40:37,7,3,4,True
2022-04-03,OKC,PHO,37:08,11,8,6,True
2022-04-05,OKC,POR,21:29,11,1,3,True
2022-04-06,OKC,UTA,33:50,9,6,6,True
2022-04-08,OKC,LAL,43:26,6,2,9,True
2022-04-10,OKC,LAC,40:10,16,2,3,True
