Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,MEM,NYK,12:32,5,1,2,False
2022-10-21,MEM,HOU,15:10,12,0,5,False
2022-10-22,MEM,DAL,22:26,6,0,2,False
2022-10-24,MEM,BRK,11:03,0,0,2,False
2022-10-27,MEM,SAC,29:50,13,1,9,False
2022-10-29,MEM,UTA,N/A,N/A,N/A,N/A,False
2022-10-31,MEM,UTA,N/A,N/A,N/A,N/A,False
2022-11-02,MEM,POR,N/A,N/A,N/A,N/A,False
2022-11-04,MEM,CHO,19:10,4,0,9,False
2022-11-06,MEM,WAS,16:10,6,1,1,False
2022-11-07,MEM,BOS,24:36,6,1,3,False
2022-11-09,MEM,SAS,16:44,6,0,0,False
2022-11-11,MEM,MIN,12:08,0,1,2,False
2022-11-13,MEM,WAS,25:53,2,3,5,False
2022-11-15,MEM,NOP,N/A,N/A,N/A,N/A,False
2022-11-18,MEM,OKC,9:28,2,1,1,False
2022-11-20,MEM,BRK,28:51,11,3,4,False
2022-11-22,MEM,SAC,9:52,0,2,0,False
2022-11-25,MEM,NOP,26:12,3,0,4,False
2022-11-27,MEM,NYK,15:20,6,2,1,False
2022-11-30,MEM,MIN,N/A,N/A,N/A,N/A,False
2022-12-02,MEM,PHI,N/A,N/A,N/A,N/A,False
2022-12-04,MEM,DET,N/A,N/A,N/A,N/A,False
2022-12-05,MEM,MIA,N/A,N/A,N/A,N/A,False
2022-12-07,MEM,OKC,N/A,N/A,N/A,N/A,False
2022-12-09,MEM,DET,N/A,N/A,N/A,N/A,False
2022-12-12,MEM,ATL,4:07,0,0,1,False
2022-12-15,MEM,MIL,12:00,2,1,2,False
2022-12-17,MEM,OKC,N/A,N/A,N/A,N/A,False
2022-12-20,MEM,DEN,1:52,0,0,0,False
2022-12-23,MEM,PHO,4:40,0,1,1,False
2022-12-25,MEM,GSW,N/A,N/A,N/A,N/A,False
2022-12-27,MEM,PHO,7:12,1,0,0,False
2022-12-29,MEM,TOR,N/A,N/A,N/A,N/A,False
2022-12-31,MEM,NOP,1:29,0,0,0,False
2023-01-01,MEM,SAC,4:01,0,0,0,False
2023-01-04,MEM,CHO,N/A,N/A,N/A,N/A,False
2023-01-05,MEM,ORL,N/A,N/A,N/A,N/A,False
2023-01-08,MEM,UTA,N/A,N/A,N/A,N/A,False
2023-01-09,MEM,SAS,N/A,N/A,N/A,N/A,False
2023-01-11,MEM,SAS,N/A,N/A,N/A,N/A,False
2023-01-14,MEM,IND,14:26,5,3,1,False
2023-01-16,MEM,PHO,3:57,0,0,0,False
2023-01-18,MEM,CLE,N/A,N/A,N/A,N/A,False
2023-01-20,MEM,LAL,N/A,N/A,N/A,N/A,False
2023-01-22,MEM,PHO,N/A,N/A,N/A,N/A,False
2023-01-23,MEM,SAC,5:27,0,0,1,False
2023-01-25,MEM,GSW,N/A,N/A,N/A,N/A,False
2023-01-27,MEM,MIN,12:44,6,0,2,False
2023-01-29,MEM,IND,5:25,0,0,0,False
2023-02-01,MEM,POR,N/A,N/A,N/A,N/A,False
2023-02-02,MEM,CLE,6:59,0,0,1,False
2023-02-05,MEM,TOR,N/A,N/A,N/A,N/A,False
2023-02-07,MEM,CHI,N/A,N/A,N/A,N/A,False
2023-02-10,MEM,MIN,1:39,0,0,0,False
2023-02-12,MEM,BOS,N/A,N/A,N/A,N/A,False
2023-02-15,MEM,UTA,N/A,N/A,N/A,N/A,False
2023-02-23,MEM,PHI,N/A,N/A,N/A,N/A,False
2023-02-25,MEM,DEN,4:15,0,0,0,False
2023-02-28,MEM,LAL,N/A,N/A,N/A,N/A,False
2023-03-01,MEM,HOU,N/A,N/A,N/A,N/A,False
2023-03-03,MEM,DEN,2:37,3,0,1,False
2023-03-05,MEM,LAC,N/A,N/A,N/A,N/A,False
2023-03-07,MEM,LAL,N/A,N/A,N/A,N/A,False
2023-03-09,MEM,GSW,N/A,N/A,N/A,N/A,False
2023-03-11,MEM,DAL,N/A,N/A,N/A,N/A,False
2023-03-13,MEM,DAL,N/A,N/A,N/A,N/A,False
2023-03-15,MEM,MIA,N/A,N/A,N/A,N/A,False
2023-03-17,MEM,SAS,N/A,N/A,N/A,N/A,False
2023-03-18,MEM,GSW,3:00,0,0,0,False
2023-03-20,MEM,DAL,N/A,N/A,N/A,N/A,False
2023-03-22,MEM,HOU,N/A,N/A,N/A,N/A,False
2023-03-24,MEM,HOU,N/A,N/A,N/A,N/A,False
2023-03-26,MEM,ATL,N/A,N/A,N/A,N/A,False
2023-03-28,MEM,ORL,N/A,N/A,N/A,N/A,False
2023-03-29,MEM,LAC,21:30,6,0,3,False
2023-03-31,MEM,LAC,N/A,N/A,N/A,N/A,False
2023-04-02,MEM,CHI,1:29,0,0,0,False
2023-04-04,MEM,POR,N/A,N/A,N/A,N/A,False
2023-04-05,MEM,NOP,N/A,N/A,N/A,N/A,False
2023-04-07,MEM,MIL,N/A,N/A,N/A,N/A,False
2023-04-09,MEM,OKC,N/A,N/A,N/A,N/A,False
