Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,HOU,ATL,22:42,6,0,5,False
2022-10-21,HOU,MEM,24:47,8,3,5,False
2022-10-22,HOU,MIL,29:53,14,2,5,True
2022-10-24,HOU,UTA,34:16,3,3,4,True
2022-10-26,HOU,UTA,24:54,11,3,10,False
2022-10-28,HOU,POR,16:37,11,0,4,False
2022-10-30,HOU,PHO,24:05,8,1,3,False
2022-10-31,HOU,LAC,28:45,23,1,6,False
2022-11-02,HOU,LAC,20:14,2,1,3,False
2022-11-05,HOU,MIN,31:18,17,1,3,True
2022-11-07,HOU,ORL,25:51,21,5,4,False
2022-11-09,HOU,TOR,22:34,13,0,6,False
2022-11-12,HOU,NOP,25:43,9,1,7,False
2022-11-14,HOU,LAC,20:36,8,1,5,False
2022-11-16,HOU,DAL,24:49,10,1,1,False
2022-11-18,HOU,IND,26:16,12,1,8,True
2022-11-20,HOU,GSW,23:39,12,1,4,False
2022-11-25,HOU,ATL,33:42,21,2,15,True
2022-11-26,HOU,OKC,14:10,3,1,5,False
2022-11-28,HOU,DEN,27:42,15,1,6,False
2022-11-30,HOU,DEN,18:52,3,2,2,False
2022-12-02,HOU,PHO,18:18,7,0,2,False
2022-12-03,HOU,GSW,27:36,13,1,7,True
2022-12-05,HOU,PHI,19:51,14,1,3,False
2022-12-08,HOU,SAS,20:51,3,3,4,False
2022-12-11,HOU,MIL,21:52,10,2,7,False
2022-12-13,HOU,PHO,19:31,7,0,4,False
2022-12-15,HOU,MIA,20:45,10,1,3,False
2022-12-17,HOU,POR,31:00,13,2,5,False
2022-12-19,HOU,SAS,19:56,8,1,7,False
2022-12-21,HOU,ORL,28:14,18,4,5,False
2022-12-23,HOU,DAL,29:38,10,1,3,True
2022-12-26,HOU,CHI,21:32,10,0,3,False
2022-12-27,HOU,BOS,31:28,17,2,3,True
2022-12-29,HOU,DAL,17:12,4,0,4,False
2022-12-31,HOU,NYK,19:35,5,2,3,False
2023-01-02,HOU,DAL,19:50,5,0,6,False
2023-01-04,HOU,NOP,24:34,16,1,2,False
2023-01-05,HOU,UTA,22:43,7,2,5,False
2023-01-08,HOU,MIN,21:36,12,2,5,False
2023-01-11,HOU,SAC,26:50,21,1,5,False
2023-01-13,HOU,SAC,34:04,6,0,4,True
2023-01-15,HOU,LAC,32:34,22,2,9,True
2023-01-16,HOU,LAL,30:20,17,0,7,True
2023-01-18,HOU,CHO,32:18,11,3,7,True
2023-01-21,HOU,MIN,30:27,15,2,9,True
2023-01-23,HOU,MIN,32:56,6,2,7,True
2023-01-25,HOU,WAS,33:46,16,1,13,True
2023-01-26,HOU,CLE,26:51,14,2,6,True
2023-01-28,HOU,DET,26:42,15,1,13,True
2023-02-01,HOU,OKC,31:42,18,4,7,True
2023-02-03,HOU,TOR,34:35,20,3,6,True
2023-02-04,HOU,OKC,31:06,4,3,5,True
2023-02-06,HOU,SAC,32:12,18,1,8,True
2023-02-08,HOU,SAC,34:57,15,0,5,True
2023-02-10,HOU,MIA,37:53,17,3,6,True
2023-02-13,HOU,PHI,31:27,15,2,7,True
2023-02-15,HOU,OKC,27:58,4,2,6,True
2023-02-24,HOU,GSW,35:40,22,2,8,True
2023-02-26,HOU,POR,32:54,14,4,8,True
2023-02-28,HOU,DEN,26:50,15,2,3,True
2023-03-01,HOU,MEM,34:28,19,0,6,True
2023-03-04,HOU,SAS,38:17,14,2,13,True
2023-03-05,HOU,SAS,26:58,13,3,3,True
2023-03-07,HOU,BRK,26:51,8,1,4,True
2023-03-09,HOU,IND,32:30,23,1,3,True
2023-03-11,HOU,CHI,30:34,16,1,1,True
2023-03-13,HOU,BOS,39:49,20,1,8,True
2023-03-15,HOU,LAL,32:58,16,3,8,True
2023-03-17,HOU,NOP,30:17,14,0,6,True
2023-03-19,HOU,NOP,27:59,8,0,5,True
2023-03-20,HOU,GSW,32:32,13,1,3,True
2023-03-22,HOU,MEM,38:45,31,0,6,True
2023-03-24,HOU,MEM,30:14,10,2,3,True
2023-03-26,HOU,CLE,30:46,13,2,4,True
2023-03-27,HOU,NYK,32:47,18,2,6,True
2023-03-29,HOU,BRK,33:45,15,1,7,True
2023-03-31,HOU,DET,35:22,15,1,6,True
2023-04-02,HOU,LAL,28:19,11,1,5,True
2023-04-04,HOU,DEN,27:18,12,1,5,True
2023-04-07,HOU,CHO,39:03,14,3,6,True
2023-04-09,HOU,WAS,21:02,12,1,3,True
