Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,ATL,CHO,N/A,N/A,N/A,N/A,False
2023-10-27,ATL,NYK,N/A,N/A,N/A,N/A,False
2023-10-29,ATL,MIL,N/A,N/A,N/A,N/A,False
2023-10-30,ATL,MIN,N/A,N/A,N/A,N/A,False
2023-11-01,ATL,WAS,N/A,N/A,N/A,N/A,False
2023-11-04,ATL,NOP,3:37,0,0,0,False
2023-11-06,ATL,OKC,4:07,0,0,1,False
2023-11-09,ATL,ORL,N/A,N/A,N/A,N/A,False
2023-11-11,ATL,MIA,N/A,N/A,N/A,N/A,False
2023-11-14,ATL,DET,1:37,3,0,1,False
2023-11-15,ATL,NYK,N/A,N/A,N/A,N/A,False
2023-11-17,ATL,PHI,N/A,N/A,N/A,N/A,False
2023-11-21,ATL,IND,N/A,N/A,N/A,N/A,False
2023-11-22,ATL,BRK,N/A,N/A,N/A,N/A,False
2023-11-25,ATL,WAS,14:23,6,1,2,False
2023-11-26,ATL,BOS,N/A,N/A,N/A,N/A,False
2023-11-28,ATL,CLE,3:54,0,0,1,False
2023-11-30,ATL,SAS,12:14,3,0,1,False
2023-12-02,ATL,MIL,7:28,0,0,1,False
2023-12-06,ATL,BRK,6:50,0,0,1,False
2023-12-08,ATL,PHI,2:49,0,0,1,False
2023-12-11,ATL,DEN,16:40,3,1,0,True
2023-12-13,ATL,TOR,18:35,6,0,2,False
2023-12-15,ATL,TOR,18:19,6,0,1,False
2023-12-16,ATL,CLE,14:00,6,0,0,False
2023-12-18,ATL,DET,22:37,6,0,3,False
2023-12-20,ATL,HOU,16:47,6,0,1,False
2023-12-22,ATL,MIA,18:27,0,1,1,True
2023-12-23,ATL,MEM,14:15,0,1,1,True
2023-12-26,ATL,CHI,13:02,6,0,1,False
2023-12-29,ATL,SAC,8:14,3,0,1,False
2023-12-31,ATL,WAS,13:50,0,1,2,False
2024-01-03,ATL,OKC,16:46,5,2,0,False
2024-01-05,ATL,IND,19:27,6,2,3,False
2024-01-07,ATL,ORL,1:38,0,0,0,False
2024-01-10,ATL,PHI,N/A,N/A,N/A,N/A,False
2024-01-12,ATL,IND,N/A,N/A,N/A,N/A,False
2024-01-13,ATL,WAS,15:25,8,1,2,False
2024-01-15,ATL,SAS,13:12,6,0,0,False
2024-01-17,ATL,ORL,13:28,6,0,4,False
2024-01-19,ATL,MIA,19:56,9,3,3,False
2024-01-20,ATL,CLE,14:22,4,2,2,False
2024-01-22,ATL,SAC,23:03,9,0,1,False
2024-01-24,ATL,GSW,20:09,3,1,0,False
2024-01-26,ATL,DAL,14:01,8,0,2,False
2024-01-28,ATL,TOR,7:43,0,0,0,False
2024-01-30,ATL,LAL,5:39,0,0,1,False
2024-02-02,ATL,PHO,N/A,N/A,N/A,N/A,False
2024-02-03,ATL,GSW,16:18,8,0,3,True
2024-02-05,ATL,LAC,N/A,N/A,N/A,N/A,False
2024-02-07,ATL,BOS,14:12,3,0,0,False
2024-02-09,ATL,PHI,13:58,8,1,1,False
2024-02-10,ATL,HOU,9:16,3,1,2,False
2024-02-12,ATL,CHI,4:08,0,0,1,False
2024-02-14,ATL,CHO,16:21,0,0,0,False
2024-02-23,ATL,TOR,13:06,3,0,0,False
2024-02-25,ATL,ORL,16:30,3,0,2,False
2024-02-27,ATL,UTA,17:09,6,1,5,False
2024-02-29,ATL,BRK,10:46,0,1,3,False
2024-03-02,ATL,BRK,13:08,0,0,0,False
2024-03-05,ATL,NYK,14:23,3,0,3,False
2024-03-06,ATL,CLE,17:05,3,0,1,False
2024-03-08,ATL,MEM,16:10,6,0,3,False
2024-03-10,ATL,NOP,18:55,2,0,0,False
2024-03-13,ATL,POR,20:45,8,0,2,False
2024-03-15,ATL,UTA,21:42,9,4,3,False
2024-03-17,ATL,LAC,13:09,6,0,0,False
2024-03-18,ATL,LAL,18:46,0,1,0,False
2024-03-21,ATL,PHO,21:03,9,2,2,False
2024-03-23,ATL,CHO,27:08,20,2,3,False
2024-03-25,ATL,BOS,18:45,6,0,1,False
2024-03-27,ATL,POR,21:55,21,1,2,False
2024-03-28,ATL,BOS,16:50,7,1,1,False
2024-03-30,ATL,MIL,17:22,3,1,1,False
2024-04-01,ATL,CHI,17:12,9,1,1,False
2024-04-03,ATL,DET,19:10,9,0,3,False
2024-04-04,ATL,DAL,15:16,14,0,2,False
2024-04-06,ATL,DEN,19:14,11,0,0,False
2024-04-09,ATL,MIA,21:05,11,0,3,False
2024-04-10,ATL,CHO,30:38,10,4,3,True
2024-04-12,ATL,MIN,23:09,0,0,1,False
2024-04-14,ATL,IND,21:00,6,0,0,False
