Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,BRK,NOP,22:40,16,0,1,False
2022-10-21,BRK,TOR,11:03,10,0,0,False
2022-10-24,BRK,MEM,19:14,6,2,1,False
2022-10-26,BRK,MIL,17:44,0,3,1,False
2022-10-27,BRK,DAL,16:44,3,1,2,False
2022-10-29,BRK,IND,6:32,8,0,0,False
2022-10-31,BRK,IND,5:36,0,0,0,False
2022-11-01,BRK,CHI,9:39,9,0,1,False
2022-11-04,BRK,WAS,16:19,5,1,1,False
2022-11-05,BRK,CHO,13:11,11,2,0,False
2022-11-07,BRK,DAL,7:59,0,0,1,False
2022-11-09,BRK,NYK,8:52,0,1,1,False
2022-11-12,BRK,LAC,11:33,6,1,1,False
2022-11-13,BRK,LAL,12:56,2,1,1,False
2022-11-15,BRK,SAC,4:07,3,1,2,False
2022-11-17,BRK,POR,3:42,2,2,0,False
2022-11-20,BRK,MEM,6:22,4,1,1,False
2022-11-22,BRK,PHI,13:15,3,2,1,False
2022-11-23,BRK,TOR,6:24,0,1,1,False
2022-11-25,BRK,IND,5:05,3,2,0,False
2022-11-27,BRK,POR,N/A,N/A,N/A,N/A,False
2022-11-28,BRK,ORL,N/A,N/A,N/A,N/A,False
2022-11-30,BRK,WAS,N/A,N/A,N/A,N/A,False
2022-12-02,BRK,TOR,N/A,N/A,N/A,N/A,False
2022-12-04,BRK,BOS,N/A,N/A,N/A,N/A,False
2022-12-07,BRK,CHO,N/A,N/A,N/A,N/A,False
2022-12-09,BRK,ATL,N/A,N/A,N/A,N/A,False
2022-12-10,BRK,IND,33:56,24,6,6,True
2022-12-12,BRK,WAS,N/A,N/A,N/A,N/A,False
2022-12-16,BRK,TOR,N/A,N/A,N/A,N/A,False
2022-12-18,BRK,DET,N/A,N/A,N/A,N/A,False
2022-12-21,BRK,GSW,12:52,13,3,0,False
2022-12-23,BRK,MIL,N/A,N/A,N/A,N/A,False
2022-12-26,BRK,CLE,5:45,0,0,0,False
2022-12-28,BRK,ATL,11:46,12,0,1,False
2022-12-31,BRK,CHO,N/A,N/A,N/A,N/A,False
2023-01-02,BRK,SAS,23:02,2,3,2,False
2023-01-04,BRK,CHI,N/A,N/A,N/A,N/A,False
2023-01-06,BRK,NOP,N/A,N/A,N/A,N/A,False
2023-01-08,BRK,MIA,N/A,N/A,N/A,N/A,False
2023-01-12,BRK,BOS,N/A,N/A,N/A,N/A,False
2023-01-15,BRK,OKC,12:26,6,0,1,False
2023-01-17,BRK,SAS,5:56,0,0,0,False
2023-01-19,BRK,PHO,N/A,N/A,N/A,N/A,False
2023-01-20,BRK,UTA,N/A,N/A,N/A,N/A,False
2023-01-22,BRK,GSW,N/A,N/A,N/A,N/A,False
2023-01-25,BRK,PHI,N/A,N/A,N/A,N/A,False
2023-01-26,BRK,DET,19:15,6,3,1,False
2023-01-28,BRK,NYK,10:41,7,2,1,False
2023-01-30,BRK,LAL,26:12,21,3,0,False
2023-02-01,BRK,BOS,17:54,4,2,0,False
2023-02-04,BRK,WAS,30:12,13,0,3,False
2023-02-06,BRK,LAC,11:31,0,0,0,False
2023-02-07,BRK,PHO,17:14,0,3,1,False
2023-02-09,BRK,CHI,13:43,8,2,2,False
2023-02-11,BRK,PHI,7:14,0,0,1,False
2023-02-13,BRK,NYK,N/A,N/A,N/A,N/A,False
2023-02-15,BRK,MIA,N/A,N/A,N/A,N/A,False
2023-02-24,BRK,CHI,N/A,N/A,N/A,N/A,False
2023-02-26,BRK,ATL,N/A,N/A,N/A,N/A,False
2023-02-28,BRK,MIL,N/A,N/A,N/A,N/A,False
2023-03-01,BRK,NYK,5:33,0,0,0,False
2023-03-03,BRK,BOS,N/A,N/A,N/A,N/A,False
2023-03-05,BRK,CHO,N/A,N/A,N/A,N/A,False
2023-03-07,BRK,HOU,N/A,N/A,N/A,N/A,False
2023-03-09,BRK,MIL,30:52,23,4,7,False
2023-03-10,BRK,MIN,N/A,N/A,N/A,N/A,False
2023-03-12,BRK,DEN,N/A,N/A,N/A,N/A,False
2023-03-14,BRK,OKC,N/A,N/A,N/A,N/A,False
2023-03-16,BRK,SAC,N/A,N/A,N/A,N/A,False
2023-03-19,BRK,DEN,N/A,N/A,N/A,N/A,False
2023-03-21,BRK,CLE,N/A,N/A,N/A,N/A,False
2023-03-23,BRK,CLE,N/A,N/A,N/A,N/A,False
2023-03-25,BRK,MIA,N/A,N/A,N/A,N/A,False
2023-03-26,BRK,ORL,16:23,4,2,0,False
2023-03-29,BRK,HOU,N/A,N/A,N/A,N/A,False
2023-03-31,BRK,ATL,N/A,N/A,N/A,N/A,False
2023-04-02,BRK,UTA,N/A,N/A,N/A,N/A,False
2023-04-04,BRK,MIN,N/A,N/A,N/A,N/A,False
2023-04-05,BRK,DET,N/A,N/A,N/A,N/A,False
2023-04-07,BRK,ORL,N/A,N/A,N/A,N/A,False
2023-04-09,BRK,PHI,35:14,12,2,2,True
