Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,SAS,ORL,30:53,15,8,6,True
2021-10-22,SAS,DEN,34:53,15,6,9,True
2021-10-23,SAS,MIL,34:25,10,7,9,True
2021-10-26,SAS,LAL,40:10,21,15,12,True
2021-10-28,SAS,DAL,35:36,23,8,10,True
2021-10-30,SAS,MIL,36:40,23,9,5,True
2021-11-01,SAS,IND,26:16,16,6,2,True
2021-11-03,SAS,DAL,34:26,23,8,9,True
2021-11-05,SAS,ORL,36:00,20,7,11,True
2021-11-07,SAS,OKC,35:28,10,9,8,True
2021-11-10,SAS,SAC,32:00,26,7,6,True
2021-11-12,SAS,DAL,31:16,15,4,5,True
2021-11-14,SAS,LAL,38:12,22,10,10,True
2021-11-16,SAS,LAC,38:32,26,9,12,True
2021-11-18,SAS,MIN,32:01,7,4,8,True
2021-11-22,SAS,PHO,37:21,18,11,10,True
2021-11-24,SAS,ATL,33:47,22,11,8,True
2021-11-26,SAS,BOS,37:43,29,6,11,True
2021-11-29,SAS,WAS,34:07,22,8,10,True
2021-12-02,SAS,POR,34:30,15,13,7,True
2021-12-04,SAS,GSW,36:36,23,7,12,True
2021-12-06,SAS,PHO,33:49,17,14,6,True
2021-12-07,SAS,NYK,34:52,15,7,7,True
2021-12-09,SAS,DEN,34:59,20,9,8,True
2021-12-11,SAS,DEN,22:48,6,4,5,True
2021-12-12,SAS,NOP,33:44,10,10,12,True
2021-12-15,SAS,CHO,34:57,10,9,6,True
2021-12-17,SAS,UTA,36:35,16,11,11,True
2021-12-19,SAS,SAC,35:11,25,9,7,True
2021-12-20,SAS,LAC,31:13,24,13,11,True
2021-12-23,SAS,LAL,32:21,9,13,6,True
2021-12-26,SAS,DET,N/A,N/A,N/A,N/A,False
2021-12-27,SAS,UTA,N/A,N/A,N/A,N/A,False
2021-12-31,SAS,MEM,N/A,N/A,N/A,N/A,False
2022-01-01,SAS,DET,N/A,N/A,N/A,N/A,False
2022-01-04,SAS,TOR,N/A,N/A,N/A,N/A,False
2022-01-05,SAS,BOS,32:51,22,12,9,True
2022-01-07,SAS,PHI,35:35,27,9,5,True
2022-01-09,SAS,BRK,39:31,19,12,9,True
2022-01-10,SAS,NYK,30:22,24,5,4,True
2022-01-12,SAS,HOU,36:45,32,11,10,True
2022-01-14,SAS,CLE,35:37,30,8,14,True
2022-01-15,SAS,LAC,36:08,18,9,7,True
2022-01-17,SAS,PHO,31:46,18,4,8,True
2022-01-19,SAS,OKC,30:15,23,14,10,True
2022-01-21,SAS,BRK,37:10,25,10,12,True
2022-01-23,SAS,PHI,38:26,19,12,9,True
2022-01-25,SAS,HOU,24:10,19,10,5,True
2022-01-26,SAS,MEM,38:57,16,11,10,True
2022-01-28,SAS,CHI,36:35,29,12,9,True
2022-01-30,SAS,PHO,N/A,N/A,N/A,N/A,False
2022-02-01,SAS,GSW,37:33,27,9,9,True
2022-02-03,SAS,MIA,N/A,N/A,N/A,N/A,False
2022-02-04,SAS,HOU,35:11,19,11,7,True
2022-02-09,SAS,CLE,33:52,16,9,6,True
2022-02-11,SAS,ATL,31:49,32,15,10,True
2022-02-12,SAS,NOP,34:40,31,12,7,True
2022-02-14,SAS,CHI,35:57,19,11,6,True
2022-02-16,SAS,OKC,35:57,18,8,7,True
2022-02-25,SAS,WAS,42:59,31,14,13,True
2022-02-26,SAS,MIA,N/A,N/A,N/A,N/A,False
2022-02-28,SAS,MEM,34:30,21,8,3,True
2022-03-03,SAS,SAC,34:51,29,7,12,True
2022-03-05,SAS,CHO,34:52,25,10,9,True
2022-03-07,SAS,LAL,37:37,26,8,10,True
2022-03-09,SAS,TOR,34:08,25,12,9,True
2022-03-11,SAS,UTA,37:16,27,4,9,True
2022-03-12,SAS,IND,N/A,N/A,N/A,N/A,False
2022-03-14,SAS,MIN,35:40,30,12,4,True
2022-03-16,SAS,OKC,36:22,26,12,9,True
2022-03-18,SAS,NOP,34:25,17,5,9,True
2022-03-20,SAS,GSW,33:59,19,8,6,True
2022-03-23,SAS,POR,30:07,28,7,6,True
2022-03-26,SAS,NOP,40:22,15,13,11,True
2022-03-28,SAS,HOU,38:07,33,11,7,True
2022-03-30,SAS,MEM,38:24,33,3,13,True
2022-04-01,SAS,POR,N/A,N/A,N/A,N/A,False
2022-04-03,SAS,POR,N/A,N/A,N/A,N/A,False
2022-04-05,SAS,DEN,N/A,N/A,N/A,N/A,False
2022-04-07,SAS,MIN,N/A,N/A,N/A,N/A,False
2022-04-09,SAS,GSW,N/A,N/A,N/A,N/A,False
2022-04-10,SAS,DAL,31:50,17,7,1,True
