Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-11-04,NOP,ATL,N/A,N/A,N/A,N/A,False
2023-11-06,NOP,DEN,N/A,N/A,N/A,N/A,False
2023-11-08,NOP,MIN,27:59,11,1,9,True
2023-11-10,NOP,HOU,9:06,5,0,0,False
2023-11-12,NOP,DAL,25:46,11,1,6,False
2023-11-14,NOP,DAL,13:08,3,2,2,False
2023-11-17,NOP,DEN,0:13,0,0,0,False
2023-11-18,NOP,MIN,10:05,4,0,0,False
2023-11-20,NOP,SAC,11:31,4,1,5,False
2023-11-22,NOP,SAC,N/A,N/A,N/A,N/A,False
2023-11-24,NOP,LAC,N/A,N/A,N/A,N/A,False
2023-11-25,NOP,UTA,N/A,N/A,N/A,N/A,False
2023-11-27,NOP,UTA,N/A,N/A,N/A,N/A,False
2023-11-29,NOP,PHI,N/A,N/A,N/A,N/A,False
2023-12-01,NOP,SAS,N/A,N/A,N/A,N/A,False
2023-12-02,NOP,CHI,0:04,0,0,0,False
2023-12-04,NOP,SAC,N/A,N/A,N/A,N/A,False
2023-12-07,NOP,LAL,6:23,0,1,2,False
2023-12-11,NOP,MIN,N/A,N/A,N/A,N/A,False
2023-12-13,NOP,WAS,2:26,2,0,2,False
2023-12-15,NOP,CHO,N/A,N/A,N/A,N/A,False
2023-12-17,NOP,SAS,4:24,4,0,1,False
2023-12-19,NOP,MEM,N/A,N/A,N/A,N/A,False
2023-12-21,NOP,CLE,20:01,11,1,5,False
2023-12-23,NOP,HOU,21:47,4,2,3,False
2023-12-26,NOP,MEM,N/A,N/A,N/A,N/A,False
2023-12-28,NOP,UTA,N/A,N/A,N/A,N/A,False
2023-12-31,NOP,LAL,N/A,N/A,N/A,N/A,False
2024-01-02,NOP,BRK,4:01,0,0,5,False
2024-01-03,NOP,MIN,N/A,N/A,N/A,N/A,False
2024-01-05,NOP,LAC,N/A,N/A,N/A,N/A,False
2024-01-07,NOP,SAC,10:02,7,0,0,False
2024-01-10,NOP,GSW,6:03,0,0,1,False
2024-01-12,NOP,DEN,N/A,N/A,N/A,N/A,False
2024-01-13,NOP,DAL,22:08,2,0,4,False
2024-01-15,NOP,DAL,N/A,N/A,N/A,N/A,False
2024-01-17,NOP,CHO,N/A,N/A,N/A,N/A,False
2024-01-19,NOP,PHO,N/A,N/A,N/A,N/A,False
2024-01-23,NOP,UTA,N/A,N/A,N/A,N/A,False
2024-01-26,NOP,OKC,3:27,2,0,0,False
2024-01-27,NOP,MIL,6:48,8,0,3,False
2024-01-29,NOP,BOS,N/A,N/A,N/A,N/A,False
2024-01-31,NOP,HOU,N/A,N/A,N/A,N/A,False
2024-02-02,NOP,SAS,N/A,N/A,N/A,N/A,False
2024-02-05,NOP,TOR,N/A,N/A,N/A,N/A,False
2024-02-07,NOP,LAC,2:17,0,1,1,False
2024-02-09,NOP,LAL,2:33,0,0,0,False
2024-02-10,NOP,POR,N/A,N/A,N/A,N/A,False
2024-02-12,NOP,MEM,N/A,N/A,N/A,N/A,False
2024-02-14,NOP,WAS,N/A,N/A,N/A,N/A,False
2024-02-22,NOP,HOU,2:06,0,0,1,False
2024-02-23,NOP,MIA,23:47,5,1,6,False
2024-02-25,NOP,CHI,11:11,3,0,0,False
2024-02-27,NOP,NYK,2:39,6,0,1,False
2024-02-28,NOP,IND,N/A,N/A,N/A,N/A,False
2024-03-01,NOP,IND,3:50,2,0,0,False
2024-03-05,NOP,TOR,7:28,0,0,2,False
2024-03-08,NOP,PHI,N/A,N/A,N/A,N/A,False
2024-03-10,NOP,ATL,N/A,N/A,N/A,N/A,False
2024-03-13,NOP,CLE,4:38,0,2,1,False
2024-03-15,NOP,LAC,N/A,N/A,N/A,N/A,False
2024-03-16,NOP,POR,20:53,6,6,5,False
2024-03-19,NOP,BRK,N/A,N/A,N/A,N/A,False
2024-03-21,NOP,ORL,12:00,6,1,1,False
2024-03-22,NOP,MIA,3:10,2,0,0,False
2024-03-24,NOP,DET,1:24,0,0,0,False
2024-03-26,NOP,OKC,4:57,0,0,3,False
2024-03-28,NOP,MIL,N/A,N/A,N/A,N/A,False
2024-03-30,NOP,BOS,N/A,N/A,N/A,N/A,False
2024-04-01,NOP,PHO,N/A,N/A,N/A,N/A,False
2024-04-03,NOP,ORL,12:19,0,1,4,False
2024-04-05,NOP,SAS,N/A,N/A,N/A,N/A,False
2024-04-07,NOP,PHO,0:06,0,0,0,False
2024-04-09,NOP,POR,2:20,2,0,0,False
2024-04-11,NOP,SAC,1:56,0,0,0,False
2024-04-12,NOP,GSW,7:14,3,0,1,False
2024-04-14,NOP,LAL,2:04,2,0,2,False
