Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,NYK,BOS,22:28,9,5,4,False
2021-10-22,NYK,ORL,23:34,12,7,0,False
2021-10-24,NYK,ORL,28:38,23,3,5,False
2021-10-26,NYK,PHI,19:50,13,1,3,False
2021-10-28,NYK,CHI,18:35,12,1,4,False
2021-10-30,NYK,NOP,15:25,5,1,1,False
2021-11-01,NYK,TOR,19:36,4,1,1,False
2021-11-03,NYK,IND,19:47,13,3,2,False
2021-11-05,NYK,MIL,30:25,23,4,8,False
2021-11-07,NYK,CLE,28:58,17,5,1,True
2021-11-08,NYK,PHI,20:44,6,2,4,False
2021-11-10,NYK,MIL,29:47,22,7,3,False
2021-11-12,NYK,CHO,17:24,8,2,1,False
2021-11-15,NYK,IND,24:33,14,7,5,False
2021-11-17,NYK,ORL,19:01,10,1,2,False
2021-11-20,NYK,HOU,20:56,4,4,1,False
2021-11-21,NYK,CHI,30:02,9,3,2,False
2021-11-23,NYK,LAL,N/A,N/A,N/A,N/A,False
2021-11-26,NYK,PHO,N/A,N/A,N/A,N/A,False
2021-11-27,NYK,ATL,N/A,N/A,N/A,N/A,False
2021-11-30,NYK,BRK,34:41,16,9,5,False
2021-12-02,NYK,CHI,26:19,16,6,2,False
2021-12-04,NYK,DEN,23:50,11,4,4,False
2021-12-07,NYK,SAS,21:40,12,2,2,False
2021-12-08,NYK,IND,23:37,8,7,5,False
2021-12-10,NYK,TOR,33:01,11,4,6,False
2021-12-12,NYK,MIL,36:31,18,7,2,True
2021-12-14,NYK,GSW,34:17,15,6,4,True
2021-12-16,NYK,HOU,12:11,0,1,1,True
2021-12-18,NYK,BOS,N/A,N/A,N/A,N/A,False
2021-12-21,NYK,DET,N/A,N/A,N/A,N/A,False
2021-12-23,NYK,WAS,N/A,N/A,N/A,N/A,False
2021-12-25,NYK,ATL,N/A,N/A,N/A,N/A,False
2021-12-28,NYK,MIN,N/A,N/A,N/A,N/A,False
2021-12-29,NYK,DET,N/A,N/A,N/A,N/A,False
2021-12-31,NYK,OKC,N/A,N/A,N/A,N/A,False
2022-01-02,NYK,TOR,N/A,N/A,N/A,N/A,False
2022-01-04,NYK,IND,N/A,N/A,N/A,N/A,False
2022-01-06,NYK,BOS,N/A,N/A,N/A,N/A,False
2022-01-08,NYK,BOS,N/A,N/A,N/A,N/A,False
2022-01-10,NYK,SAS,N/A,N/A,N/A,N/A,False
2022-01-12,NYK,DAL,N/A,N/A,N/A,N/A,False
2022-01-15,NYK,ATL,N/A,N/A,N/A,N/A,False
2022-01-17,NYK,CHO,N/A,N/A,N/A,N/A,False
2022-01-18,NYK,MIN,N/A,N/A,N/A,N/A,False
2022-01-20,NYK,NOP,N/A,N/A,N/A,N/A,False
2022-01-23,NYK,LAC,N/A,N/A,N/A,N/A,False
2022-01-24,NYK,CLE,N/A,N/A,N/A,N/A,False
2022-01-26,NYK,MIA,N/A,N/A,N/A,N/A,False
2022-01-28,NYK,MIL,N/A,N/A,N/A,N/A,False
2022-01-31,NYK,SAC,N/A,N/A,N/A,N/A,False
2022-02-02,NYK,MEM,N/A,N/A,N/A,N/A,False
2022-02-05,NYK,LAL,N/A,N/A,N/A,N/A,False
2022-02-07,NYK,UTA,N/A,N/A,N/A,N/A,False
2022-02-08,NYK,DEN,N/A,N/A,N/A,N/A,False
2022-02-10,NYK,GSW,N/A,N/A,N/A,N/A,False
2022-02-12,NYK,POR,N/A,N/A,N/A,N/A,False
2022-02-14,NYK,OKC,N/A,N/A,N/A,N/A,False
2022-02-16,NYK,BRK,N/A,N/A,N/A,N/A,False
2022-02-25,NYK,MIA,N/A,N/A,N/A,N/A,False
2022-02-27,NYK,PHI,N/A,N/A,N/A,N/A,False
2022-03-02,NYK,PHI,N/A,N/A,N/A,N/A,False
2022-03-04,NYK,PHO,N/A,N/A,N/A,N/A,False
2022-03-06,NYK,LAC,N/A,N/A,N/A,N/A,False
2022-03-07,NYK,SAC,N/A,N/A,N/A,N/A,False
2022-03-09,NYK,DAL,N/A,N/A,N/A,N/A,False
2022-03-11,NYK,MEM,N/A,N/A,N/A,N/A,False
2022-03-13,NYK,BRK,N/A,N/A,N/A,N/A,False
2022-03-16,NYK,POR,N/A,N/A,N/A,N/A,False
2022-03-18,NYK,WAS,N/A,N/A,N/A,N/A,False
2022-03-20,NYK,UTA,N/A,N/A,N/A,N/A,False
2022-03-22,NYK,ATL,N/A,N/A,N/A,N/A,False
2022-03-23,NYK,CHO,N/A,N/A,N/A,N/A,False
2022-03-25,NYK,MIA,N/A,N/A,N/A,N/A,False
2022-03-27,NYK,DET,N/A,N/A,N/A,N/A,False
2022-03-28,NYK,CHI,N/A,N/A,N/A,N/A,False
2022-03-30,NYK,CHO,N/A,N/A,N/A,N/A,False
2022-04-02,NYK,CLE,N/A,N/A,N/A,N/A,False
2022-04-03,NYK,ORL,N/A,N/A,N/A,N/A,False
2022-04-06,NYK,BRK,N/A,N/A,N/A,N/A,False
2022-04-08,NYK,WAS,N/A,N/A,N/A,N/A,False
2022-04-10,NYK,TOR,N/A,N/A,N/A,N/A,False
