Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,ORL,DET,25:14,21,3,1,True
2022-10-21,ORL,ATL,15:50,3,1,2,True
2022-10-22,ORL,BOS,N/A,N/A,N/A,N/A,False
2022-10-24,ORL,NYK,N/A,N/A,N/A,N/A,False
2022-10-26,ORL,CLE,N/A,N/A,N/A,N/A,False
2022-10-28,ORL,CHO,N/A,N/A,N/A,N/A,False
2022-10-30,ORL,DAL,N/A,N/A,N/A,N/A,False
2022-11-01,ORL,OKC,28:26,9,4,2,False
2022-11-03,ORL,GSW,36:13,26,9,1,True
2022-11-05,ORL,SAC,34:36,6,7,1,True
2022-11-07,ORL,HOU,32:51,11,6,5,True
2022-11-09,ORL,DAL,25:38,12,4,7,True
2022-11-11,ORL,PHO,31:37,16,5,3,True
2022-11-14,ORL,CHO,30:05,2,7,5,True
2022-11-16,ORL,MIN,32:39,23,6,6,True
2022-11-18,ORL,CHI,35:18,20,8,5,True
2022-11-19,ORL,IND,33:17,12,8,5,True
2022-11-21,ORL,IND,23:54,12,4,2,True
2022-11-25,ORL,PHI,18:52,0,4,1,True
2022-11-27,ORL,PHI,N/A,N/A,N/A,N/A,False
2022-11-28,ORL,BRK,N/A,N/A,N/A,N/A,False
2022-11-30,ORL,ATL,N/A,N/A,N/A,N/A,False
2022-12-02,ORL,CLE,N/A,N/A,N/A,N/A,False
2022-12-03,ORL,TOR,N/A,N/A,N/A,N/A,False
2022-12-05,ORL,MIL,N/A,N/A,N/A,N/A,False
2022-12-07,ORL,LAC,N/A,N/A,N/A,N/A,False
2022-12-09,ORL,TOR,N/A,N/A,N/A,N/A,False
2022-12-11,ORL,TOR,N/A,N/A,N/A,N/A,False
2022-12-14,ORL,ATL,N/A,N/A,N/A,N/A,False
2022-12-16,ORL,BOS,N/A,N/A,N/A,N/A,False
2022-12-18,ORL,BOS,N/A,N/A,N/A,N/A,False
2022-12-19,ORL,ATL,N/A,N/A,N/A,N/A,False
2022-12-21,ORL,HOU,N/A,N/A,N/A,N/A,False
2022-12-23,ORL,SAS,N/A,N/A,N/A,N/A,False
2022-12-27,ORL,LAL,N/A,N/A,N/A,N/A,False
2022-12-28,ORL,DET,N/A,N/A,N/A,N/A,False
2022-12-30,ORL,WAS,N/A,N/A,N/A,N/A,False
2023-01-04,ORL,OKC,N/A,N/A,N/A,N/A,False
2023-01-05,ORL,MEM,5:24,2,0,0,False
2023-01-07,ORL,GSW,15:47,9,0,3,False
2023-01-09,ORL,SAC,24:09,14,4,4,False
2023-01-10,ORL,POR,11:23,2,2,3,False
2023-01-13,ORL,UTA,13:50,0,2,3,False
2023-01-15,ORL,DEN,13:17,7,1,0,False
2023-01-20,ORL,NOP,14:51,6,1,4,False
2023-01-21,ORL,WAS,12:37,3,1,0,False
2023-01-23,ORL,BOS,16:01,3,2,0,False
2023-01-25,ORL,IND,16:35,8,2,1,False
2023-01-27,ORL,MIA,17:11,3,5,2,False
2023-01-28,ORL,CHI,26:28,11,5,4,False
2023-01-30,ORL,PHI,20:25,4,1,4,False
2023-02-01,ORL,PHI,26:15,11,3,4,False
2023-02-03,ORL,MIN,15:51,10,3,2,False
2023-02-05,ORL,CHO,N/A,N/A,N/A,N/A,False
2023-02-07,ORL,NYK,20:36,3,1,3,False
2023-02-09,ORL,DEN,26:34,11,1,4,True
2023-02-11,ORL,MIA,27:54,14,2,0,False
2023-02-13,ORL,CHI,22:35,3,1,2,False
2023-02-14,ORL,TOR,28:40,24,4,2,False
2023-02-23,ORL,DET,21:02,2,1,3,False
2023-02-25,ORL,IND,25:39,14,2,5,False
2023-02-27,ORL,NOP,23:12,9,3,5,False
2023-03-01,ORL,MIL,24:42,6,2,5,False
2023-03-03,ORL,CHO,30:20,15,1,5,False
2023-03-05,ORL,POR,35:15,15,2,4,True
2023-03-07,ORL,MIL,25:45,3,2,2,True
2023-03-09,ORL,UTA,29:58,17,6,3,False
2023-03-11,ORL,MIA,27:13,16,4,5,False
2023-03-14,ORL,SAS,22:05,12,1,1,False
2023-03-16,ORL,PHO,21:33,5,1,4,False
2023-03-18,ORL,LAC,N/A,N/A,N/A,N/A,False
2023-03-19,ORL,LAL,N/A,N/A,N/A,N/A,False
2023-03-21,ORL,WAS,N/A,N/A,N/A,N/A,False
2023-03-23,ORL,NYK,N/A,N/A,N/A,N/A,False
2023-03-26,ORL,BRK,23:32,16,1,2,False
2023-03-28,ORL,MEM,23:53,2,1,3,False
2023-03-31,ORL,WAS,23:28,8,2,3,False
2023-04-02,ORL,DET,25:31,18,2,2,False
2023-04-04,ORL,CLE,24:04,8,1,1,False
2023-04-06,ORL,CLE,23:49,22,4,5,True
2023-04-07,ORL,BRK,18:40,7,0,5,True
2023-04-09,ORL,MIA,15:17,8,2,7,True
