Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,NOP,BRK,N/A,N/A,N/A,N/A,False
2022-10-21,NOP,CHO,N/A,N/A,N/A,N/A,False
2022-10-23,NOP,UTA,N/A,N/A,N/A,N/A,False
2022-10-25,NOP,DAL,N/A,N/A,N/A,N/A,False
2022-10-28,NOP,PHO,17:04,6,1,1,False
2022-10-30,NOP,LAC,3:34,0,0,0,False
2022-11-02,NOP,LAL,N/A,N/A,N/A,N/A,False
2022-11-04,NOP,GSW,N/A,N/A,N/A,N/A,False
2022-11-05,NOP,ATL,N/A,N/A,N/A,N/A,False
2022-11-07,NOP,IND,N/A,N/A,N/A,N/A,False
2022-11-09,NOP,CHI,N/A,N/A,N/A,N/A,False
2022-11-10,NOP,POR,N/A,N/A,N/A,N/A,False
2022-11-12,NOP,HOU,N/A,N/A,N/A,N/A,False
2022-11-15,NOP,MEM,N/A,N/A,N/A,N/A,False
2022-11-16,NOP,CHI,N/A,N/A,N/A,N/A,False
2022-11-18,NOP,BOS,N/A,N/A,N/A,N/A,False
2022-11-21,NOP,GSW,7:22,2,1,0,False
2022-11-23,NOP,SAS,5:21,3,1,1,False
2022-11-25,NOP,MEM,12:00,6,0,0,False
2022-11-28,NOP,OKC,11:05,4,0,3,False
2022-11-30,NOP,TOR,10:49,5,0,1,False
2022-12-02,NOP,SAS,2:07,0,0,0,False
2022-12-04,NOP,DEN,0:58,0,0,0,False
2022-12-07,NOP,DET,N/A,N/A,N/A,N/A,False
2022-12-09,NOP,PHO,N/A,N/A,N/A,N/A,False
2022-12-11,NOP,PHO,N/A,N/A,N/A,N/A,False
2022-12-13,NOP,UTA,6:08,3,1,2,False
2022-12-15,NOP,UTA,N/A,N/A,N/A,N/A,False
2022-12-17,NOP,PHO,N/A,N/A,N/A,N/A,False
2022-12-19,NOP,MIL,N/A,N/A,N/A,N/A,False
2022-12-22,NOP,SAS,1:59,0,0,0,False
2022-12-23,NOP,OKC,N/A,N/A,N/A,N/A,False
2022-12-26,NOP,IND,18:55,0,1,1,False
2022-12-28,NOP,MIN,N/A,N/A,N/A,N/A,False
2022-12-30,NOP,PHI,N/A,N/A,N/A,N/A,False
2022-12-31,NOP,MEM,N/A,N/A,N/A,N/A,False
2023-01-02,NOP,PHI,N/A,N/A,N/A,N/A,False
2023-01-04,NOP,HOU,N/A,N/A,N/A,N/A,False
2023-01-06,NOP,BRK,N/A,N/A,N/A,N/A,False
2023-01-07,NOP,DAL,8:58,5,2,1,False
2023-01-09,NOP,WAS,2:32,3,0,0,False
2023-01-11,NOP,BOS,N/A,N/A,N/A,N/A,False
2023-01-13,NOP,DET,N/A,N/A,N/A,N/A,False
2023-01-16,NOP,CLE,N/A,N/A,N/A,N/A,False
2023-01-18,NOP,MIA,5:40,0,0,1,False
2023-01-20,NOP,ORL,N/A,N/A,N/A,N/A,False
2023-01-22,NOP,MIA,N/A,N/A,N/A,N/A,False
2023-01-24,NOP,DEN,6:41,2,2,0,False
2023-01-25,NOP,MIN,N/A,N/A,N/A,N/A,False
2023-01-28,NOP,WAS,N/A,N/A,N/A,N/A,False
2023-01-29,NOP,MIL,N/A,N/A,N/A,N/A,False
2023-01-31,NOP,DEN,N/A,N/A,N/A,N/A,False
2023-02-02,NOP,DAL,N/A,N/A,N/A,N/A,False
2023-02-04,NOP,LAL,N/A,N/A,N/A,N/A,False
2023-02-05,NOP,SAC,4:41,3,1,0,False
2023-02-07,NOP,ATL,N/A,N/A,N/A,N/A,False
2023-02-10,NOP,CLE,3:13,0,0,0,False
2023-02-13,NOP,OKC,N/A,N/A,N/A,N/A,False
2023-02-15,NOP,LAL,N/A,N/A,N/A,N/A,False
2023-02-23,NOP,TOR,N/A,N/A,N/A,N/A,False
2023-02-25,NOP,NYK,4:07,0,0,1,False
2023-02-27,NOP,ORL,N/A,N/A,N/A,N/A,False
2023-03-01,NOP,POR,N/A,N/A,N/A,N/A,False
2023-03-03,NOP,GSW,N/A,N/A,N/A,N/A,False
2023-03-06,NOP,SAC,N/A,N/A,N/A,N/A,False
2023-03-08,NOP,DAL,N/A,N/A,N/A,N/A,False
2023-03-11,NOP,OKC,N/A,N/A,N/A,N/A,False
2023-03-12,NOP,POR,8:44,0,1,2,False
2023-03-14,NOP,LAL,N/A,N/A,N/A,N/A,False
2023-03-17,NOP,HOU,N/A,N/A,N/A,N/A,False
2023-03-19,NOP,HOU,N/A,N/A,N/A,N/A,False
2023-03-21,NOP,SAS,4:48,0,1,0,False
2023-03-23,NOP,CHO,2:12,3,0,0,False
2023-03-25,NOP,LAC,2:53,0,0,0,False
2023-03-27,NOP,POR,6:57,5,1,2,False
2023-03-28,NOP,GSW,N/A,N/A,N/A,N/A,False
2023-03-30,NOP,DEN,N/A,N/A,N/A,N/A,False
2023-04-01,NOP,LAC,N/A,N/A,N/A,N/A,False
2023-04-04,NOP,SAC,3:01,0,0,1,False
2023-04-05,NOP,MEM,N/A,N/A,N/A,N/A,False
2023-04-07,NOP,NYK,N/A,N/A,N/A,N/A,False
2023-04-09,NOP,MIN,N/A,N/A,N/A,N/A,False
