Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,ORL,HOU,15:21,2,0,4,False
2023-10-27,ORL,POR,21:55,17,1,9,False
2023-10-30,ORL,LAL,11:29,5,0,1,False
2023-10-31,ORL,LAC,14:22,13,1,1,False
2023-11-02,ORL,UTA,18:56,10,1,1,False
2023-11-04,ORL,LAL,18:59,13,2,8,False
2023-11-06,ORL,DAL,26:04,19,0,5,False
2023-11-09,ORL,ATL,20:02,13,0,7,False
2023-11-11,ORL,MIL,21:18,19,1,4,False
2023-11-14,ORL,BRK,21:19,11,4,6,False
2023-11-15,ORL,CHI,20:23,5,1,4,False
2023-11-17,ORL,CHI,23:28,10,3,4,False
2023-11-19,ORL,IND,20:32,16,2,3,False
2023-11-21,ORL,TOR,15:29,10,2,4,False
2023-11-22,ORL,DEN,15:17,12,1,3,False
2023-11-24,ORL,BOS,23:45,27,0,3,False
2023-11-26,ORL,CHO,17:50,11,2,7,False
2023-11-29,ORL,WAS,18:30,11,1,4,False
2023-12-01,ORL,WAS,22:53,18,0,6,False
2023-12-02,ORL,BRK,21:34,18,2,2,False
2023-12-06,ORL,CLE,21:07,11,0,4,False
2023-12-08,ORL,DET,16:13,4,2,5,False
2023-12-11,ORL,CLE,17:40,8,0,2,False
2023-12-15,ORL,BOS,13:24,2,2,1,False
2023-12-17,ORL,BOS,12:28,6,0,2,False
2023-12-20,ORL,MIA,17:32,11,1,7,False
2023-12-21,ORL,MIL,26:35,21,2,8,False
2023-12-23,ORL,IND,20:02,9,3,3,False
2023-12-26,ORL,WAS,15:10,11,1,5,False
2023-12-27,ORL,PHI,15:47,2,1,2,False
2023-12-29,ORL,NYK,17:34,7,1,11,False
2023-12-31,ORL,PHO,9:30,5,1,4,False
2024-01-02,ORL,GSW,15:32,12,1,5,False
2024-01-03,ORL,SAC,12:49,2,2,3,False
2024-01-05,ORL,DEN,37:49,19,3,11,True
2024-01-07,ORL,ATL,25:25,15,0,7,False
2024-01-09,ORL,MIN,31:27,21,2,8,False
2024-01-12,ORL,MIA,28:36,19,4,5,False
2024-01-13,ORL,OKC,18:13,4,2,4,False
2024-01-15,ORL,NYK,N/A,N/A,N/A,N/A,False
2024-01-17,ORL,ATL,N/A,N/A,N/A,N/A,False
2024-01-19,ORL,PHI,6:23,4,2,0,False
2024-01-21,ORL,MIA,10:52,8,0,4,False
2024-01-22,ORL,CLE,18:28,15,1,4,False
2024-01-26,ORL,MEM,12:36,12,0,3,False
2024-01-28,ORL,PHO,22:45,16,1,12,False
2024-01-29,ORL,DAL,24:33,16,1,3,False
2024-01-31,ORL,SAS,15:44,10,1,4,False
2024-02-02,ORL,MIN,11:02,8,0,3,False
2024-02-04,ORL,DET,20:26,10,4,5,False
2024-02-06,ORL,MIA,16:19,3,0,3,False
2024-02-08,ORL,SAS,16:13,11,1,2,False
2024-02-10,ORL,CHI,8:45,7,0,1,False
2024-02-13,ORL,OKC,14:08,11,0,5,False
2024-02-14,ORL,NYK,13:16,10,1,2,False
2024-02-22,ORL,CLE,24:43,22,0,7,False
2024-02-24,ORL,DET,17:23,14,1,7,False
2024-02-25,ORL,ATL,12:42,2,1,5,False
2024-02-27,ORL,BRK,18:42,16,2,5,False
2024-02-29,ORL,UTA,26:00,14,1,10,False
2024-03-03,ORL,DET,13:37,6,2,3,False
2024-03-05,ORL,CHO,18:15,11,2,4,False
2024-03-06,ORL,WAS,21:12,16,0,6,False
2024-03-08,ORL,NYK,12:03,4,1,1,False
2024-03-10,ORL,IND,15:53,9,2,6,False
2024-03-13,ORL,BRK,11:08,2,1,0,False
2024-03-15,ORL,TOR,12:17,7,0,3,False
2024-03-17,ORL,TOR,17:48,14,1,4,False
2024-03-19,ORL,CHO,14:06,13,2,5,False
2024-03-21,ORL,NOP,14:15,14,0,1,False
2024-03-23,ORL,SAC,13:06,4,2,5,False
2024-03-27,ORL,GSW,20:29,6,7,3,False
2024-03-29,ORL,LAC,18:16,12,2,9,False
2024-03-30,ORL,MEM,12:23,4,0,1,False
2024-04-01,ORL,POR,11:51,8,0,1,False
2024-04-03,ORL,NOP,14:56,18,1,3,False
2024-04-05,ORL,CHO,10:44,8,0,4,False
2024-04-07,ORL,CHI,15:29,8,0,4,False
2024-04-09,ORL,HOU,21:57,12,1,5,False
2024-04-10,ORL,MIL,20:46,7,0,4,False
2024-04-12,ORL,PHI,18:04,17,2,6,False
2024-04-14,ORL,MIL,12:44,10,1,1,False
