Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,SAS,CHO,N/A,N/A,N/A,N/A,False
2022-10-21,SAS,IND,N/A,N/A,N/A,N/A,False
2022-10-22,SAS,PHI,N/A,N/A,N/A,N/A,False
2022-10-24,SAS,MIN,N/A,N/A,N/A,N/A,False
2022-10-26,SAS,MIN,N/A,N/A,N/A,N/A,False
2022-10-28,SAS,CHI,N/A,N/A,N/A,N/A,False
2022-10-30,SAS,MIN,N/A,N/A,N/A,N/A,False
2022-11-02,SAS,TOR,9:52,2,3,1,False
2022-11-04,SAS,LAC,N/A,N/A,N/A,N/A,False
2022-11-05,SAS,DEN,N/A,N/A,N/A,N/A,False
2022-11-07,SAS,DEN,N/A,N/A,N/A,N/A,False
2022-11-09,SAS,MEM,N/A,N/A,N/A,N/A,False
2022-11-11,SAS,MIL,N/A,N/A,N/A,N/A,False
2022-11-14,SAS,GSW,N/A,N/A,N/A,N/A,False
2022-11-15,SAS,POR,N/A,N/A,N/A,N/A,False
2022-11-17,SAS,SAC,N/A,N/A,N/A,N/A,False
2022-11-19,SAS,LAC,6:49,6,0,1,False
2022-11-20,SAS,LAL,5:39,0,0,1,False
2022-11-23,SAS,NOP,N/A,N/A,N/A,N/A,False
2022-11-25,SAS,LAL,N/A,N/A,N/A,N/A,False
2022-11-26,SAS,LAL,N/A,N/A,N/A,N/A,False
2022-11-30,SAS,OKC,N/A,N/A,N/A,N/A,False
2022-12-02,SAS,NOP,N/A,N/A,N/A,N/A,False
2022-12-04,SAS,PHO,N/A,N/A,N/A,N/A,False
2022-12-08,SAS,HOU,N/A,N/A,N/A,N/A,False
2022-12-10,SAS,MIA,N/A,N/A,N/A,N/A,False
2022-12-12,SAS,CLE,N/A,N/A,N/A,N/A,False
2022-12-14,SAS,POR,3:14,2,0,0,False
2022-12-17,SAS,MIA,N/A,N/A,N/A,N/A,False
2022-12-19,SAS,HOU,N/A,N/A,N/A,N/A,False
2022-12-22,SAS,NOP,N/A,N/A,N/A,N/A,False
2022-12-23,SAS,ORL,N/A,N/A,N/A,N/A,False
2022-12-26,SAS,UTA,N/A,N/A,N/A,N/A,False
2022-12-27,SAS,OKC,N/A,N/A,N/A,N/A,False
2022-12-29,SAS,NYK,N/A,N/A,N/A,N/A,False
2022-12-31,SAS,DAL,N/A,N/A,N/A,N/A,False
2023-01-02,SAS,BRK,N/A,N/A,N/A,N/A,False
2023-01-04,SAS,NYK,N/A,N/A,N/A,N/A,False
2023-01-06,SAS,DET,N/A,N/A,N/A,N/A,False
2023-01-07,SAS,BOS,N/A,N/A,N/A,N/A,False
2023-01-09,SAS,MEM,N/A,N/A,N/A,N/A,False
2023-01-11,SAS,MEM,N/A,N/A,N/A,N/A,False
2023-01-13,SAS,GSW,N/A,N/A,N/A,N/A,False
2023-01-15,SAS,SAC,N/A,N/A,N/A,N/A,False
2023-01-17,SAS,BRK,N/A,N/A,N/A,N/A,False
2023-01-20,SAS,LAC,N/A,N/A,N/A,N/A,False
2023-01-23,SAS,POR,N/A,N/A,N/A,N/A,False
2023-01-25,SAS,LAL,N/A,N/A,N/A,N/A,False
2023-01-26,SAS,LAC,N/A,N/A,N/A,N/A,False
2023-01-28,SAS,PHO,N/A,N/A,N/A,N/A,False
2023-01-30,SAS,WAS,N/A,N/A,N/A,N/A,False
2023-02-01,SAS,SAC,N/A,N/A,N/A,N/A,False
2023-02-03,SAS,PHI,7:09,4,1,3,False
2023-02-06,SAS,CHI,5:33,4,0,1,False
2023-02-08,SAS,TOR,N/A,N/A,N/A,N/A,False
2023-02-10,SAS,DET,14:51,3,1,6,False
2023-02-11,SAS,ATL,18:56,8,1,3,False
2023-02-13,SAS,CLE,17:14,4,1,4,False
2023-02-15,SAS,CHO,5:53,2,0,3,False
2023-02-23,SAS,DAL,16:08,2,0,5,False
2023-02-25,SAS,UTA,N/A,N/A,N/A,N/A,False
2023-02-28,SAS,UTA,N/A,N/A,N/A,N/A,False
2023-03-02,SAS,IND,4:14,0,1,1,False
2023-03-04,SAS,HOU,15:04,0,0,4,False
2023-03-05,SAS,HOU,23:13,7,1,4,False
2023-03-10,SAS,DEN,N/A,N/A,N/A,N/A,False
2023-03-12,SAS,OKC,N/A,N/A,N/A,N/A,False
2023-03-14,SAS,ORL,11:07,4,0,2,False
2023-03-15,SAS,DAL,21:33,6,1,4,False
2023-03-17,SAS,MEM,12:14,0,0,3,False
2023-03-19,SAS,ATL,N/A,N/A,N/A,N/A,False
2023-03-21,SAS,NOP,19:21,0,1,3,False
2023-03-22,SAS,MIL,11:38,2,0,2,False
2023-03-24,SAS,WAS,19:57,4,1,4,False
2023-03-26,SAS,BOS,6:50,0,0,0,False
2023-03-29,SAS,UTA,12:20,4,0,4,False
2023-03-31,SAS,GSW,11:02,2,0,2,False
2023-04-02,SAS,SAC,29:51,12,5,10,False
2023-04-04,SAS,PHO,20:37,2,2,5,False
2023-04-06,SAS,POR,15:21,5,1,2,False
2023-04-08,SAS,MIN,27:54,4,3,5,False
2023-04-09,SAS,DAL,34:00,21,1,19,False
