Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,TOR,WAS,32:32,12,1,9,True
2021-10-22,TOR,BOS,35:29,25,2,13,True
2021-10-23,TOR,DAL,29:34,17,2,8,True
2021-10-25,TOR,CHI,39:01,13,0,4,True
2021-10-27,TOR,IND,36:07,18,7,7,True
2021-10-29,TOR,ORL,36:47,21,1,9,True
2021-10-30,TOR,IND,34:44,21,1,12,True
2021-11-01,TOR,NYK,N/A,N/A,N/A,N/A,False
2021-11-03,TOR,WAS,N/A,N/A,N/A,N/A,False
2021-11-05,TOR,CLE,38:21,14,4,9,True
2021-11-07,TOR,BRK,30:36,8,4,7,True
2021-11-10,TOR,BOS,31:54,21,4,7,True
2021-11-11,TOR,PHI,39:01,13,4,9,True
2021-11-13,TOR,DET,38:07,11,4,6,True
2021-11-15,TOR,POR,39:30,18,2,8,True
2021-11-18,TOR,UTA,35:08,10,6,6,True
2021-11-19,TOR,SAC,33:09,2,6,7,True
2021-11-21,TOR,GSW,28:17,10,5,13,True
2021-11-24,TOR,MEM,39:05,17,3,9,True
2021-11-26,TOR,IND,35:29,17,4,7,True
2021-11-28,TOR,BOS,37:17,21,3,7,True
2021-11-30,TOR,MEM,37:50,19,3,7,True
2021-12-02,TOR,MIL,38:48,13,4,7,True
2021-12-05,TOR,WAS,36:54,11,1,6,True
2021-12-08,TOR,OKC,38:53,18,5,8,True
2021-12-10,TOR,NYK,41:16,12,3,15,True
2021-12-13,TOR,SAC,32:01,16,2,3,True
2021-12-14,TOR,BRK,44:04,23,5,12,True
2021-12-18,TOR,GSW,32:47,21,6,8,True
2021-12-26,TOR,CLE,N/A,N/A,N/A,N/A,False
2021-12-28,TOR,PHI,N/A,N/A,N/A,N/A,False
2021-12-31,TOR,LAC,N/A,N/A,N/A,N/A,False
2022-01-02,TOR,NYK,29:36,13,0,4,True
2022-01-04,TOR,SAS,32:49,11,8,9,True
2022-01-05,TOR,MIL,37:51,6,4,6,True
2022-01-07,TOR,UTA,30:42,11,6,9,True
2022-01-09,TOR,NOP,33:19,7,2,4,True
2022-01-11,TOR,PHO,N/A,N/A,N/A,N/A,False
2022-01-14,TOR,DET,33:04,8,2,7,True
2022-01-15,TOR,MIL,N/A,N/A,N/A,N/A,False
2022-01-17,TOR,MIA,39:15,16,6,8,True
2022-01-19,TOR,DAL,28:21,11,0,5,True
2022-01-21,TOR,WAS,39:43,27,1,8,True
2022-01-23,TOR,POR,33:48,9,6,6,True
2022-01-25,TOR,CHO,N/A,N/A,N/A,N/A,False
2022-01-26,TOR,CHI,37:43,16,7,5,True
2022-01-29,TOR,MIA,56:20,22,3,9,True
2022-01-31,TOR,ATL,35:49,7,1,6,True
2022-02-01,TOR,MIA,41:37,11,2,9,True
2022-02-03,TOR,CHI,36:57,21,2,8,True
2022-02-04,TOR,ATL,38:21,16,4,9,True
2022-02-07,TOR,CHO,30:59,15,3,8,True
2022-02-09,TOR,OKC,31:05,17,4,2,True
2022-02-10,TOR,HOU,33:29,9,6,7,True
2022-02-12,TOR,DEN,30:12,17,1,5,True
2022-02-14,TOR,NOP,20:21,5,0,4,True
2022-02-16,TOR,MIN,31:32,9,4,4,True
2022-02-25,TOR,CHO,31:57,28,1,5,True
2022-02-26,TOR,ATL,21:07,6,0,4,True
2022-02-28,TOR,BRK,34:07,28,4,16,True
2022-03-01,TOR,BRK,41:07,18,4,10,True
2022-03-03,TOR,DET,39:55,21,2,10,True
2022-03-04,TOR,ORL,37:30,10,4,5,True
2022-03-06,TOR,CLE,41:43,19,6,12,True
2022-03-09,TOR,SAS,34:22,20,1,8,True
2022-03-11,TOR,PHO,36:35,15,1,6,True
2022-03-12,TOR,DEN,39:06,25,10,8,True
2022-03-14,TOR,LAL,39:53,21,5,9,True
2022-03-16,TOR,LAC,40:21,15,1,4,True
2022-03-18,TOR,LAL,42:21,31,6,17,True
2022-03-20,TOR,PHI,42:08,13,4,6,True
2022-03-21,TOR,CHI,35:29,8,5,6,True
2022-03-24,TOR,CLE,35:12,11,4,6,True
2022-03-26,TOR,IND,31:25,19,7,6,True
2022-03-28,TOR,BOS,30:11,10,4,4,True
2022-03-30,TOR,MIN,24:53,17,4,5,True
2022-04-01,TOR,ORL,36:15,19,7,8,True
2022-04-03,TOR,MIA,34:54,19,2,7,True
2022-04-05,TOR,ATL,35:24,19,1,14,True
2022-04-07,TOR,PHI,40:36,13,2,10,True
2022-04-08,TOR,HOU,33:40,16,2,4,True
2022-04-10,TOR,NYK,21:31,7,5,2,True
