Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-24,PHO,GSW,N/A,N/A,N/A,N/A,False
2023-10-26,PHO,LAL,N/A,N/A,N/A,N/A,False
2023-10-28,PHO,UTA,6:02,2,1,1,False
2023-10-31,PHO,SAS,N/A,N/A,N/A,N/A,False
2023-11-02,PHO,SAS,17:45,13,0,2,False
2023-11-04,PHO,PHI,23:46,8,2,3,True
2023-11-05,PHO,DET,19:53,0,1,6,True
2023-11-08,PHO,CHI,31:16,7,3,5,True
2023-11-10,PHO,LAL,29:47,11,0,5,True
2023-11-12,PHO,OKC,26:45,6,2,8,False
2023-11-15,PHO,MIN,12:38,2,1,2,False
2023-11-17,PHO,UTA,19:32,7,0,3,False
2023-11-19,PHO,UTA,23:16,6,1,1,False
2023-11-21,PHO,POR,10:05,1,0,1,False
2023-11-22,PHO,GSW,12:30,3,0,3,False
2023-11-24,PHO,MEM,23:38,6,1,4,True
2023-11-26,PHO,NYK,27:38,9,2,7,True
2023-11-29,PHO,TOR,12:58,9,0,3,False
2023-12-01,PHO,DEN,16:55,4,1,1,True
2023-12-02,PHO,MEM,17:47,8,0,3,False
2023-12-05,PHO,LAL,6:12,2,1,1,False
2023-12-08,PHO,SAC,17:11,5,2,4,True
2023-12-12,PHO,GSW,5:32,0,0,0,False
2023-12-13,PHO,BRK,11:41,2,1,2,False
2023-12-15,PHO,NYK,13:41,4,0,3,False
2023-12-17,PHO,WAS,N/A,N/A,N/A,N/A,False
2023-12-19,PHO,POR,N/A,N/A,N/A,N/A,False
2023-12-22,PHO,SAC,N/A,N/A,N/A,N/A,False
2023-12-25,PHO,DAL,N/A,N/A,N/A,N/A,False
2023-12-27,PHO,HOU,N/A,N/A,N/A,N/A,False
2023-12-29,PHO,CHO,N/A,N/A,N/A,N/A,False
2023-12-31,PHO,ORL,N/A,N/A,N/A,N/A,False
2024-01-01,PHO,POR,16:44,3,1,3,False
2024-01-03,PHO,LAC,21:02,5,3,0,False
2024-01-05,PHO,MIA,18:35,0,0,4,False
2024-01-07,PHO,MEM,14:18,3,1,3,False
2024-01-08,PHO,LAC,2:04,3,0,0,False
2024-01-11,PHO,LAL,4:36,2,0,0,False
2024-01-14,PHO,POR,13:10,4,3,2,False
2024-01-16,PHO,SAC,N/A,N/A,N/A,N/A,False
2024-01-19,PHO,NOP,4:48,0,0,2,False
2024-01-21,PHO,IND,12:19,0,1,2,False
2024-01-22,PHO,CHI,17:48,5,2,1,False
2024-01-24,PHO,DAL,14:38,11,1,2,False
2024-01-26,PHO,IND,8:46,2,1,4,False
2024-01-28,PHO,ORL,19:35,5,0,1,False
2024-01-29,PHO,MIA,5:43,3,0,0,False
2024-01-31,PHO,BRK,18:51,5,1,4,False
2024-02-02,PHO,ATL,9:51,6,0,2,False
2024-02-04,PHO,WAS,7:41,2,1,3,False
2024-02-06,PHO,MIL,N/A,N/A,N/A,N/A,False
2024-02-08,PHO,UTA,N/A,N/A,N/A,N/A,False
2024-02-10,BRK,SAS,3:40,2,0,0,False
2024-02-13,BRK,BOS,N/A,N/A,N/A,N/A,False
2024-02-14,BRK,BOS,12:00,7,0,1,False
2024-02-22,BRK,TOR,4:06,0,0,1,False
2024-02-24,BRK,MIN,N/A,N/A,N/A,N/A,False
2024-02-26,BRK,MEM,6:21,2,0,0,False
2024-02-27,BRK,ORL,6:31,2,2,1,False
2024-02-29,BRK,ATL,6:12,4,0,0,False
2024-03-02,BRK,ATL,2:18,0,0,0,False
2024-03-04,BRK,MEM,N/A,N/A,N/A,N/A,False
2024-03-05,BRK,PHI,5:56,2,0,1,False
2024-03-07,BRK,DET,4:07,2,1,2,False
2024-03-09,BRK,CHO,N/A,N/A,N/A,N/A,False
2024-03-10,BRK,CLE,3:16,0,0,1,False
2024-03-13,BRK,ORL,2:25,0,0,0,False
2024-03-16,BRK,IND,3:56,0,0,1,False
2024-03-17,BRK,SAS,N/A,N/A,N/A,N/A,False
2024-03-19,BRK,NOP,4:38,2,1,1,False
2024-03-21,BRK,MIL,N/A,N/A,N/A,N/A,False
2024-03-23,BRK,NYK,2:10,0,0,0,False
2024-03-25,BRK,TOR,N/A,N/A,N/A,N/A,False
2024-03-27,BRK,WAS,N/A,N/A,N/A,N/A,False
2024-03-29,BRK,CHI,N/A,N/A,N/A,N/A,False
2024-03-31,BRK,LAL,N/A,N/A,N/A,N/A,False
2024-04-01,BRK,IND,N/A,N/A,N/A,N/A,False
2024-04-03,BRK,IND,N/A,N/A,N/A,N/A,False
2024-04-06,BRK,DET,N/A,N/A,N/A,N/A,False
2024-04-07,BRK,SAC,N/A,N/A,N/A,N/A,False
2024-04-10,BRK,TOR,N/A,N/A,N/A,N/A,False
2024-04-12,BRK,NYK,N/A,N/A,N/A,N/A,False
2024-04-14,BRK,PHI,N/A,N/A,N/A,N/A,False
