Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-01-02,PHO,CHO,17:55,11,1,6,False
2022-01-04,PHO,NOP,29:23,16,3,6,False
2022-01-06,PHO,LAC,13:17,0,0,3,False
2022-01-08,PHO,MIA,N/A,N/A,N/A,N/A,False
2022-01-11,PHO,TOR,4:40,0,0,5,False
2022-01-14,PHO,IND,N/A,N/A,N/A,N/A,False
2022-01-16,PHO,DET,13:58,7,0,4,False
2022-01-17,PHO,SAS,24:48,17,1,14,False
2022-01-20,PHO,DAL,27:54,9,1,4,False
2022-01-22,PHO,IND,29:31,21,5,13,False
2022-01-24,PHO,UTA,31:16,16,1,13,False
2022-01-26,PHO,UTA,29:22,12,0,6,True
2022-01-28,PHO,MIN,29:10,14,0,12,True
2022-01-30,PHO,SAS,22:01,10,2,11,True
2022-02-01,PHO,BRK,5:43,0,0,1,False
2022-02-03,PHO,ATL,N/A,N/A,N/A,N/A,False
2022-02-05,PHO,WAS,9:38,1,0,6,False
2022-02-07,PHO,CHI,1:12,0,0,0,False
2022-02-08,PHO,PHI,N/A,N/A,N/A,N/A,False
2022-02-10,PHO,MIL,10:41,9,0,2,False
2022-02-12,PHO,ORL,7:28,2,0,2,False
2022-02-15,PHO,LAC,N/A,N/A,N/A,N/A,False
2022-02-16,PHO,HOU,N/A,N/A,N/A,N/A,False
2022-02-24,PHO,OKC,N/A,N/A,N/A,N/A,False
2022-02-25,PHO,NOP,2:39,0,0,1,False
2022-02-27,PHO,UTA,N/A,N/A,N/A,N/A,False
2022-03-02,PHO,POR,8:36,3,1,4,False
2022-03-04,PHO,NYK,8:22,0,1,2,False
2022-03-06,PHO,MIL,12:59,0,0,3,False
2022-03-08,PHO,ORL,N/A,N/A,N/A,N/A,False
2022-03-09,PHO,MIA,2:34,2,0,1,False
2022-03-11,PHO,TOR,10:17,4,1,2,False
2022-03-13,PHO,LAL,10:54,3,0,3,False
2022-03-15,PHO,NOP,3:30,0,1,0,False
2022-03-16,PHO,HOU,5:41,2,0,1,False
2022-03-18,PHO,CHI,6:08,6,0,1,False
2022-03-20,PHO,SAC,8:20,0,0,0,False
2022-03-23,PHO,MIN,4:12,0,0,1,False
2022-03-24,PHO,DEN,5:04,2,0,1,False
2022-03-27,PHO,PHI,17:15,6,0,7,False
2022-03-30,PHO,GSW,8:40,2,0,4,False
2022-04-01,PHO,MEM,N/A,N/A,N/A,N/A,False
2022-04-03,PHO,OKC,22:20,7,2,6,False
2022-04-05,PHO,LAL,4:47,0,0,1,False
2022-04-06,PHO,LAC,30:00,14,2,12,False
2022-04-08,PHO,UTA,N/A,N/A,N/A,N/A,False
2022-04-10,PHO,SAC,25:40,14,1,9,False
