Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,ORL,HOU,4:48,5,1,0,False
2023-10-27,ORL,POR,N/A,N/A,N/A,N/A,False
2023-10-30,ORL,LAL,N/A,N/A,N/A,N/A,False
2023-10-31,ORL,LAC,3:56,0,1,0,False
2023-11-02,ORL,UTA,15:47,9,1,3,False
2023-11-04,ORL,LAL,30:02,11,2,4,True
2023-11-06,ORL,DAL,32:38,8,2,5,True
2023-11-09,ORL,ATL,17:28,9,1,3,False
2023-11-11,ORL,MIL,28:09,2,3,0,True
2023-11-14,ORL,BRK,19:08,2,1,0,True
2023-11-15,ORL,CHI,26:39,7,2,4,True
2023-11-17,ORL,CHI,11:24,2,0,0,True
2023-11-19,ORL,IND,24:16,7,1,5,True
2023-11-21,ORL,TOR,23:26,5,1,5,True
2023-11-22,ORL,DEN,15:27,0,1,1,True
2023-11-24,ORL,BOS,6:14,0,0,1,True
2023-11-26,ORL,CHO,15:26,2,3,0,True
2023-11-29,ORL,WAS,26:58,7,3,5,True
2023-12-01,ORL,WAS,23:04,6,3,2,True
2023-12-02,ORL,BRK,19:26,2,1,3,True
2023-12-06,ORL,CLE,14:54,11,0,0,True
2023-12-08,ORL,DET,24:40,6,3,5,True
2023-12-11,ORL,CLE,18:43,0,0,1,True
2023-12-15,ORL,BOS,28:26,13,4,9,True
2023-12-17,ORL,BOS,16:50,5,3,2,True
2023-12-20,ORL,MIA,21:31,4,4,2,True
2023-12-21,ORL,MIL,19:30,1,1,2,True
2023-12-23,ORL,IND,28:27,8,2,3,True
2023-12-26,ORL,WAS,32:35,23,1,6,True
2023-12-27,ORL,PHI,23:27,3,4,4,True
2023-12-29,ORL,NYK,29:23,4,5,6,True
2023-12-31,ORL,PHO,21:45,2,0,2,True
2024-01-02,ORL,GSW,13:18,0,0,0,True
2024-01-03,ORL,SAC,24:31,9,4,2,False
2024-01-05,ORL,DEN,4:40,0,1,0,True
2024-01-07,ORL,ATL,11:35,0,0,0,False
2024-01-09,ORL,MIN,21:15,3,4,1,False
2024-01-12,ORL,MIA,9:15,1,1,3,False
2024-01-13,ORL,OKC,33:08,13,1,4,False
2024-01-15,ORL,NYK,N/A,N/A,N/A,N/A,False
2024-01-17,ORL,ATL,0:06,0,0,0,False
2024-01-19,ORL,PHI,12:41,7,3,3,False
2024-01-21,ORL,MIA,13:48,6,1,0,False
2024-01-22,ORL,CLE,18:28,7,2,1,True
2024-01-26,ORL,MEM,26:40,2,1,3,False
2024-01-28,ORL,PHO,13:15,4,1,1,False
2024-01-29,ORL,DAL,30:04,20,1,3,False
2024-01-31,ORL,SAS,16:42,2,1,0,False
2024-02-02,ORL,MIN,N/A,N/A,N/A,N/A,False
2024-02-04,ORL,DET,0:19,0,0,0,False
2024-02-06,ORL,MIA,3:07,0,0,1,False
2024-02-08,ORL,SAS,2:53,0,2,0,False
2024-02-10,ORL,CHI,N/A,N/A,N/A,N/A,False
2024-02-13,ORL,OKC,2:23,1,0,0,False
2024-02-14,ORL,NYK,23:26,4,2,2,True
2024-02-22,ORL,CLE,23:43,9,2,3,False
2024-02-24,ORL,DET,22:29,5,0,2,False
2024-02-25,ORL,ATL,27:23,4,1,8,True
2024-02-27,ORL,BRK,21:56,8,1,4,False
2024-02-29,ORL,UTA,N/A,N/A,N/A,N/A,False
2024-03-03,ORL,DET,3:13,3,0,1,False
2024-03-05,ORL,CHO,27:34,10,1,5,False
2024-03-06,ORL,WAS,21:53,8,2,1,True
2024-03-08,ORL,NYK,22:50,0,0,2,True
2024-03-10,ORL,IND,11:15,2,0,2,False
2024-03-13,ORL,BRK,1:47,0,1,0,False
2024-03-15,ORL,TOR,N/A,N/A,N/A,N/A,False
2024-03-17,ORL,TOR,2:44,2,0,0,False
2024-03-19,ORL,CHO,9:01,2,1,1,False
2024-03-21,ORL,NOP,4:43,2,1,1,False
2024-03-23,ORL,SAC,N/A,N/A,N/A,N/A,False
2024-03-27,ORL,GSW,14:59,6,1,1,False
2024-03-29,ORL,LAC,N/A,N/A,N/A,N/A,False
2024-03-30,ORL,MEM,12:00,2,0,0,False
2024-04-01,ORL,POR,N/A,N/A,N/A,N/A,False
2024-04-03,ORL,NOP,N/A,N/A,N/A,N/A,False
2024-04-05,ORL,CHO,N/A,N/A,N/A,N/A,False
2024-04-07,ORL,CHI,1:29,0,0,0,False
2024-04-09,ORL,HOU,1:37,0,0,0,False
2024-04-10,ORL,MIL,22:11,5,1,0,False
2024-04-12,ORL,PHI,N/A,N/A,N/A,N/A,False
2024-04-14,ORL,MIL,5:16,5,0,1,False
