Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,BRK,CLE,35:11,20,4,6,True
2023-10-27,BRK,DAL,35:28,18,3,4,True
2023-10-30,BRK,CHO,37:44,24,4,7,True
2023-11-01,BRK,MIA,30:37,21,5,7,True
2023-11-03,BRK,CHI,33:28,20,3,2,True
2023-11-04,BRK,BOS,37:47,19,4,6,True
2023-11-06,BRK,MIL,38:39,31,4,5,True
2023-11-08,BRK,LAC,34:06,10,7,8,True
2023-11-10,BRK,BOS,27:41,12,1,5,True
2023-11-12,BRK,WAS,34:22,27,2,13,True
2023-11-14,BRK,ORL,32:25,21,4,5,True
2023-11-16,BRK,MIA,35:01,23,5,7,True
2023-11-19,BRK,PHI,29:13,18,3,1,True
2023-11-22,BRK,ATL,43:37,45,4,10,True
2023-11-25,BRK,MIA,32:57,24,3,6,True
2023-11-26,BRK,CHI,35:44,15,6,2,True
2023-11-28,BRK,TOR,37:54,22,5,10,True
2023-11-30,BRK,CHO,37:42,22,4,9,True
2023-12-02,BRK,ORL,35:23,42,3,5,True
2023-12-06,BRK,ATL,35:03,32,6,5,True
2023-12-08,BRK,WAS,30:29,21,3,4,True
2023-12-11,BRK,SAC,36:35,22,5,5,True
2023-12-13,BRK,PHO,38:32,21,2,3,True
2023-12-14,BRK,DEN,24:34,9,1,0,True
2023-12-16,BRK,GSW,39:42,18,2,6,True
2023-12-18,BRK,UTA,35:15,13,5,1,True
2023-12-20,BRK,NYK,32:49,15,2,5,True
2023-12-22,BRK,DEN,29:02,14,6,3,True
2023-12-23,BRK,DET,32:56,29,7,6,True
2023-12-26,BRK,DET,39:42,21,3,4,True
2023-12-27,BRK,MIL,12:00,6,1,3,True
2023-12-29,BRK,WAS,36:18,19,1,5,True
2023-12-31,BRK,OKC,36:53,22,7,7,True
2024-01-02,BRK,NOP,29:00,13,2,3,True
2024-01-03,BRK,HOU,36:20,15,3,4,True
2024-01-05,BRK,OKC,39:10,17,3,8,True
2024-01-07,BRK,POR,44:06,42,3,4,True
2024-01-11,BRK,CLE,38:32,26,1,6,True
2024-01-15,BRK,MIA,43:51,26,6,9,True
2024-01-17,BRK,POR,33:48,21,4,4,True
2024-01-19,BRK,LAL,34:39,17,5,1,True
2024-01-21,BRK,LAC,37:55,26,5,6,True
2024-01-23,BRK,NYK,36:41,36,5,5,True
2024-01-25,BRK,MIN,35:21,21,3,1,True
2024-01-27,BRK,HOU,40:42,19,1,5,True
2024-01-29,BRK,UTA,37:23,33,4,3,True
2024-01-31,BRK,PHO,39:51,21,2,3,True
2024-02-03,BRK,PHI,32:15,23,4,3,True
2024-02-05,BRK,GSW,42:31,13,4,6,True
2024-02-06,BRK,DAL,38:30,28,4,1,True
2024-02-08,BRK,CLE,35:21,26,5,3,True
2024-02-10,BRK,SAS,33:27,14,3,6,True
2024-02-13,BRK,BOS,39:47,27,3,2,True
2024-02-14,BRK,BOS,26:06,10,4,4,True
2024-02-22,BRK,TOR,35:18,21,1,4,True
2024-02-24,BRK,MIN,36:15,15,8,6,True
2024-02-26,BRK,MEM,30:43,11,2,3,True
2024-02-27,BRK,ORL,29:17,4,2,2,True
2024-02-29,BRK,ATL,33:51,15,5,7,True
2024-03-02,BRK,ATL,38:33,38,2,5,True
2024-03-04,BRK,MEM,39:03,14,5,5,True
2024-03-05,BRK,PHI,38:10,15,4,6,True
2024-03-07,BRK,DET,43:10,13,7,1,True
2024-03-09,BRK,CHO,40:55,19,4,2,True
2024-03-10,BRK,CLE,34:40,25,5,5,True
2024-03-13,BRK,ORL,29:43,17,1,4,True
2024-03-16,BRK,IND,29:16,7,4,7,True
2024-03-17,BRK,SAS,39:49,14,5,7,True
2024-03-19,BRK,NOP,32:22,15,1,2,True
2024-03-21,BRK,MIL,33:29,24,2,6,True
2024-03-23,BRK,NYK,36:38,18,5,4,True
2024-03-25,BRK,TOR,37:00,13,4,3,True
2024-03-27,BRK,WAS,47:23,19,4,6,True
2024-03-29,BRK,CHI,37:56,25,3,3,True
2024-03-31,BRK,LAL,37:49,13,4,3,True
2024-04-01,BRK,IND,29:29,19,6,0,True
2024-04-03,BRK,IND,35:58,17,4,7,True
2024-04-06,BRK,DET,31:15,13,3,2,True
2024-04-07,BRK,SAC,24:21,8,2,5,True
2024-04-10,BRK,TOR,22:42,11,2,3,True
2024-04-12,BRK,NYK,24:08,5,4,0,True
2024-04-14,BRK,PHI,24:50,8,1,2,True
