Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,BOS,NYK,45:58,46,6,9,True
2021-10-22,BOS,TOR,28:24,9,0,4,True
2021-10-24,BOS,HOU,N/A,N/A,N/A,N/A,False
2021-10-25,BOS,CHO,37:59,30,3,9,True
2021-10-27,BOS,WAS,37:21,13,1,4,True
2021-10-30,BOS,WAS,47:23,34,2,6,True
2021-11-01,BOS,CHI,33:35,28,3,7,True
2021-11-03,BOS,ORL,31:48,28,3,5,True
2021-11-04,BOS,MIA,29:17,17,2,5,True
2021-11-06,BOS,DAL,N/A,N/A,N/A,N/A,False
2021-11-10,BOS,TOR,N/A,N/A,N/A,N/A,False
2021-11-12,BOS,MIL,N/A,N/A,N/A,N/A,False
2021-11-13,BOS,CLE,N/A,N/A,N/A,N/A,False
2021-11-15,BOS,CLE,N/A,N/A,N/A,N/A,False
2021-11-17,BOS,ATL,N/A,N/A,N/A,N/A,False
2021-11-19,BOS,LAL,N/A,N/A,N/A,N/A,False
2021-11-20,BOS,OKC,N/A,N/A,N/A,N/A,False
2021-11-22,BOS,HOU,22:47,19,0,3,True
2021-11-24,BOS,BRK,23:57,13,0,5,True
2021-11-26,BOS,SAS,27:05,16,3,4,True
2021-11-28,BOS,TOR,27:26,16,3,3,True
2021-12-01,BOS,PHI,33:27,9,3,4,True
2021-12-03,BOS,UTA,N/A,N/A,N/A,N/A,False
2021-12-04,BOS,POR,N/A,N/A,N/A,N/A,False
2021-12-07,BOS,LAL,N/A,N/A,N/A,N/A,False
2021-12-08,BOS,LAC,N/A,N/A,N/A,N/A,False
2021-12-10,BOS,PHO,N/A,N/A,N/A,N/A,False
2021-12-13,BOS,MIL,29:58,19,5,4,True
2021-12-17,BOS,GSW,33:18,20,2,9,True
2021-12-18,BOS,NYK,32:29,23,5,4,True
2021-12-20,BOS,PHI,34:23,30,4,5,True
2021-12-22,BOS,CLE,35:36,34,3,6,True
2021-12-25,BOS,MIL,37:14,25,3,4,True
2021-12-27,BOS,MIN,39:24,26,4,10,True
2021-12-29,BOS,LAC,39:52,30,0,8,True
2021-12-31,BOS,PHO,35:57,24,3,11,True
2022-01-02,BOS,ORL,46:08,50,4,11,True
2022-01-05,BOS,SAS,35:03,30,1,6,True
2022-01-06,BOS,NYK,34:16,16,1,7,True
2022-01-08,BOS,NYK,34:48,22,11,11,True
2022-01-10,BOS,IND,43:53,26,6,15,True
2022-01-12,BOS,IND,35:11,34,3,5,True
2022-01-14,BOS,PHI,32:01,21,1,2,True
2022-01-15,BOS,CHI,35:40,19,4,7,True
2022-01-17,BOS,NOP,34:51,23,2,8,True
2022-01-19,BOS,CHO,38:09,21,6,6,True
2022-01-21,BOS,POR,34:57,22,5,5,True
2022-01-23,BOS,WAS,30:44,18,1,10,True
2022-01-25,BOS,SAC,23:57,30,3,10,True
2022-01-28,BOS,ATL,35:20,26,3,12,True
2022-01-29,BOS,NOP,35:16,31,3,2,True
2022-01-31,BOS,MIA,31:30,29,2,4,True
2022-02-02,BOS,CHO,38:25,15,6,6,True
2022-02-04,BOS,DET,33:34,13,2,7,True
2022-02-06,BOS,ORL,28:49,26,3,5,True
2022-02-08,BOS,BRK,27:36,22,9,7,True
2022-02-11,BOS,DEN,39:07,12,4,7,True
2022-02-13,BOS,ATL,37:38,17,3,9,True
2022-02-15,BOS,PHI,29:02,29,3,8,True
2022-02-16,BOS,DET,37:57,31,6,2,True
2022-02-24,BOS,BRK,29:44,18,6,1,True
2022-02-26,BOS,DET,35:47,27,0,3,True
2022-02-27,BOS,IND,35:13,23,8,4,True
2022-03-01,BOS,ATL,2:48,2,1,1,True
2022-03-03,BOS,MEM,N/A,N/A,N/A,N/A,False
2022-03-06,BOS,BRK,34:54,21,5,4,True
2022-03-09,BOS,CHO,36:18,15,5,5,True
2022-03-11,BOS,DET,33:39,22,4,8,True
2022-03-13,BOS,DAL,35:06,14,4,5,True
2022-03-16,BOS,GSW,34:51,26,3,7,True
2022-03-18,BOS,SAC,28:09,30,0,3,True
2022-03-20,BOS,DEN,34:11,30,0,6,True
2022-03-21,BOS,OKC,38:33,25,1,3,True
2022-03-23,BOS,UTA,32:00,26,5,3,True
2022-03-27,BOS,MIN,34:40,31,2,10,True
2022-03-28,BOS,TOR,N/A,N/A,N/A,N/A,False
2022-03-30,BOS,MIA,37:12,28,6,10,True
2022-04-01,BOS,IND,35:05,32,7,3,True
2022-04-03,BOS,WAS,28:34,32,5,7,True
2022-04-06,BOS,CHI,34:40,25,4,7,True
2022-04-07,BOS,MIL,37:28,22,11,10,True
2022-04-10,BOS,MEM,23:03,18,4,3,True
