Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,MIA,CHI,36:34,24,3,8,True
2022-10-21,MIA,BOS,40:08,18,5,7,True
2022-10-22,MIA,TOR,34:50,24,5,4,True
2022-10-24,MIA,TOR,33:48,26,4,8,True
2022-10-26,MIA,POR,27:58,17,5,5,True
2022-10-27,MIA,GSW,37:04,27,8,6,True
2022-10-29,MIA,SAC,37:07,13,6,7,True
2022-11-01,MIA,GSW,36:50,23,8,6,True
2022-11-02,MIA,SAC,N/A,N/A,N/A,N/A,False
2022-11-04,MIA,IND,N/A,N/A,N/A,N/A,False
2022-11-07,MIA,POR,33:14,16,7,4,True
2022-11-10,MIA,CHO,42:19,35,8,10,True
2022-11-12,MIA,CHO,31:18,20,8,7,True
2022-11-14,MIA,PHO,34:48,16,7,13,True
2022-11-16,MIA,TOR,38:17,13,5,1,True
2022-11-18,MIA,WAS,N/A,N/A,N/A,N/A,False
2022-11-20,MIA,CLE,N/A,N/A,N/A,N/A,False
2022-11-21,MIA,MIN,N/A,N/A,N/A,N/A,False
2022-11-23,MIA,WAS,N/A,N/A,N/A,N/A,False
2022-11-25,MIA,WAS,N/A,N/A,N/A,N/A,False
2022-11-27,MIA,ATL,N/A,N/A,N/A,N/A,False
2022-11-30,MIA,BOS,N/A,N/A,N/A,N/A,False
2022-12-02,MIA,BOS,35:29,25,3,15,True
2022-12-05,MIA,MEM,33:17,18,8,6,True
2022-12-06,MIA,DET,N/A,N/A,N/A,N/A,False
2022-12-08,MIA,LAC,33:59,26,8,5,True
2022-12-10,MIA,SAS,32:20,30,4,2,True
2022-12-12,MIA,IND,33:44,20,5,7,True
2022-12-14,MIA,OKC,N/A,N/A,N/A,N/A,False
2022-12-15,MIA,HOU,35:36,20,7,10,True
2022-12-17,MIA,SAS,34:26,26,4,5,True
2022-12-20,MIA,CHI,N/A,N/A,N/A,N/A,False
2022-12-23,MIA,IND,27:52,20,3,6,True
2022-12-26,MIA,MIN,N/A,N/A,N/A,N/A,False
2022-12-28,MIA,LAL,34:16,27,4,5,True
2022-12-30,MIA,DEN,37:50,17,8,6,True
2022-12-31,MIA,UTA,N/A,N/A,N/A,N/A,False
2023-01-02,MIA,LAC,32:01,9,6,2,True
2023-01-04,MIA,LAL,33:31,27,4,4,True
2023-01-06,MIA,PHO,32:56,20,6,5,True
2023-01-08,MIA,BRK,34:07,26,1,8,True
2023-01-10,MIA,OKC,37:57,35,4,7,True
2023-01-12,MIA,MIL,32:31,17,2,11,True
2023-01-14,MIA,MIL,26:35,16,1,4,True
2023-01-16,MIA,ATL,33:59,34,3,3,True
2023-01-18,MIA,NOP,26:34,18,7,3,True
2023-01-20,MIA,DAL,25:58,12,1,4,True
2023-01-22,MIA,NOP,33:57,18,2,4,True
2023-01-24,MIA,BOS,N/A,N/A,N/A,N/A,False
2023-01-27,MIA,ORL,32:42,29,6,6,True
2023-01-29,MIA,CHO,33:18,28,2,7,True
2023-01-31,MIA,CLE,34:19,23,5,1,True
2023-02-02,MIA,NYK,33:25,10,5,4,True
2023-02-04,MIA,MIL,33:44,32,3,8,True
2023-02-08,MIA,IND,35:19,25,7,5,True
2023-02-10,MIA,HOU,28:23,16,4,4,True
2023-02-11,MIA,ORL,33:44,22,6,7,True
2023-02-13,MIA,DEN,32:19,24,9,10,True
2023-02-15,MIA,BRK,32:01,13,6,3,True
2023-02-24,MIA,MIL,21:21,23,1,2,True
2023-02-25,MIA,CHO,33:26,28,6,3,True
2023-02-27,MIA,PHI,32:08,23,9,11,True
2023-03-01,MIA,PHI,27:11,16,3,3,True
2023-03-03,MIA,NYK,33:00,33,5,8,True
2023-03-04,MIA,ATL,33:58,15,7,11,True
2023-03-06,MIA,ATL,32:44,26,9,10,True
2023-03-08,MIA,CLE,35:03,28,5,5,True
2023-03-10,MIA,CLE,35:02,33,3,5,True
2023-03-11,MIA,ORL,39:03,38,2,5,True
2023-03-13,MIA,UTA,31:12,24,4,8,True
2023-03-15,MIA,MEM,27:53,23,6,8,True
2023-03-18,MIA,CHI,32:44,24,1,7,True
2023-03-19,MIA,DET,34:58,26,10,4,True
2023-03-22,MIA,NYK,37:00,35,9,4,True
2023-03-25,MIA,BRK,32:41,18,5,1,True
2023-03-28,MIA,TOR,N/A,N/A,N/A,N/A,False
2023-03-29,MIA,NYK,34:41,12,6,3,True
2023-04-01,MIA,DAL,37:00,35,12,3,True
2023-04-04,MIA,DET,35:29,27,8,8,True
2023-04-06,MIA,PHI,29:10,24,6,3,True
2023-04-07,MIA,WAS,N/A,N/A,N/A,N/A,False
2023-04-09,MIA,ORL,N/A,N/A,N/A,N/A,False
