Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-18,PHI,BOS,N/A,N/A,N/A,N/A,False
2022-10-20,PHI,MIL,N/A,N/A,N/A,N/A,False
2022-10-22,PHI,SAS,N/A,N/A,N/A,N/A,False
2022-10-24,PHI,IND,N/A,N/A,N/A,N/A,False
2022-10-26,PHI,TOR,N/A,N/A,N/A,N/A,False
2022-10-28,PHI,TOR,N/A,N/A,N/A,N/A,False
2022-10-29,PHI,CHI,N/A,N/A,N/A,N/A,False
2022-10-31,PHI,WAS,N/A,N/A,N/A,N/A,False
2022-11-02,PHI,WAS,N/A,N/A,N/A,N/A,False
2022-11-04,PHI,NYK,N/A,N/A,N/A,N/A,False
2022-11-07,PHI,PHO,N/A,N/A,N/A,N/A,False
2022-11-10,PHI,ATL,N/A,N/A,N/A,N/A,False
2022-11-12,PHI,ATL,N/A,N/A,N/A,N/A,False
2022-11-13,PHI,UTA,N/A,N/A,N/A,N/A,False
2022-11-18,PHI,MIL,N/A,N/A,N/A,N/A,False
2022-11-19,PHI,MIN,N/A,N/A,N/A,N/A,False
2022-11-22,PHI,BRK,1:23,0,0,0,False
2022-11-23,PHI,CHO,N/A,N/A,N/A,N/A,False
2022-11-25,PHI,ORL,N/A,N/A,N/A,N/A,False
2022-11-27,PHI,ORL,5:17,0,0,0,False
2022-11-28,PHI,ATL,N/A,N/A,N/A,N/A,False
2022-11-30,PHI,CLE,N/A,N/A,N/A,N/A,False
2022-12-02,PHI,MEM,N/A,N/A,N/A,N/A,False
2022-12-05,PHI,HOU,N/A,N/A,N/A,N/A,False
2022-12-09,PHI,LAL,N/A,N/A,N/A,N/A,False
2022-12-11,PHI,CHO,N/A,N/A,N/A,N/A,False
2022-12-13,PHI,SAC,N/A,N/A,N/A,N/A,False
2022-12-16,PHI,GSW,N/A,N/A,N/A,N/A,False
2022-12-19,PHI,TOR,N/A,N/A,N/A,N/A,False
2022-12-21,PHI,DET,N/A,N/A,N/A,N/A,False
2022-12-23,PHI,LAC,N/A,N/A,N/A,N/A,False
2022-12-25,PHI,NYK,N/A,N/A,N/A,N/A,False
2022-12-27,PHI,WAS,N/A,N/A,N/A,N/A,False
2022-12-30,PHI,NOP,N/A,N/A,N/A,N/A,False
2022-12-31,PHI,OKC,N/A,N/A,N/A,N/A,False
2023-01-02,PHI,NOP,N/A,N/A,N/A,N/A,False
2023-01-04,PHI,IND,N/A,N/A,N/A,N/A,False
2023-01-06,PHI,CHI,N/A,N/A,N/A,N/A,False
2023-01-08,PHI,DET,N/A,N/A,N/A,N/A,False
2023-01-10,PHI,DET,N/A,N/A,N/A,N/A,False
2023-01-12,PHI,OKC,N/A,N/A,N/A,N/A,False
2023-01-14,PHI,UTA,N/A,N/A,N/A,N/A,False
2023-01-15,PHI,LAL,N/A,N/A,N/A,N/A,False
2023-01-17,PHI,LAC,N/A,N/A,N/A,N/A,False
2023-01-19,PHI,POR,N/A,N/A,N/A,N/A,False
2023-01-21,PHI,SAC,N/A,N/A,N/A,N/A,False
2023-01-25,PHI,BRK,N/A,N/A,N/A,N/A,False
2023-01-28,PHI,DEN,N/A,N/A,N/A,N/A,False
2023-01-30,PHI,ORL,N/A,N/A,N/A,N/A,False
2023-02-01,PHI,ORL,N/A,N/A,N/A,N/A,False
2023-02-03,PHI,SAS,N/A,N/A,N/A,N/A,False
2023-02-05,PHI,NYK,N/A,N/A,N/A,N/A,False
2023-02-08,PHI,BOS,N/A,N/A,N/A,N/A,False
2023-02-10,PHI,NYK,N/A,N/A,N/A,N/A,False
2023-02-11,PHI,BRK,N/A,N/A,N/A,N/A,False
2023-02-13,PHI,HOU,N/A,N/A,N/A,N/A,False
2023-02-23,SAS,DAL,N/A,N/A,N/A,N/A,False
2023-02-25,SAS,UTA,N/A,N/A,N/A,N/A,False
2023-02-28,SAS,UTA,N/A,N/A,N/A,N/A,False
2023-03-02,SAS,IND,N/A,N/A,N/A,N/A,False
2023-03-04,SAS,HOU,11:34,6,0,3,False
2023-03-05,SAS,HOU,11:58,7,1,2,False
2023-03-10,SAS,DEN,N/A,N/A,N/A,N/A,False
2023-03-12,SAS,OKC,N/A,N/A,N/A,N/A,False
2023-03-14,SAS,ORL,7:25,3,1,2,False
2023-03-15,SAS,DAL,N/A,N/A,N/A,N/A,False
2023-03-17,SAS,MEM,N/A,N/A,N/A,N/A,False
2023-03-19,SAS,ATL,18:15,11,0,3,False
2023-03-21,SAS,NOP,18:20,6,0,6,False
2023-03-22,SAS,MIL,27:43,8,0,2,False
2023-03-24,SAS,WAS,18:10,12,0,3,False
2023-03-26,SAS,BOS,9:00,2,0,1,False
2023-03-29,SAS,UTA,25:13,2,1,2,True
2023-03-31,SAS,GSW,19:36,8,1,5,False
2023-04-02,SAS,SAC,28:13,26,0,6,False
2023-04-04,SAS,PHO,27:33,10,1,6,False
2023-04-06,SAS,POR,25:29,24,1,5,False
2023-04-08,SAS,MIN,31:51,24,1,4,True
2023-04-09,SAS,DAL,33:08,16,3,10,True
