Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,ATL,HOU,33:39,24,1,8,True
2022-10-21,ATL,ORL,36:14,23,0,13,True
2022-10-23,ATL,CHO,38:29,10,1,10,True
2022-10-26,ATL,DET,35:54,19,0,11,True
2022-10-28,ATL,DET,25:11,4,1,10,True
2022-10-29,ATL,MIL,31:25,4,2,5,True
2022-10-31,ATL,TOR,29:37,12,1,12,True
2022-11-02,ATL,NYK,30:54,12,2,13,True
2022-11-05,ATL,NOP,35:52,7,1,5,True
2022-11-07,ATL,MIL,23:31,14,0,2,True
2022-11-09,ATL,UTA,28:16,15,3,4,True
2022-11-10,ATL,PHI,25:44,11,2,4,True
2022-11-12,ATL,PHI,33:29,6,0,6,True
2022-11-14,ATL,MIL,33:28,16,0,9,True
2022-11-16,ATL,BOS,31:59,12,0,3,True
2022-11-19,ATL,TOR,34:00,9,4,11,True
2022-11-21,ATL,CLE,33:55,16,2,1,True
2022-11-23,ATL,SAC,31:51,7,2,3,True
2022-11-25,ATL,HOU,33:44,8,1,5,True
2022-11-27,ATL,MIA,36:34,23,2,14,True
2022-11-28,ATL,PHI,32:23,13,3,8,True
2022-11-30,ATL,ORL,16:32,6,0,7,True
2022-12-02,ATL,DEN,N/A,N/A,N/A,N/A,False
2022-12-05,ATL,OKC,N/A,N/A,N/A,N/A,False
2022-12-07,ATL,NYK,N/A,N/A,N/A,N/A,False
2022-12-09,ATL,BRK,N/A,N/A,N/A,N/A,False
2022-12-11,ATL,CHI,N/A,N/A,N/A,N/A,False
2022-12-12,ATL,MEM,N/A,N/A,N/A,N/A,False
2022-12-14,ATL,ORL,N/A,N/A,N/A,N/A,False
2022-12-16,ATL,CHO,N/A,N/A,N/A,N/A,False
2022-12-19,ATL,ORL,20:08,12,3,7,True
2022-12-21,ATL,CHI,21:14,4,0,7,True
2022-12-23,ATL,DET,29:10,8,3,12,True
2022-12-27,ATL,IND,29:40,26,0,10,True
2022-12-28,ATL,BRK,33:30,21,1,8,True
2022-12-30,ATL,LAL,23:02,7,0,9,True
2023-01-02,ATL,GSW,39:38,25,1,13,True
2023-01-04,ATL,SAC,40:33,22,3,12,True
2023-01-06,ATL,LAL,37:24,16,2,8,True
2023-01-08,ATL,LAC,30:53,13,0,9,True
2023-01-11,ATL,MIL,33:17,15,1,7,True
2023-01-13,ATL,IND,27:14,7,0,8,True
2023-01-14,ATL,TOR,27:45,11,1,4,True
2023-01-16,ATL,MIA,31:58,14,1,4,True
2023-01-18,ATL,DAL,33:57,19,3,5,True
2023-01-20,ATL,NYK,35:22,17,1,9,True
2023-01-21,ATL,CHO,33:07,11,2,5,True
2023-01-23,ATL,CHI,35:44,11,0,9,True
2023-01-25,ATL,OKC,30:10,19,2,10,True
2023-01-28,ATL,LAC,33:47,16,0,5,True
2023-01-30,ATL,POR,37:49,16,3,6,True
2023-02-01,ATL,PHO,24:16,9,0,2,True
2023-02-03,ATL,UTA,28:00,10,1,4,True
2023-02-04,ATL,DEN,30:11,6,3,4,True
2023-02-07,ATL,NOP,30:03,15,1,6,True
2023-02-09,ATL,PHO,31:27,16,0,2,True
2023-02-11,ATL,SAS,31:07,17,2,3,True
2023-02-13,ATL,CHO,N/A,N/A,N/A,N/A,False
2023-02-15,ATL,NYK,21:49,8,0,2,True
2023-02-24,ATL,CLE,N/A,N/A,N/A,N/A,False
2023-02-26,ATL,BRK,25:46,12,0,4,True
2023-02-28,ATL,WAS,26:16,10,0,4,True
2023-03-03,ATL,POR,23:14,6,0,3,True
2023-03-04,ATL,MIA,16:13,3,0,1,True
2023-03-06,ATL,MIA,20:02,17,2,1,True
2023-03-08,ATL,WAS,29:13,14,0,5,True
2023-03-10,ATL,WAS,27:46,7,3,4,True
2023-03-11,ATL,BOS,29:37,11,1,9,True
2023-03-13,ATL,MIN,27:14,6,2,5,True
2023-03-17,ATL,GSW,28:47,22,0,5,True
2023-03-19,ATL,SAS,27:53,14,2,6,True
2023-03-21,ATL,DET,26:41,15,1,8,True
2023-03-22,ATL,MIN,32:34,16,2,5,True
2023-03-25,ATL,IND,31:32,21,3,2,True
2023-03-26,ATL,MEM,29:46,9,1,10,True
2023-03-28,ATL,CLE,29:16,12,2,7,True
2023-03-31,ATL,BRK,27:40,5,1,2,True
2023-04-02,ATL,DAL,33:37,18,1,10,True
2023-04-04,ATL,CHI,23:46,9,2,6,True
2023-04-05,ATL,WAS,25:35,23,0,3,True
2023-04-07,ATL,PHI,32:16,19,0,8,True
2023-04-09,ATL,BOS,N/A,N/A,N/A,N/A,False
