Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2021-10-20,DET,CHI,N/A,N/A,N/A,N/A,False
2021-10-23,DET,CHI,N/A,N/A,N/A,N/A,False
2021-10-25,DET,ATL,N/A,N/A,N/A,N/A,False
2021-10-28,DET,PHI,N/A,N/A,N/A,N/A,False
2021-10-30,DET,ORL,18:55,2,2,7,True
2021-10-31,DET,BRK,N/A,N/A,N/A,N/A,False
2021-11-02,DET,MIL,29:14,6,3,2,True
2021-11-04,DET,PHI,31:50,18,4,10,True
2021-11-05,DET,BRK,30:17,17,2,4,True
2021-11-10,DET,HOU,30:28,20,3,4,True
2021-11-12,DET,CLE,31:06,9,3,6,True
2021-11-13,DET,TOR,33:00,10,4,3,True
2021-11-15,DET,SAC,35:21,25,8,8,True
2021-11-17,DET,IND,33:32,16,6,8,True
2021-11-19,DET,GSW,36:15,19,6,6,True
2021-11-21,DET,LAL,38:05,13,10,12,True
2021-11-23,DET,MIA,28:52,6,6,3,True
2021-11-24,DET,MIL,29:54,9,7,8,True
2021-11-26,DET,LAC,28:29,10,6,6,True
2021-11-28,DET,LAL,33:47,15,2,11,True
2021-11-30,DET,POR,33:04,26,1,7,True
2021-12-02,DET,PHO,31:18,19,5,2,True
2021-12-06,DET,OKC,36:17,28,5,11,True
2021-12-08,DET,WAS,37:26,21,3,4,True
2021-12-10,DET,NOP,31:22,16,4,1,True
2021-12-12,DET,BRK,35:31,26,6,8,True
2021-12-16,DET,IND,34:07,19,4,6,True
2021-12-18,DET,HOU,36:21,21,11,7,True
2021-12-19,DET,MIA,31:06,4,10,3,True
2021-12-21,DET,NYK,32:55,7,9,9,True
2021-12-23,DET,MIA,N/A,N/A,N/A,N/A,False
2021-12-26,DET,SAS,N/A,N/A,N/A,N/A,False
2021-12-29,DET,NYK,N/A,N/A,N/A,N/A,False
2022-01-01,DET,SAS,N/A,N/A,N/A,N/A,False
2022-01-03,DET,MIL,37:02,19,7,4,True
2022-01-05,DET,CHO,26:23,16,7,2,True
2022-01-06,DET,MEM,31:22,12,6,5,True
2022-01-08,DET,ORL,31:55,12,5,3,True
2022-01-10,DET,UTA,38:22,29,8,1,True
2022-01-11,DET,CHI,29:22,8,3,7,True
2022-01-14,DET,TOR,33:14,18,5,7,True
2022-01-16,DET,PHO,24:35,21,4,1,True
2022-01-18,DET,GSW,27:38,8,4,1,True
2022-01-19,DET,SAC,20:36,13,0,1,True
2022-01-21,DET,UTA,41:13,25,5,6,True
2022-01-23,DET,DEN,36:14,18,8,5,True
2022-01-25,DET,DEN,39:50,34,8,8,True
2022-01-28,DET,ORL,30:07,8,4,2,True
2022-01-30,DET,CLE,37:01,19,10,10,True
2022-02-01,DET,NOP,21:01,6,1,5,True
2022-02-03,DET,MIN,N/A,N/A,N/A,N/A,False
2022-02-04,DET,BOS,N/A,N/A,N/A,N/A,False
2022-02-06,DET,MIN,N/A,N/A,N/A,N/A,False
2022-02-08,DET,DAL,N/A,N/A,N/A,N/A,False
2022-02-10,DET,MEM,N/A,N/A,N/A,N/A,False
2022-02-11,DET,CHO,21:48,12,2,5,True
2022-02-14,DET,WAS,27:12,12,4,4,True
2022-02-16,DET,BOS,36:26,20,6,8,True
2022-02-24,DET,CLE,31:45,17,6,6,True
2022-02-26,DET,BOS,27:00,25,3,7,True
2022-02-27,DET,CHO,32:42,19,6,5,True
2022-03-01,DET,WAS,31:35,20,5,9,True
2022-03-03,DET,TOR,38:08,22,5,12,True
2022-03-04,DET,IND,32:15,20,3,9,True
2022-03-07,DET,ATL,43:06,28,10,6,True
2022-03-09,DET,CHI,35:50,22,6,4,True
2022-03-11,DET,BOS,40:52,27,6,8,True
2022-03-13,DET,LAC,44:05,23,10,9,True
2022-03-15,DET,MIA,N/A,N/A,N/A,N/A,False
2022-03-17,DET,ORL,N/A,N/A,N/A,N/A,False
2022-03-19,DET,CLE,36:14,15,10,6,True
2022-03-21,DET,POR,35:34,25,7,3,True
2022-03-23,DET,ATL,35:16,17,8,6,True
2022-03-25,DET,WAS,35:03,22,9,7,True
2022-03-27,DET,NYK,36:51,18,7,0,True
2022-03-29,DET,BRK,32:08,34,6,1,True
2022-03-31,DET,PHI,35:16,27,6,2,True
2022-04-01,DET,OKC,7:42,2,0,0,True
2022-04-03,DET,IND,N/A,N/A,N/A,N/A,False
2022-04-06,DET,DAL,38:21,25,9,7,True
2022-04-08,DET,MIL,38:31,14,7,6,True
2022-04-10,DET,PHI,N/A,N/A,N/A,N/A,False
