Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,TOR,MIN,2:07,0,1,0,False
2023-10-27,TOR,CHI,5:45,0,0,1,False
2023-10-28,TOR,PHI,28:27,16,1,2,False
2023-10-30,TOR,POR,20:50,4,0,6,False
2023-11-01,TOR,MIL,21:15,5,0,1,False
2023-11-02,TOR,PHI,13:35,0,1,0,False
2023-11-05,TOR,SAS,14:09,0,4,3,False
2023-11-08,TOR,DAL,6:37,0,0,0,False
2023-11-11,TOR,BOS,14:32,4,1,1,False
2023-11-13,TOR,WAS,24:01,8,2,4,False
2023-11-15,TOR,MIL,26:23,11,2,0,True
2023-11-17,TOR,BOS,10:00,0,1,1,False
2023-11-19,TOR,DET,12:06,5,0,0,False
2023-11-21,TOR,ORL,11:40,3,2,2,False
2023-11-22,TOR,IND,N/A,N/A,N/A,N/A,False
2023-11-24,TOR,CHI,9:01,2,0,1,False
2023-11-26,TOR,CLE,N/A,N/A,N/A,N/A,False
2023-11-28,TOR,BRK,N/A,N/A,N/A,N/A,False
2023-11-29,TOR,PHO,N/A,N/A,N/A,N/A,False
2023-12-01,TOR,NYK,N/A,N/A,N/A,N/A,False
2023-12-06,TOR,MIA,N/A,N/A,N/A,N/A,False
2023-12-08,TOR,CHO,N/A,N/A,N/A,N/A,False
2023-12-11,TOR,NYK,4:17,2,0,0,False
2023-12-13,TOR,ATL,N/A,N/A,N/A,N/A,False
2023-12-15,TOR,ATL,2:43,3,0,0,False
2023-12-18,TOR,CHO,N/A,N/A,N/A,N/A,False
2023-12-20,TOR,DEN,N/A,N/A,N/A,N/A,False
2023-12-22,TOR,PHI,2:17,0,0,0,False
2023-12-23,TOR,UTA,N/A,N/A,N/A,N/A,False
2023-12-27,TOR,WAS,4:53,3,0,0,False
2023-12-29,TOR,BOS,N/A,N/A,N/A,N/A,False
2023-12-30,TOR,DET,N/A,N/A,N/A,N/A,False
2024-01-01,TOR,CLE,N/A,N/A,N/A,N/A,False
2024-01-03,TOR,MEM,N/A,N/A,N/A,N/A,False
2024-01-05,TOR,SAC,N/A,N/A,N/A,N/A,False
2024-01-07,TOR,GSW,N/A,N/A,N/A,N/A,False
2024-01-09,TOR,LAL,N/A,N/A,N/A,N/A,False
2024-01-10,TOR,LAC,N/A,N/A,N/A,N/A,False
2024-01-12,TOR,UTA,12:10,0,2,1,False
2024-01-15,TOR,BOS,N/A,N/A,N/A,N/A,False
2024-01-17,TOR,MIA,11:33,6,4,0,False
2024-01-18,TOR,CHI,N/A,N/A,N/A,N/A,False
2024-01-20,TOR,NYK,16:14,11,1,2,False
2024-01-22,TOR,MEM,14:35,0,0,3,False
2024-01-26,TOR,LAC,21:08,6,2,4,False
2024-01-28,TOR,ATL,25:03,15,3,5,False
2024-01-30,TOR,CHI,20:07,0,4,3,False
2024-02-02,TOR,HOU,23:47,3,0,7,False
2024-02-04,TOR,OKC,10:23,6,1,0,False
2024-02-05,TOR,NOP,30:10,22,2,4,False
2024-02-07,TOR,CHO,15:21,6,2,1,False
2024-02-09,TOR,HOU,19:37,6,1,1,False
2024-02-10,TOR,CLE,22:15,14,1,0,False
2024-02-12,TOR,SAS,21:45,18,0,2,False
2024-02-14,TOR,IND,21:01,7,1,1,False
2024-02-22,TOR,BRK,16:37,7,0,4,False
2024-02-23,TOR,ATL,21:33,18,1,2,False
2024-02-26,TOR,IND,22:48,18,2,5,False
2024-02-28,TOR,DAL,18:54,7,0,3,False
2024-03-01,TOR,GSW,26:41,12,3,2,False
2024-03-03,TOR,CHO,24:05,11,0,4,False
2024-03-05,TOR,NOP,27:04,2,0,2,False
2024-03-07,TOR,PHO,30:37,12,0,2,False
2024-03-09,TOR,POR,39:04,8,2,5,True
2024-03-11,TOR,DEN,36:25,17,7,4,True
2024-03-13,TOR,DET,32:23,9,1,3,True
2024-03-15,TOR,ORL,22:44,8,1,2,True
2024-03-17,TOR,ORL,26:41,10,1,0,True
2024-03-20,TOR,SAC,32:10,5,3,1,True
2024-03-22,TOR,OKC,32:41,21,1,5,True
2024-03-23,TOR,WAS,33:39,17,2,2,True
2024-03-25,TOR,BRK,32:33,8,2,3,True
2024-03-27,TOR,NYK,30:21,23,0,1,True
2024-03-31,TOR,PHI,31:06,12,2,0,True
2024-04-02,TOR,LAL,32:20,14,0,2,True
2024-04-03,TOR,MIN,33:47,16,0,8,True
2024-04-05,TOR,MIL,25:55,10,0,5,False
2024-04-07,TOR,WAS,24:30,13,0,4,False
2024-04-09,TOR,IND,N/A,N/A,N/A,N/A,False
2024-04-10,TOR,BRK,33:30,24,0,4,True
2024-04-12,TOR,MIA,30:45,8,0,1,True
2024-04-14,TOR,MIA,29:01,14,1,2,True
