Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,DAL,SAS,34:14,33,10,13,True
2023-10-27,DAL,BRK,36:02,49,7,10,True
2023-10-30,DAL,MEM,40:00,35,12,12,True
2023-11-01,DAL,CHI,40:03,18,10,7,True
2023-11-03,DAL,DEN,38:16,34,8,10,True
2023-11-05,DAL,CHO,36:25,23,9,12,True
2023-11-06,DAL,ORL,35:09,29,6,3,True
2023-11-08,DAL,TOR,38:24,31,8,7,True
2023-11-10,DAL,LAC,31:41,44,6,6,True
2023-11-12,DAL,NOP,27:59,30,9,4,True
2023-11-14,DAL,NOP,26:15,16,2,2,True
2023-11-15,DAL,WAS,32:25,26,10,7,True
2023-11-18,DAL,MIL,35:19,35,9,9,True
2023-11-19,DAL,SAC,31:47,25,7,10,True
2023-11-22,DAL,LAL,38:45,30,8,12,True
2023-11-25,DAL,LAC,38:05,30,4,3,True
2023-11-28,DAL,HOU,37:56,41,9,9,True
2023-12-01,DAL,MEM,N/A,N/A,N/A,N/A,False
2023-12-02,DAL,OKC,45:59,36,18,15,True
2023-12-06,DAL,UTA,31:57,40,11,10,True
2023-12-08,DAL,POR,41:09,32,10,6,True
2023-12-11,DAL,MEM,43:53,35,6,8,True
2023-12-12,DAL,LAL,43:20,33,17,6,True
2023-12-14,DAL,MIN,39:19,39,13,6,True
2023-12-16,DAL,POR,37:21,40,10,12,True
2023-12-18,DAL,DEN,36:22,38,8,11,True
2023-12-20,DAL,LAC,44:22,28,10,9,True
2023-12-22,DAL,HOU,N/A,N/A,N/A,N/A,False
2023-12-23,DAL,SAS,31:37,39,10,12,True
2023-12-25,DAL,PHO,43:31,50,15,6,True
2023-12-27,DAL,CLE,36:36,39,6,7,True
2023-12-28,DAL,MIN,N/A,N/A,N/A,N/A,False
2023-12-30,DAL,GSW,37:31,39,10,8,True
2024-01-01,DAL,UTA,33:44,19,14,6,True
2024-01-03,DAL,POR,30:32,41,5,6,True
2024-01-05,DAL,POR,N/A,N/A,N/A,N/A,False
2024-01-07,DAL,MIN,39:19,34,8,6,True
2024-01-09,DAL,MEM,35:54,31,6,6,True
2024-01-11,DAL,NYK,N/A,N/A,N/A,N/A,False
2024-01-13,DAL,NOP,N/A,N/A,N/A,N/A,False
2024-01-15,DAL,NOP,N/A,N/A,N/A,N/A,False
2024-01-17,DAL,LAL,36:12,33,10,13,True
2024-01-22,DAL,BOS,39:38,33,13,18,True
2024-01-24,DAL,PHO,38:32,34,9,8,True
2024-01-26,DAL,ATL,44:43,73,7,10,True
2024-01-27,DAL,SAC,46:08,28,17,10,True
2024-01-29,DAL,ORL,43:00,45,15,9,True
2024-01-31,DAL,MIN,N/A,N/A,N/A,N/A,False
2024-02-03,DAL,MIL,42:25,40,11,9,True
2024-02-05,DAL,PHI,35:34,19,3,8,True
2024-02-06,DAL,BRK,43:01,35,9,18,True
2024-02-08,DAL,NYK,40:09,39,11,8,True
2024-02-10,DAL,OKC,31:18,32,9,8,True
2024-02-12,DAL,WAS,37:17,26,15,11,True
2024-02-14,DAL,SAS,31:19,27,8,9,True
2024-02-22,DAL,PHO,38:03,41,11,9,True
2024-02-25,DAL,IND,33:06,33,6,6,True
2024-02-27,DAL,CLE,41:16,45,14,9,True
2024-02-28,DAL,TOR,35:37,30,16,12,True
2024-03-01,DAL,BOS,36:33,37,11,12,True
2024-03-03,DAL,PHI,40:17,38,10,11,True
2024-03-05,DAL,IND,42:48,39,11,10,True
2024-03-07,DAL,MIA,39:33,35,11,11,True
2024-03-09,DAL,DET,36:38,39,10,10,True
2024-03-11,DAL,CHI,33:37,27,14,12,True
2024-03-13,DAL,GSW,29:35,21,9,3,True
2024-03-14,DAL,OKC,N/A,N/A,N/A,N/A,False
2024-03-17,DAL,DEN,40:08,37,3,10,True
2024-03-19,DAL,SAS,40:26,18,16,10,True
2024-03-21,DAL,UTA,34:40,34,8,9,True
2024-03-25,DAL,UTA,41:11,29,13,12,True
2024-03-26,DAL,SAC,31:41,28,6,11,True
2024-03-29,DAL,SAC,40:52,26,12,9,True
2024-03-31,DAL,HOU,35:12,47,7,12,True
2024-04-02,DAL,GSW,39:12,30,11,12,True
2024-04-04,DAL,ATL,37:02,25,8,12,True
2024-04-05,DAL,GSW,N/A,N/A,N/A,N/A,False
2024-04-07,DAL,HOU,45:25,37,12,9,True
2024-04-09,DAL,CHO,34:45,39,10,12,True
2024-04-10,DAL,MIA,35:59,29,9,9,True
2024-04-12,DAL,DET,N/A,N/A,N/A,N/A,False
2024-04-14,DAL,OKC,N/A,N/A,N/A,N/A,False
