Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,CHI,MIA,36:25,17,4,6,True
2022-10-21,CHI,WAS,31:00,7,2,5,True
2022-10-22,CHI,CLE,27:30,5,3,4,True
2022-10-24,CHI,BOS,33:37,22,2,6,True
2022-10-26,CHI,IND,30:48,12,7,4,True
2022-10-28,CHI,SAS,20:18,12,1,3,True
2022-10-29,CHI,PHI,N/A,N/A,N/A,N/A,False
2022-11-01,CHI,BRK,33:01,17,4,3,True
2022-11-02,CHI,CHO,30:53,8,3,4,True
2022-11-04,CHI,BOS,29:23,11,3,3,True
2022-11-06,CHI,TOR,38:00,15,3,3,True
2022-11-07,CHI,TOR,27:21,12,2,4,True
2022-11-09,CHI,NOP,25:54,7,4,3,True
2022-11-13,CHI,DEN,29:33,7,4,2,True
2022-11-16,CHI,NOP,27:35,4,1,3,True
2022-11-18,CHI,ORL,24:08,13,2,0,True
2022-11-21,CHI,BOS,36:05,10,2,3,True
2022-11-23,CHI,MIL,24:24,8,3,3,True
2022-11-25,CHI,OKC,25:00,7,4,3,True
2022-11-28,CHI,UTA,21:38,8,3,4,True
2022-11-30,CHI,PHO,26:47,11,1,2,True
2022-12-02,CHI,GSW,20:55,9,3,5,False
2022-12-04,CHI,SAC,23:19,6,3,2,False
2022-12-07,CHI,WAS,19:52,8,2,2,False
2022-12-10,CHI,DAL,31:25,17,2,4,False
2022-12-11,CHI,ATL,13:48,2,3,2,True
2022-12-14,CHI,NYK,N/A,N/A,N/A,N/A,False
2022-12-16,CHI,NYK,14:41,5,3,0,False
2022-12-18,CHI,MIN,19:20,5,2,3,False
2022-12-20,CHI,MIA,5:23,1,0,0,False
2022-12-21,CHI,ATL,34:26,9,2,3,False
2022-12-23,CHI,NYK,32:43,9,6,3,True
2022-12-26,CHI,HOU,23:03,9,1,3,True
2022-12-28,CHI,MIL,37:47,6,2,6,True
2022-12-30,CHI,DET,25:24,11,2,6,True
2022-12-31,CHI,CLE,34:08,19,2,2,True
2023-01-02,CHI,CLE,32:45,11,5,3,True
2023-01-04,CHI,BRK,34:20,17,1,7,True
2023-01-06,CHI,PHI,32:25,8,1,0,True
2023-01-07,CHI,UTA,27:25,7,2,2,True
2023-01-09,CHI,BOS,28:26,6,1,0,True
2023-01-11,CHI,WAS,29:23,8,3,4,True
2023-01-13,CHI,OKC,23:15,2,2,4,True
2023-01-15,CHI,GSW,40:22,12,6,1,True
2023-01-19,CHI,DET,25:15,13,1,3,True
2023-01-23,CHI,ATL,28:49,2,5,1,True
2023-01-24,CHI,IND,24:37,7,3,4,True
2023-01-26,CHI,CHO,27:52,12,2,4,True
2023-01-28,CHI,ORL,21:57,3,1,4,True
2023-01-31,CHI,LAC,26:54,11,4,3,True
2023-02-02,CHI,CHO,35:21,22,0,0,True
2023-02-04,CHI,POR,29:53,13,5,3,True
2023-02-06,CHI,SAS,30:47,10,4,4,True
2023-02-07,CHI,MEM,37:46,14,6,4,True
2023-02-09,CHI,BRK,27:05,6,1,2,True
2023-02-11,CHI,CLE,26:51,6,8,1,True
2023-02-13,CHI,ORL,34:05,2,3,4,True
2023-02-15,CHI,IND,42:33,15,5,4,True
2023-02-16,CHI,MIL,35:34,7,1,3,True
2023-02-24,CHI,BRK,25:50,7,3,9,False
2023-02-26,CHI,WAS,21:53,0,1,0,False
2023-02-28,CHI,TOR,19:40,10,2,6,False
2023-03-01,CHI,DET,14:50,4,1,2,False
2023-03-03,CHI,PHO,17:38,8,4,2,False
2023-03-05,CHI,IND,15:09,5,0,0,False
2023-03-08,CHI,DEN,19:50,8,0,1,False
2023-03-11,CHI,HOU,9:36,3,0,0,False
2023-03-15,CHI,SAC,27:47,3,4,1,True
2023-03-17,CHI,MIN,18:09,4,0,1,False
2023-03-18,CHI,MIA,17:50,6,3,1,False
2023-03-20,CHI,PHI,19:31,4,2,2,False
2023-03-22,CHI,PHI,32:24,14,4,2,False
2023-03-24,CHI,POR,24:16,13,2,1,False
2023-03-26,CHI,LAL,18:47,8,4,1,False
2023-03-27,CHI,LAC,18:05,0,1,0,False
2023-03-29,CHI,LAL,18:55,12,0,3,False
2023-03-31,CHI,CHO,23:50,2,4,0,False
2023-04-02,CHI,MEM,17:59,4,1,3,False
2023-04-04,CHI,ATL,17:42,0,0,0,False
2023-04-05,CHI,MIL,16:56,8,2,0,False
2023-04-07,CHI,DAL,37:36,12,5,9,True
2023-04-09,CHI,DET,24:05,9,2,2,False
