Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,OKC,CHI,36:01,31,10,5,True
2023-10-27,OKC,CLE,35:57,34,4,11,True
2023-10-29,OKC,DEN,28:19,7,7,4,True
2023-10-30,OKC,DET,32:52,32,4,9,True
2023-11-01,OKC,NOP,38:05,20,8,5,True
2023-11-03,OKC,GSW,N/A,N/A,N/A,N/A,False
2023-11-06,OKC,ATL,37:27,30,6,8,True
2023-11-08,OKC,CLE,37:36,43,6,7,True
2023-11-10,OKC,SAC,37:41,33,5,7,True
2023-11-12,OKC,PHO,36:50,35,4,7,True
2023-11-14,OKC,SAS,28:04,28,5,6,True
2023-11-16,OKC,GSW,29:16,24,7,2,True
2023-11-18,OKC,GSW,40:41,40,6,7,True
2023-11-19,OKC,POR,22:31,28,4,3,True
2023-11-22,OKC,CHI,36:43,40,12,5,True
2023-11-25,OKC,PHI,36:11,31,5,6,True
2023-11-28,OKC,MIN,33:59,32,4,4,True
2023-11-30,OKC,LAL,34:56,33,7,4,True
2023-12-02,OKC,DAL,38:33,17,9,3,True
2023-12-06,OKC,HOU,36:58,33,6,3,True
2023-12-08,OKC,GSW,42:20,38,5,5,True
2023-12-11,OKC,UTA,27:57,30,7,4,True
2023-12-14,OKC,SAC,38:12,43,9,6,True
2023-12-16,OKC,DEN,36:55,25,8,6,True
2023-12-18,OKC,MEM,28:24,30,5,9,True
2023-12-21,OKC,LAC,32:08,31,4,8,True
2023-12-23,OKC,LAL,38:15,34,7,5,True
2023-12-26,OKC,MIN,33:26,34,9,6,True
2023-12-27,OKC,NYK,36:22,36,8,7,True
2023-12-29,OKC,DEN,33:23,40,3,4,True
2023-12-31,OKC,BRK,34:46,24,6,4,True
2024-01-02,OKC,BOS,36:38,36,7,6,True
2024-01-03,OKC,ATL,35:24,33,8,13,True
2024-01-05,OKC,BRK,35:44,34,6,9,True
2024-01-08,OKC,WAS,35:42,32,5,6,True
2024-01-10,OKC,MIA,34:10,28,8,2,True
2024-01-11,OKC,POR,21:07,31,4,5,True
2024-01-13,OKC,ORL,35:57,37,7,6,True
2024-01-15,OKC,LAL,34:18,24,6,3,True
2024-01-16,OKC,LAC,33:44,19,4,2,True
2024-01-18,OKC,UTA,34:41,31,6,6,True
2024-01-20,OKC,MIN,37:10,33,6,2,True
2024-01-23,OKC,POR,35:05,33,10,6,True
2024-01-24,OKC,SAS,29:28,32,10,6,True
2024-01-26,OKC,NOP,31:32,31,5,4,True
2024-01-28,OKC,DET,29:14,31,4,5,True
2024-01-29,OKC,MIN,38:54,37,8,7,True
2024-01-31,OKC,DEN,35:33,34,5,7,True
2024-02-02,OKC,CHO,29:53,31,9,3,True
2024-02-04,OKC,TOR,47:53,23,14,9,True
2024-02-06,OKC,UTA,36:03,28,7,4,True
2024-02-10,OKC,DAL,28:53,25,5,6,True
2024-02-11,OKC,SAC,38:48,38,7,3,True
2024-02-13,OKC,ORL,34:17,32,5,3,True
2024-02-22,OKC,LAC,34:33,31,8,4,True
2024-02-23,OKC,WAS,29:39,30,9,7,True
2024-02-25,OKC,HOU,36:35,36,7,5,True
2024-02-27,OKC,HOU,31:51,31,3,8,True
2024-02-29,OKC,SAS,34:49,31,3,6,True
2024-03-03,OKC,PHO,38:18,35,9,8,True
2024-03-04,OKC,LAL,29:36,20,4,7,True
2024-03-06,OKC,POR,35:57,37,5,3,True
2024-03-08,OKC,MIA,35:41,37,6,5,True
2024-03-10,OKC,MEM,27:18,23,6,2,True
2024-03-12,OKC,IND,36:58,30,5,10,True
2024-03-14,OKC,DAL,37:08,31,5,9,True
2024-03-16,OKC,MEM,35:03,20,3,7,True
2024-03-20,OKC,UTA,33:10,31,7,3,True
2024-03-22,OKC,TOR,33:21,23,8,7,True
2024-03-24,OKC,MIL,29:58,12,2,3,True
2024-03-26,OKC,NOP,38:15,24,8,5,True
2024-03-27,OKC,HOU,N/A,N/A,N/A,N/A,False
2024-03-29,OKC,PHO,N/A,N/A,N/A,N/A,False
2024-03-31,OKC,NYK,34:52,19,3,2,True
2024-04-02,OKC,PHI,N/A,N/A,N/A,N/A,False
2024-04-03,OKC,BOS,N/A,N/A,N/A,N/A,False
2024-04-05,OKC,IND,N/A,N/A,N/A,N/A,False
2024-04-07,OKC,CHO,N/A,N/A,N/A,N/A,False
2024-04-09,OKC,SAC,37:53,40,4,7,True
2024-04-10,OKC,SAS,26:15,26,5,6,True
2024-04-12,OKC,MIL,28:40,23,3,7,True
2024-04-14,OKC,DAL,15:55,15,6,1,True
