Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,NOP,BRK,15:02,0,2,0,False
2022-10-21,NOP,CHO,11:24,4,1,1,False
2022-10-23,NOP,UTA,14:55,3,2,1,False
2022-10-25,NOP,DAL,27:01,14,3,1,False
2022-10-28,NOP,PHO,28:03,11,2,3,False
2022-10-30,NOP,LAC,23:33,9,6,4,False
2022-11-02,NOP,LAL,18:20,4,2,1,False
2022-11-04,NOP,GSW,9:24,0,4,1,False
2022-11-05,NOP,ATL,11:01,0,1,0,False
2022-11-07,NOP,IND,20:22,11,4,2,False
2022-11-09,NOP,CHI,16:22,3,2,1,False
2022-11-10,NOP,POR,7:58,0,1,0,False
2022-11-12,NOP,HOU,9:19,5,1,0,False
2022-11-15,NOP,MEM,9:29,1,2,1,False
2022-11-16,NOP,CHI,8:21,6,1,1,False
2022-11-18,NOP,BOS,8:22,3,0,0,False
2022-11-21,NOP,GSW,22:02,19,4,5,False
2022-11-23,NOP,SAS,27:48,21,0,4,False
2022-11-25,NOP,MEM,14:17,5,3,2,False
2022-11-28,NOP,OKC,17:31,5,3,1,False
2022-11-30,NOP,TOR,20:09,2,2,1,False
2022-12-02,NOP,SAS,15:53,3,0,1,False
2022-12-04,NOP,DEN,13:45,5,5,3,False
2022-12-07,NOP,DET,12:15,3,0,3,False
2022-12-09,NOP,PHO,14:55,5,4,1,False
2022-12-11,NOP,PHO,9:07,4,0,0,False
2022-12-13,NOP,UTA,5:48,2,1,0,False
2022-12-15,NOP,UTA,20:01,8,3,3,False
2022-12-17,NOP,PHO,8:01,3,1,3,False
2022-12-19,NOP,MIL,7:06,0,0,0,False
2022-12-22,NOP,SAS,8:50,6,1,1,False
2022-12-23,NOP,OKC,18:18,9,5,2,False
2022-12-26,NOP,IND,19:55,11,4,3,False
2022-12-28,NOP,MIN,15:47,0,1,4,False
2022-12-30,NOP,PHI,17:12,3,2,1,False
2022-12-31,NOP,MEM,17:20,3,1,1,False
2023-01-02,NOP,PHI,12:30,2,5,3,False
2023-01-04,NOP,HOU,12:43,0,1,0,False
2023-01-06,NOP,BRK,12:10,2,0,2,False
2023-01-07,NOP,DAL,15:33,4,3,0,False
2023-01-09,NOP,WAS,17:31,11,6,1,False
2023-01-11,NOP,BOS,20:45,2,3,2,False
2023-01-13,NOP,DET,13:55,3,3,1,False
2023-01-16,NOP,CLE,14:03,6,3,1,False
2023-01-18,NOP,MIA,19:50,6,3,3,False
2023-01-20,NOP,ORL,12:36,3,1,0,False
2023-01-22,NOP,MIA,16:47,7,3,2,False
2023-01-24,NOP,DEN,18:48,1,2,0,False
2023-01-25,NOP,MIN,16:01,12,2,1,False
2023-01-28,NOP,WAS,17:03,9,1,0,False
2023-01-29,NOP,MIL,17:46,10,3,0,False
2023-01-31,NOP,DEN,12:42,5,0,0,False
2023-02-02,NOP,DAL,N/A,N/A,N/A,N/A,False
2023-02-04,NOP,LAL,N/A,N/A,N/A,N/A,False
2023-02-05,NOP,SAC,15:21,6,3,0,False
2023-02-07,NOP,ATL,N/A,N/A,N/A,N/A,False
2023-02-10,SAS,DET,36:37,31,3,3,False
2023-02-11,SAS,ATL,23:43,9,4,2,False
2023-02-13,SAS,CLE,28:59,12,8,1,False
2023-02-15,SAS,CHO,21:44,10,4,4,False
2023-02-23,SAS,DAL,28:26,10,5,1,True
2023-02-25,SAS,UTA,29:02,10,4,4,False
2023-02-28,SAS,UTA,24:16,12,3,1,False
2023-03-02,SAS,IND,32:11,18,4,6,True
2023-03-04,SAS,HOU,28:40,28,4,2,True
2023-03-05,SAS,HOU,23:41,14,4,2,False
2023-03-10,SAS,DEN,N/A,N/A,N/A,N/A,False
2023-03-12,SAS,OKC,31:47,20,3,3,True
2023-03-14,SAS,ORL,24:55,15,9,4,True
2023-03-15,SAS,DAL,32:55,13,5,3,True
2023-03-17,SAS,MEM,N/A,N/A,N/A,N/A,False
2023-03-19,SAS,ATL,N/A,N/A,N/A,N/A,False
2023-03-21,SAS,NOP,24:03,15,1,2,False
2023-03-22,SAS,MIL,N/A,N/A,N/A,N/A,False
2023-03-24,SAS,WAS,21:14,5,5,1,False
2023-03-26,SAS,BOS,22:06,2,2,3,False
2023-03-29,SAS,UTA,24:08,17,6,4,False
2023-03-31,SAS,GSW,23:16,6,3,1,False
2023-04-02,SAS,SAC,18:35,3,1,2,True
2023-04-04,SAS,PHO,27:04,9,2,1,True
2023-04-06,SAS,POR,N/A,N/A,N/A,N/A,False
2023-04-08,SAS,MIN,N/A,N/A,N/A,N/A,False
2023-04-09,SAS,DAL,N/A,N/A,N/A,N/A,False
