Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,HOU,ORL,13:52,4,1,3,False
2023-10-27,HOU,SAS,20:37,10,1,1,False
2023-10-29,HOU,GSW,21:01,6,2,3,False
2023-11-01,HOU,CHO,12:18,9,0,2,False
2023-11-04,HOU,SAC,5:25,1,0,5,False
2023-11-06,HOU,SAC,5:23,6,0,1,False
2023-11-08,HOU,LAL,10:57,9,0,6,False
2023-11-10,HOU,NOP,22:53,5,0,4,False
2023-11-12,HOU,DEN,25:30,15,0,4,False
2023-11-17,HOU,LAC,14:30,0,2,2,False
2023-11-19,HOU,LAL,13:56,13,0,2,False
2023-11-20,HOU,GSW,14:10,5,1,1,False
2023-11-22,HOU,MEM,12:01,0,0,1,False
2023-11-24,HOU,DEN,8:03,0,0,0,False
2023-11-28,HOU,DAL,13:02,6,1,0,False
2023-11-29,HOU,DEN,22:01,12,2,2,False
2023-12-02,HOU,LAL,11:11,0,0,1,False
2023-12-06,HOU,OKC,N/A,N/A,N/A,N/A,False
2023-12-08,HOU,DEN,26:39,5,1,4,False
2023-12-11,HOU,SAS,18:47,12,1,2,False
2023-12-13,HOU,MEM,13:09,9,0,3,False
2023-12-15,HOU,MEM,18:48,12,1,4,False
2023-12-17,HOU,MIL,17:19,16,1,0,False
2023-12-18,HOU,CLE,23:38,15,3,1,False
2023-12-20,HOU,ATL,11:52,2,0,1,False
2023-12-22,HOU,DAL,7:44,2,0,1,False
2023-12-23,HOU,NOP,21:26,2,2,3,False
2023-12-26,HOU,IND,10:45,2,0,0,False
2023-12-27,HOU,PHO,7:26,2,1,1,False
2023-12-29,HOU,PHI,32:52,10,0,4,True
2024-01-01,HOU,DET,8:32,3,2,2,False
2024-01-03,HOU,BRK,17:02,8,0,0,False
2024-01-05,HOU,MIN,20:50,4,0,1,False
2024-01-06,HOU,MIL,34:19,16,2,2,False
2024-01-08,HOU,MIA,19:54,5,2,0,False
2024-01-10,HOU,CHI,19:00,9,1,3,False
2024-01-12,HOU,DET,13:06,6,0,2,False
2024-01-13,HOU,BOS,14:01,9,1,1,False
2024-01-15,HOU,PHI,12:33,1,0,2,False
2024-01-17,HOU,NYK,21:29,9,0,5,False
2024-01-20,HOU,UTA,15:43,3,2,3,False
2024-01-21,HOU,BOS,N/A,N/A,N/A,N/A,False
2024-01-24,HOU,POR,38:10,4,1,4,True
2024-01-26,HOU,CHO,17:17,0,0,1,True
2024-01-27,HOU,BRK,16:03,2,0,2,True
2024-01-29,HOU,LAL,8:07,5,0,2,False
2024-01-31,HOU,NOP,14:35,0,1,0,False
2024-02-02,HOU,TOR,15:16,8,1,3,False
2024-02-04,HOU,MIN,15:59,4,0,2,False
2024-02-06,HOU,IND,11:29,3,3,2,False
2024-02-09,HOU,TOR,27:07,11,4,6,False
2024-02-10,HOU,ATL,31:29,19,2,6,True
2024-02-12,HOU,NYK,15:09,0,0,1,False
2024-02-14,HOU,MEM,16:17,10,0,4,False
2024-02-22,HOU,NOP,9:07,8,3,3,False
2024-02-23,HOU,PHO,15:22,3,1,2,False
2024-02-25,HOU,OKC,15:43,2,1,0,False
2024-02-27,HOU,OKC,16:34,5,3,0,False
2024-02-29,HOU,PHO,12:18,3,0,1,False
2024-03-02,HOU,PHO,10:11,1,0,2,False
2024-03-05,HOU,SAS,5:44,0,1,1,False
2024-03-06,HOU,LAC,N/A,N/A,N/A,N/A,False
2024-03-08,HOU,POR,N/A,N/A,N/A,N/A,False
2024-03-10,HOU,SAC,10:32,5,1,2,False
2024-03-12,HOU,SAS,14:20,8,0,1,False
2024-03-14,HOU,WAS,12:54,2,1,0,False
2024-03-16,HOU,CLE,25:49,9,1,4,False
2024-03-19,HOU,WAS,17:34,12,1,2,False
2024-03-21,HOU,CHI,27:28,14,0,7,False
2024-03-23,HOU,UTA,24:56,21,1,4,False
2024-03-25,HOU,POR,23:46,6,1,4,False
2024-03-27,HOU,OKC,13:22,7,1,2,False
2024-03-29,HOU,UTA,20:22,5,0,4,False
2024-03-31,HOU,DAL,5:09,2,0,0,False
2024-04-02,HOU,MIN,21:08,8,2,6,False
2024-04-04,HOU,GSW,17:14,8,1,1,False
2024-04-05,HOU,MIA,21:52,11,2,2,True
2024-04-07,HOU,DAL,17:23,7,1,1,False
2024-04-09,HOU,ORL,16:32,6,2,2,False
2024-04-11,HOU,UTA,22:04,13,0,6,False
2024-04-12,HOU,POR,16:40,7,4,3,False
2024-04-14,HOU,LAC,12:28,7,0,2,False
