Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,IND,WAS,35:40,26,7,4,True
2022-10-21,IND,SAS,27:09,27,12,3,True
2022-10-22,IND,DET,32:03,24,10,4,True
2022-10-24,IND,PHI,31:26,19,10,6,True
2022-10-26,IND,CHI,38:12,17,11,4,True
2022-10-28,IND,WAS,36:00,25,12,2,True
2022-10-29,IND,BRK,33:15,26,8,6,True
2022-10-31,IND,BRK,33:19,11,5,8,True
2022-11-04,IND,MIA,36:08,22,9,9,True
2022-11-07,IND,NOP,34:07,20,13,4,True
2022-11-09,IND,DEN,33:12,21,12,1,True
2022-11-12,IND,TOR,39:10,8,15,6,True
2022-11-16,IND,CHO,32:02,22,11,2,True
2022-11-18,IND,HOU,36:28,19,8,6,True
2022-11-19,IND,ORL,33:58,22,14,4,True
2022-11-21,IND,ORL,27:25,18,14,4,True
2022-11-23,IND,MIN,35:03,10,14,2,True
2022-11-25,IND,BRK,34:25,21,15,6,True
2022-11-27,IND,LAC,30:54,15,11,5,True
2022-11-28,IND,LAL,35:22,24,14,7,True
2022-11-30,IND,SAC,25:25,9,10,4,True
2022-12-02,IND,UTA,30:31,14,4,6,True
2022-12-04,IND,POR,N/A,N/A,N/A,N/A,False
2022-12-05,IND,GSW,N/A,N/A,N/A,N/A,False
2022-12-07,IND,MIN,36:24,26,15,2,True
2022-12-09,IND,WAS,32:10,23,11,2,True
2022-12-10,IND,BRK,36:51,35,9,1,True
2022-12-12,IND,MIA,32:31,1,6,3,True
2022-12-14,IND,GSW,34:21,29,6,4,True
2022-12-16,IND,CLE,34:33,17,14,0,True
2022-12-18,IND,NYK,31:47,15,10,1,True
2022-12-21,IND,BOS,34:02,33,8,3,True
2022-12-23,IND,MIA,37:30,43,7,2,True
2022-12-26,IND,NOP,31:01,12,6,1,True
2022-12-27,IND,ATL,30:15,23,7,3,True
2022-12-29,IND,CLE,34:15,29,9,2,True
2022-12-31,IND,LAC,32:54,24,10,7,True
2023-01-02,IND,TOR,31:40,16,8,6,True
2023-01-04,IND,PHI,39:30,16,12,7,True
2023-01-06,IND,POR,32:58,15,12,4,True
2023-01-08,IND,CHO,35:18,16,13,5,True
2023-01-11,IND,NYK,27:11,15,7,3,True
2023-01-13,IND,ATL,N/A,N/A,N/A,N/A,False
2023-01-14,IND,MEM,N/A,N/A,N/A,N/A,False
2023-01-16,IND,MIL,N/A,N/A,N/A,N/A,False
2023-01-18,IND,OKC,N/A,N/A,N/A,N/A,False
2023-01-20,IND,DEN,N/A,N/A,N/A,N/A,False
2023-01-21,IND,PHO,N/A,N/A,N/A,N/A,False
2023-01-24,IND,CHI,N/A,N/A,N/A,N/A,False
2023-01-25,IND,ORL,N/A,N/A,N/A,N/A,False
2023-01-27,IND,MIL,N/A,N/A,N/A,N/A,False
2023-01-29,IND,MEM,N/A,N/A,N/A,N/A,False
2023-02-02,IND,LAL,35:31,26,12,2,True
2023-02-03,IND,SAC,34:04,10,9,4,True
2023-02-05,IND,CLE,31:19,15,11,4,True
2023-02-08,IND,MIA,37:01,11,10,2,True
2023-02-10,IND,PHO,25:28,18,5,1,True
2023-02-11,IND,WAS,35:04,21,7,6,True
2023-02-13,IND,UTA,34:53,30,12,1,True
2023-02-15,IND,CHI,35:10,16,8,2,True
2023-02-23,IND,BOS,39:23,22,14,1,True
2023-02-25,IND,ORL,33:27,15,14,1,True
2023-02-28,IND,DAL,34:51,32,6,7,True
2023-03-02,IND,SAS,N/A,N/A,N/A,N/A,False
2023-03-05,IND,CHI,34:02,29,11,3,True
2023-03-06,IND,PHI,36:48,39,16,3,True
2023-03-09,IND,HOU,38:26,29,19,2,True
2023-03-11,IND,DET,N/A,N/A,N/A,N/A,False
2023-03-13,IND,DET,N/A,N/A,N/A,N/A,False
2023-03-16,IND,MIL,N/A,N/A,N/A,N/A,False
2023-03-18,IND,PHI,N/A,N/A,N/A,N/A,False
2023-03-20,IND,CHO,N/A,N/A,N/A,N/A,False
2023-03-22,IND,TOR,N/A,N/A,N/A,N/A,False
2023-03-24,IND,BOS,28:59,20,9,6,True
2023-03-25,IND,ATL,32:07,19,13,1,True
2023-03-27,IND,DAL,N/A,N/A,N/A,N/A,False
2023-03-29,IND,MIL,N/A,N/A,N/A,N/A,False
2023-03-31,IND,OKC,N/A,N/A,N/A,N/A,False
2023-04-02,IND,CLE,N/A,N/A,N/A,N/A,False
2023-04-05,IND,NYK,N/A,N/A,N/A,N/A,False
2023-04-07,IND,DET,N/A,N/A,N/A,N/A,False
2023-04-09,IND,NYK,N/A,N/A,N/A,N/A,False
