Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2022-10-19,TOR,CLE,N/A,N/A,N/A,N/A,False
2022-10-21,TOR,BRK,N/A,N/A,N/A,N/A,False
2022-10-22,TOR,MIA,N/A,N/A,N/A,N/A,False
2022-10-24,TOR,MIA,N/A,N/A,N/A,N/A,False
2022-10-26,TOR,PHI,N/A,N/A,N/A,N/A,False
2022-10-28,TOR,PHI,N/A,N/A,N/A,N/A,False
2022-10-31,TOR,ATL,3:09,0,0,0,False
2022-11-02,TOR,SAS,N/A,N/A,N/A,N/A,False
2022-11-04,TOR,DAL,N/A,N/A,N/A,N/A,False
2022-11-06,TOR,CHI,N/A,N/A,N/A,N/A,False
2022-11-07,TOR,CHI,N/A,N/A,N/A,N/A,False
2022-11-09,TOR,HOU,N/A,N/A,N/A,N/A,False
2022-11-11,TOR,OKC,N/A,N/A,N/A,N/A,False
2022-11-12,TOR,IND,N/A,N/A,N/A,N/A,False
2022-11-14,TOR,DET,N/A,N/A,N/A,N/A,False
2022-11-16,TOR,MIA,N/A,N/A,N/A,N/A,False
2022-11-19,TOR,ATL,N/A,N/A,N/A,N/A,False
2022-11-23,TOR,BRK,4:40,6,0,1,False
2022-11-26,TOR,DAL,N/A,N/A,N/A,N/A,False
2022-11-28,TOR,CLE,N/A,N/A,N/A,N/A,False
2022-11-30,TOR,NOP,N/A,N/A,N/A,N/A,False
2022-12-02,TOR,BRK,N/A,N/A,N/A,N/A,False
2022-12-03,TOR,ORL,N/A,N/A,N/A,N/A,False
2022-12-05,TOR,BOS,N/A,N/A,N/A,N/A,False
2022-12-07,TOR,LAL,N/A,N/A,N/A,N/A,False
2022-12-09,TOR,ORL,N/A,N/A,N/A,N/A,False
2022-12-11,TOR,ORL,N/A,N/A,N/A,N/A,False
2022-12-14,TOR,SAC,N/A,N/A,N/A,N/A,False
2022-12-16,TOR,BRK,N/A,N/A,N/A,N/A,False
2022-12-18,TOR,GSW,N/A,N/A,N/A,N/A,False
2022-12-19,TOR,PHI,N/A,N/A,N/A,N/A,False
2022-12-21,TOR,NYK,N/A,N/A,N/A,N/A,False
2022-12-23,TOR,CLE,N/A,N/A,N/A,N/A,False
2022-12-27,TOR,LAC,N/A,N/A,N/A,N/A,False
2022-12-29,TOR,MEM,N/A,N/A,N/A,N/A,False
2022-12-30,TOR,PHO,N/A,N/A,N/A,N/A,False
2023-01-02,TOR,IND,N/A,N/A,N/A,N/A,False
2023-01-04,TOR,MIL,N/A,N/A,N/A,N/A,False
2023-01-06,TOR,NYK,N/A,N/A,N/A,N/A,False
2023-01-08,TOR,POR,N/A,N/A,N/A,N/A,False
2023-01-10,TOR,CHO,N/A,N/A,N/A,N/A,False
2023-01-12,TOR,CHO,N/A,N/A,N/A,N/A,False
2023-01-14,TOR,ATL,N/A,N/A,N/A,N/A,False
2023-01-16,TOR,NYK,N/A,N/A,N/A,N/A,False
2023-01-17,TOR,MIL,N/A,N/A,N/A,N/A,False
2023-01-19,TOR,MIN,N/A,N/A,N/A,N/A,False
2023-01-21,TOR,BOS,N/A,N/A,N/A,N/A,False
2023-01-22,TOR,NYK,N/A,N/A,N/A,N/A,False
2023-01-25,TOR,SAC,N/A,N/A,N/A,N/A,False
2023-01-27,TOR,GSW,N/A,N/A,N/A,N/A,False
2023-01-28,TOR,POR,1:32,2,0,1,False
2023-01-30,TOR,PHO,N/A,N/A,N/A,N/A,False
2023-02-01,TOR,UTA,N/A,N/A,N/A,N/A,False
2023-02-03,TOR,HOU,N/A,N/A,N/A,N/A,False
2023-02-05,TOR,MEM,N/A,N/A,N/A,N/A,False
2023-02-08,TOR,SAS,N/A,N/A,N/A,N/A,False
2023-02-10,TOR,UTA,N/A,N/A,N/A,N/A,False
2023-02-12,TOR,DET,N/A,N/A,N/A,N/A,False
2023-02-14,TOR,ORL,N/A,N/A,N/A,N/A,False
2023-02-23,TOR,NOP,N/A,N/A,N/A,N/A,False
2023-02-25,TOR,DET,N/A,N/A,N/A,N/A,False
2023-02-26,TOR,CLE,4:42,2,0,0,False
2023-02-28,TOR,CHI,N/A,N/A,N/A,N/A,False
2023-03-02,TOR,WAS,N/A,N/A,N/A,N/A,False
2023-03-04,TOR,WAS,N/A,N/A,N/A,N/A,False
2023-03-06,TOR,DEN,N/A,N/A,N/A,N/A,False
2023-03-08,TOR,LAC,N/A,N/A,N/A,N/A,False
2023-03-10,TOR,LAL,N/A,N/A,N/A,N/A,False
2023-03-14,TOR,DEN,N/A,N/A,N/A,N/A,False
2023-03-16,TOR,OKC,N/A,N/A,N/A,N/A,False
2023-03-18,TOR,MIN,N/A,N/A,N/A,N/A,False
2023-03-19,TOR,MIL,N/A,N/A,N/A,N/A,False
2023-03-22,TOR,IND,N/A,N/A,N/A,N/A,False
2023-03-24,TOR,DET,N/A,N/A,N/A,N/A,False
2023-03-26,TOR,WAS,2:12,0,0,0,False
2023-03-28,TOR,MIA,N/A,N/A,N/A,N/A,False
2023-03-31,TOR,PHI,N/A,N/A,N/A,N/A,False
2023-04-02,TOR,CHO,1:38,0,0,1,False
2023-04-04,TOR,CHO,3:42,0,2,0,False
2023-04-05,TOR,BOS,N/A,N/A,N/A,N/A,False
2023-04-07,TOR,BOS,3:32,0,1,0,False
2023-04-09,TOR,MIL,22:23,10,1,4,False
