Date,Team,Opponent,Minutes Played,Points,Assists,Rebounds,Started
2023-10-25,NOP,MEM,9:13,3,2,0,False
2023-10-28,NOP,NYK,17:46,9,1,4,False
2023-10-30,NOP,GSW,35:01,14,2,5,True
2023-11-01,NOP,OKC,37:18,10,4,6,True
2023-11-02,NOP,DET,29:26,6,0,1,True
2023-11-04,NOP,ATL,24:09,15,0,5,False
2023-11-06,NOP,DEN,37:58,31,3,7,True
2023-11-08,NOP,MIN,30:17,14,1,1,True
2023-11-10,NOP,HOU,41:15,14,1,7,True
2023-11-12,NOP,DAL,27:34,10,2,2,True
2023-11-14,NOP,DAL,32:46,25,3,6,False
2023-11-17,NOP,DEN,25:57,7,4,5,False
2023-11-18,NOP,MIN,36:33,15,4,2,True
2023-11-20,NOP,SAC,29:07,9,2,5,False
2023-11-22,NOP,SAC,20:49,13,3,2,False
2023-11-24,NOP,LAC,20:11,8,1,4,False
2023-11-25,NOP,UTA,39:56,25,3,6,True
2023-11-27,NOP,UTA,24:54,13,0,5,False
2023-11-29,NOP,PHI,23:56,16,2,5,False
2023-12-01,NOP,SAS,15:04,3,0,0,False
2023-12-02,NOP,CHI,24:38,10,0,1,False
2023-12-04,NOP,SAC,N/A,N/A,N/A,N/A,False
2023-12-07,NOP,LAL,12:00,4,0,2,False
2023-12-11,NOP,MIN,0:51,0,0,0,False
2023-12-13,NOP,WAS,18:54,2,1,2,False
2023-12-15,NOP,CHO,4:12,0,0,0,False
2023-12-17,NOP,SAS,12:23,7,0,2,False
2023-12-19,NOP,MEM,N/A,N/A,N/A,N/A,False
2023-12-21,NOP,CLE,12:04,6,2,0,False
2023-12-23,NOP,HOU,N/A,N/A,N/A,N/A,False
2023-12-26,NOP,MEM,N/A,N/A,N/A,N/A,False
2023-12-28,NOP,UTA,N/A,N/A,N/A,N/A,False
2023-12-31,NOP,LAL,7:56,1,1,2,False
2024-01-02,NOP,BRK,26:06,11,1,0,False
2024-01-03,NOP,MIN,2:52,2,0,0,False
2024-01-05,NOP,LAC,6:29,13,0,1,False
2024-01-07,NOP,SAC,24:02,12,2,3,False
2024-01-10,NOP,GSW,21:11,14,2,1,False
2024-01-12,NOP,DEN,1:56,0,0,0,False
2024-01-13,NOP,DAL,36:34,34,4,5,True
2024-01-15,NOP,DAL,20:46,9,0,1,False
2024-01-17,NOP,CHO,24:16,21,1,6,False
2024-01-19,NOP,PHO,16:47,13,1,2,False
2024-01-23,NOP,UTA,16:29,6,0,2,False
2024-01-26,NOP,OKC,19:53,9,4,1,False
2024-01-27,NOP,MIL,29:20,8,1,7,False
2024-01-29,NOP,BOS,9:14,0,0,3,False
2024-01-31,NOP,HOU,23:28,3,2,6,False
2024-02-02,NOP,SAS,10:49,2,0,0,False
2024-02-05,NOP,TOR,7:26,4,0,0,False
2024-02-07,NOP,LAC,2:17,3,0,0,False
2024-02-09,NOP,LAL,2:33,5,0,0,False
2024-02-10,NOP,POR,14:27,0,1,3,False
2024-02-12,NOP,MEM,N/A,N/A,N/A,N/A,False
2024-02-14,NOP,WAS,N/A,N/A,N/A,N/A,False
2024-02-22,NOP,HOU,17:05,3,0,2,False
2024-02-23,NOP,MIA,22:36,14,2,3,False
2024-02-25,NOP,CHI,15:01,8,0,1,False
2024-02-27,NOP,NYK,16:52,3,0,4,False
2024-02-28,NOP,IND,17:39,7,2,0,False
2024-03-01,NOP,IND,6:37,6,0,1,False
2024-03-05,NOP,TOR,9:48,2,0,2,False
2024-03-08,NOP,PHI,N/A,N/A,N/A,N/A,False
2024-03-10,NOP,ATL,N/A,N/A,N/A,N/A,False
2024-03-13,NOP,CLE,4:38,3,0,0,False
2024-03-15,NOP,LAC,N/A,N/A,N/A,N/A,False
2024-03-16,NOP,POR,5:28,0,1,0,False
2024-03-19,NOP,BRK,N/A,N/A,N/A,N/A,False
2024-03-21,NOP,ORL,5:41,2,1,1,False
2024-03-22,NOP,MIA,3:10,3,0,0,False
2024-03-24,NOP,DET,6:08,0,2,1,False
2024-03-26,NOP,OKC,2:48,3,0,0,False
2024-03-28,NOP,MIL,15:00,2,0,1,False
2024-03-30,NOP,BOS,7:28,0,1,0,False
2024-04-01,NOP,PHO,14:55,3,0,1,False
2024-04-03,NOP,ORL,0:07,0,0,0,False
2024-04-05,NOP,SAS,18:03,6,0,3,False
2024-04-07,NOP,PHO,N/A,N/A,N/A,N/A,False
2024-04-09,NOP,POR,2:20,0,0,0,False
2024-04-11,NOP,SAC,N/A,N/A,N/A,N/A,False
2024-04-12,NOP,GSW,N/A,N/A,N/A,N/A,False
2024-04-14,NOP,LAL,N/A,N/A,N/A,N/A,False
